Subject_cm,Timestamp,SampleDate_cm,SampleTime_cm,Configuration_cm,Scenario_cm,DisTime_cm,MarkingTxt_cm,Application_cm,EntId_cm,Site_cm,ExerciseId_cm,ForceId_cm,Category_cm,Country_cm,Domain_cm,Kind_cm,Extra_cm,Specific_cm,Subcategory_cm,AltCategory_cm,AltCountry_cm,AltDomain_cm,AltKind_cm,ECEF_X_cm,ECEF_Y_cm,ECEF_Z_cm,OriPhi_cm,OriPsi_cm,OriTheta_cm,LinVelX_cm,LinVelY_cm,LinVelZ_cm,LinAccX_cm,LinAccY_cm,LinAccZ_cm,AngVelX_cm,AngVelY_cm,AngVelZ_cm,DrAlg_cm,Appearance_cm,Latitude_cm,Longitude_cm,Altitude_cm,Heading_cm,Pitch_cm,Roll_cm,CalibratedAirspeed_cm,CM_Altitude_Lead_cm,CM_Altitude_Wing_cm,CM_Airspeed_cm,Subject_ac,SampleDate_ac,SampleTime_ac,Configuration_ac,Scenario_ac,DisTime_ac,MarkingTxt_ac,Application_ac,EntId_ac,Site_ac,ExerciseId_ac,ForceId_ac,Category_ac,Country_ac,Domain_ac,Kind_ac,Extra_ac,Specific_ac,Subcategory_ac,AltCategory_ac,AltCountry_ac,AltDomain_ac,AltKind_ac,ECEF_X_ac,ECEF_Y_ac,ECEF_Z_ac,OriPhi_ac,OriPsi_ac,OriTheta_ac,LinVelX_ac,LinVelY_ac,LinVelZ_ac,LinAccX_ac,LinAccY_ac,LinAccZ_ac,AngVelX_ac,AngVelY_ac,AngVelZ_ac,DrAlg_ac,Appearance_ac,Latitude_ac,Longitude_ac,Altitude_ac,Heading_ac,Pitch_ac,Roll_ac,CalibratedAirspeed_ac,CM_Altitude_Lead_ac,CM_Altitude_Wing_ac,CM_Airspeed_ac,Bank_Angle_Condition,distance_nm,Distance_Condition,angle_between_vel,angle_between_pos,Cone_Condition,angle_between_pos_nose,Nose_Cone_Condition,Intercept_Criteria
2,1970-07-23 10:13:53.931458305,2025-09-11,2025-09-26 15:09:53.145,HA,D,3090058018,JASSM,3,135,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-171305.56286795562,-4793410.872041549,4194623.352018833,-2.29541,0.0350898,-0.0800546,91.375,3.25,7.375,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.36113772215921,-92.04674931113313,10000.00054238077,83.87915846735049,-0.0051871873466388,0.0066288575475706,,9077.867462759696,10906.843150451044,150,2,2025-09-11,2025-09-26 15:09:53.281,HA,D,377647340,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-159978.83313480188,-4791813.52184473,4196601.560487679,2.37521,3.00054,-0.0896812,-121.753,13.7068,8.08429,-0.178463,-6.97779,6.44929,0.0113715,0.0015282,0.00350684,4,0,41.38632151055692,-91.91215885578916,9396.265951712052,-82.06843318870011,-1.2086707376424228,4.342207977989061,206.965,9077.867462759696,10906.843150451044,150,True,6.246598640158467,False,168.09292079370837,172.1049652699813,False,19.795037180882336,True,False
2,1970-07-23 10:13:53.939257039,2025-09-11,2025-09-26 15:09:53.925,HA,D,3091131760,JASSM,3,135,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-171223.3370378775,-4793408.007783736,4194629.937956333,-2.29541,0.0348022,-0.079767,91.375,3.125,7.375,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.36121669277711,-92.04576893786276,10000.000398539096,83.90303413360674,-0.0030731990905971,0.0053119072644263,,9077.867462759696,10906.843150451044,150,2,2025-09-11,2025-09-26 15:09:53.882,HA,D,378363138,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-160051.1179685101,-4791805.191749471,4196606.296102192,2.37553,2.99768,-0.0906666,-121.889,14.3672,8.19567,-0.213586,-6.9478,6.41284,-0.0137933,0.00164055,0.00367537,4,0,41.38638867054162,-91.91302552692876,9391.983024533403,-81.91805521618855,-1.2922863077230418,4.342402861151049,207.637,9077.867462759696,10906.843150451044,150,True,6.165742051854609,False,167.90355272162884,171.86559037995005,False,20.224727205081127,True,False
2,1970-07-23 10:13:53.949396193,2025-09-11,2025-09-26 15:09:54.939,HA,D,3092374236,JASSM,3,135,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-171128.18908865875,-4793404.693330611,4194637.557096958,-2.29541,0.0348022,-0.079767,91.375,3.125,7.375,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.3613080517288,-92.04463449206914,10000.000526104017,83.90378378054666,-0.002216844617378,0.0053123194973949,,9077.867462759696,10906.843150451044,150,2,2025-09-11,2025-09-26 15:09:54.948,HA,D,379635670,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-160182.63267234268,-4791789.57793569,4196615.020092914,2.34158,2.99244,-0.0978213,-122.224,14.7414,8.71287,-0.0705101,-7.31347,6.5796,-0.023932,-0.000317291,0.00999414,4,0,41.3865142980616,-91.91460253290607,9383.30509518972,-81.41417909529041,-1.2407752895649498,2.3582682678405256,208.309,9077.867462759696,10906.843150451044,150,True,6.047935676057011,False,167.63397168845384,171.5629012088815,False,20.795807555772573,True,False
2,1970-07-23 10:13:53.959436794,2025-09-11,2025-09-26 15:09:55.943,HA,D,3093626936,JASSM,3,135,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-171032.25842459625,-4793401.350557174,4194645.238737583,-2.29541,0.0348022,-0.079767,91.375,3.125,7.375,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.36140015597396,-92.04349071123008,10000.00241638946,83.90453959750752,-0.0013534453327675,0.0053127401562512,,9077.867462759696,10906.843150451044,150,2,2025-09-11,2025-09-26 15:09:55.948,HA,D,380828670,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-160304.92345167673,-4791774.688730298,4196623.69718752,2.31621,2.99198,-0.0979132,-122.509,14.9439,9.10056,-0.265647,-7.39016,6.76915,-0.0252928,-0.00212741,0.0028036,4,0,41.38663711337912,-91.9160690885323,9375.557947388075,-81.39357299320312,-1.255887899088617,0.9013956950528,208.92,9077.867462759696,10906.843150451044,150,True,5.934652803948451,False,167.46037782918478,171.26148606590547,False,21.26929107810742,True,False
2,1970-07-23 10:13:53.969459183,2025-09-11,2025-09-26 15:09:56.945,HA,D,3094819984,JASSM,3,135,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-170940.89587576812,-4793398.165010299,4194652.553190708,-2.29541,0.0348981,-0.079767,91.375,3.125,7.25,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.36148786591976,-92.04240139383998,10000.000810808237,83.90162947186306,-0.0046307783321011,0.0057510164507146,,9077.867462759696,10906.843150451044,150,2,2025-09-11,2025-09-26 15:09:57.014,HA,D,382101202,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-160434.14622285715,-4791758.856833913,4196633.264775673,2.28937,2.99746,-0.100465,-122.702,14.7836,9.4906,-0.226602,-7.32008,6.81187,-0.0271861,0.0073497,-0.0137142,4,0,41.386770148932094,-91.917618821778,9368.002018651909,-81.49398261392462,-0.9241669619326164,-0.603564745563109,209.519,9077.867462759696,10906.843150451044,150,True,5.820520831915088,False,167.45217733836054,170.88528292008147,False,21.65250134438244,True,False
2,1970-07-23 10:13:53.979536535,2025-09-11,2025-09-26 15:09:57.953,HA,D,3096013032,JASSM,3,135,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-170849.53332694,-4793394.979463424,4194659.866667271,-2.29541,0.0348981,-0.079767,91.375,3.125,7.25,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.36157555895698,-92.04131207352488,10000.001406240544,83.90234930351785,-0.0038084942865793,0.0057513605738519,,9077.867462759696,10906.843150451044,150,2,2025-09-11,2025-09-26 15:09:57.982,HA,D,383254434,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-160552.8679927732,-4791744.48016022,4196642.176188901,2.26626,2.99709,-0.101929,-123.004,14.8883,9.29338,-0.142364,-7.33828,6.70085,-0.0258358,-0.0037045,-0.0128695,4,0,41.38689217136761,-91.91904255844489,9361.745924710696,-81.41819645371477,-0.8830393483620907,-1.930884909251405,210.215,9077.867462759696,10906.843150451044,150,True,5.7118769453905305,False,167.50201058354875,170.56928069715852,False,21.921076709767696,True,False
2,1970-07-23 10:13:53.990236685,2025-09-11,2025-09-26 15:09:59.023,HA,D,3097265730,JASSM,3,135,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-170753.6026628775,-4793391.632783736,4194667.545378208,-2.29541,0.0348981,-0.079767,91.375,3.125,7.25,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.36166763360431,-92.04016828498165,10000.001161126698,83.90310512956894,-0.0029450958944644,0.0057517299466276,,9077.867462759696,10906.843150451044,150,2,2025-09-11,2025-09-26 15:09:59.148,HA,D,384646266,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-160697.78906688534,-4791727.386131391,4196652.774943331,2.25035,3.00055,-0.0992021,-123.387,14.3655,9.21626,-0.141531,-7.54088,6.68269,-0.00934499,-0.00234379,-0.00214613,4,0,41.3870365049497,-91.92078030873796,9354.633604018843,-81.66732204220787,-0.8386610111410617,-2.8186787409809906,210.814,9077.867462759696,10906.843150451044,150,True,5.587737201128799,False,167.7181340017257,170.18435794757207,False,22.086077329013975,True,False
2,1970-07-23 10:13:54.001274558,2025-09-11,2025-09-26 15:10:00.127,HA,D,3098578082,JASSM,3,135,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-170653.10388358062,-4793388.125947799,4194675.588346958,-2.29541,0.0348981,-0.0796711,91.375,3.25,7.25,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.361764075837,-92.0389700273342,10000.00104158252,83.9080096316992,-0.0056821330671023,0.0057518350316969,,9077.867462759696,10906.843150451044,150,2,2025-09-11,2025-09-26 15:10:00.116,HA,D,385799498,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-160817.2007238927,-4791713.790867632,4196661.35304335,2.24099,3.00536,-0.0991473,-123.698,13.7187,9.21027,-0.0686614,-7.44592,6.7095,-0.00248111,-0.00429123,0.00504856,4,0,41.38715145308579,-91.92221198562522,9349.65020950214,-81.85306842916901,-0.6351890969923801,-3.325533109070376,211.12,9077.867462759696,10906.843150451044,150,True,5.474178184247966,False,167.8884652045405,169.8932617976143,False,22.203951164889514,True,False
2,1970-07-23 10:13:54.011396626,2025-09-11,2025-09-26 15:10:01.139,HA,D,3099830778,JASSM,3,135,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-170557.17321951812,-4793384.777314986,4194683.264128208,-2.29541,0.0348981,-0.0796711,91.375,3.25,7.25,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.36185611902322,-92.03782623302,9999.99938674936,83.90876546437116,-0.0048187362199547,0.0057522582215924,,9077.867462759696,10906.843150451044,150,2,2025-09-11,2025-09-26 15:10:01.114,HA,D,386992496,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-160941.149421553,-4791700.310667478,4196670.063205575,2.22155,3.00898,-0.0963079,-124.059,13.0772,8.98435,-0.0861917,-7.52096,6.83418,-0.0183665,0.00673176,-0.00656532,4,0,41.38726568468071,-91.9236978116853,9345.618674163828,-82.11284842382145,-0.5882432763910165,-4.415799229910031,211.535,9077.867462759696,10906.843150451044,150,True,5.360907794279804,False,168.18370372217197,169.5275143116009,False,22.269304403604565,True,False
2,1970-07-23 10:13:54.023330791,2025-09-11,2025-09-26 15:10:02.333,HA,D,3101083478,JASSM,3,135,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-170461.242311315,-4793381.427705611,4194690.939909458,-2.29541,0.0348981,-0.0796711,91.375,3.25,7.25,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.36194815669584,-92.0366824329828,10000.000068139569,83.90952130220997,-0.0039553368996675,0.0057526869918358,,9077.867462759696,10906.843150451044,150,2,2025-09-11,2025-09-26 15:10:02.515,HA,D,388662694,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-161114.5648802802,-4791682.610091028,4196682.019143053,2.19649,3.01432,-0.0919904,-124.658,12.0375,8.51965,-0.0251549,-7.72314,6.92176,-0.0165293,-0.00166135,-0.0133418,4,0,41.38741702220612,-91.9257761610266,9342.344280685396,-82.50188582468463,-0.5233390038450133,-5.819285432085428,212.232,9077.867462759696,10906.843150451044,150,True,5.2229920795712115,False,168.68961060597667,169.03821553221007,False,22.243722395741475,True,False
