Subject_cm,Timestamp,SampleDate_cm,SampleTime_cm,Configuration_cm,Scenario_cm,DisTime_cm,MarkingTxt_cm,Application_cm,EntId_cm,Site_cm,ExerciseId_cm,ForceId_cm,Category_cm,Country_cm,Domain_cm,Kind_cm,Extra_cm,Specific_cm,Subcategory_cm,AltCategory_cm,AltCountry_cm,AltDomain_cm,AltKind_cm,ECEF_X_cm,ECEF_Y_cm,ECEF_Z_cm,OriPhi_cm,OriPsi_cm,OriTheta_cm,LinVelX_cm,LinVelY_cm,LinVelZ_cm,LinAccX_cm,LinAccY_cm,LinAccZ_cm,AngVelX_cm,AngVelY_cm,AngVelZ_cm,DrAlg_cm,Appearance_cm,Latitude_cm,Longitude_cm,Altitude_cm,Heading_cm,Pitch_cm,Roll_cm,CalibratedAirspeed_cm,CM_Altitude_Lead_cm,CM_Altitude_Wing_cm,CM_Airspeed_cm,Subject_ac,SampleDate_ac,SampleTime_ac,Configuration_ac,Scenario_ac,DisTime_ac,MarkingTxt_ac,Application_ac,EntId_ac,Site_ac,ExerciseId_ac,ForceId_ac,Category_ac,Country_ac,Domain_ac,Kind_ac,Extra_ac,Specific_ac,Subcategory_ac,AltCategory_ac,AltCountry_ac,AltDomain_ac,AltKind_ac,ECEF_X_ac,ECEF_Y_ac,ECEF_Z_ac,OriPhi_ac,OriPsi_ac,OriTheta_ac,LinVelX_ac,LinVelY_ac,LinVelZ_ac,LinAccX_ac,LinAccY_ac,LinAccZ_ac,AngVelX_ac,AngVelY_ac,AngVelZ_ac,DrAlg_ac,Appearance_ac,Latitude_ac,Longitude_ac,Altitude_ac,Heading_ac,Pitch_ac,Roll_ac,CalibratedAirspeed_ac,CM_Altitude_Lead_ac,CM_Altitude_Wing_ac,CM_Airspeed_ac,Bank_Angle_Condition,distance_nm,Distance_Condition,angle_between_vel,angle_between_pos,Cone_Condition,angle_between_pos_nose,Nose_Cone_Condition,Intercept_Criteria
2,1970-07-23 11:43:09.137370969,2025-09-17,2025-09-26 19:55:13.737,AA,D,3135393784,JASSM,3,128,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-171330.01013358062,-4794094.945283736,4195226.004362583,-2.29541,0.0350898,-0.0800546,95.625,3.375,7.625,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.36113772422706,-92.04674931172336,12992.12611333108,83.87915846696026,-0.0051871875666513,0.006628859650881,,12143.848679953908,13948.384352032976,150,2,2025-09-17,2025-09-26 19:55:13.809,AA,D,3634034176,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-152909.8158655591,-4786276.251686171,4204304.059412505,2.40903,2.65354,-0.474894,-94.3499,57.473,63.0111,-0.192954,-7.23042,6.63032,-0.00669431,0.00675465,0.000962275,4,0,41.47262428404798,-91.82983760276566,11936.320396449031,-52.98322255192826,0.5334191862702397,0.3031009144364768,196.528,12143.848679953908,13948.384352032976,150,True,11.839136419591801,False,133.14096969070235,151.69557765006104,False,75.14334859287457,False,False
2,1970-07-23 11:43:09.147407533,2025-09-17,2025-09-26 19:55:14.740,AA,D,3136690668,JASSM,3,128,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-171226.04846365875,-4794091.324189986,4195234.330534458,-2.29541,0.0348022,-0.079767,95.625,3.375,7.625,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.36123754782793,-92.04550995977692,12992.125734486275,83.9032052673837,-0.002877705350658,0.005311999460212,,12143.848679953908,13948.384352032976,150,2,2025-09-17,2025-09-26 19:55:14.809,AA,D,3635227176,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-153004.3671328842,-4786218.442012532,4204366.742330349,2.37975,2.65286,-0.473484,-94.4424,57.5813,63.0035,-0.100994,-7.14654,6.51153,-0.0372104,-0.00874786,-0.00877283,4,0,41.4733732687474,-91.83099040677708,11937.904569525892,-53.01246590115265,0.4512411310013984,-1.3923205262957106,196.761,12143.848679953908,13948.384352032976,150,True,11.772614137600524,False,133.1478253927719,151.2433360899531,False,75.58961868260344,False,False
2,1970-07-23 11:43:09.158446579,2025-09-17,2025-09-26 19:55:15.844,AA,D,3137944004,JASSM,3,128,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-171125.57776053375,-4794087.824189986,4195242.376432896,-2.29541,0.0348022,-0.079767,95.625,3.375,7.625,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.36133400507276,-92.04431222109564,12992.127962336446,83.90399673892027,-0.0019735734283984,0.0053124389540157,,12143.848679953908,13948.384352032976,150,2,2025-09-17,2025-09-26 19:55:15.843,AA,D,3636459940,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-153103.1736059341,-4786158.028004669,4204431.892875629,2.33726,2.65422,-0.470031,-94.7561,57.7407,62.5635,-0.09039,-7.19838,6.71587,-0.057388,0.00615128,-0.00939909,4,0,41.47415358162875,-91.83219512101758,11938.794606669531,-53.19774965267305,0.3527450057188431,-3.793011848160902,196.944,12143.848679953908,13948.384352032976,150,True,11.707660808173442,False,133.32160529590016,150.77636422238038,False,75.88657347978541,False,False
2,1970-07-23 11:43:09.168465691,2025-09-17,2025-09-26 19:55:16.846,AA,D,3139196900,JASSM,3,128,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-171025.14221365875,-4794084.323213424,4195250.417448521,-2.29541,0.0348022,-0.079767,95.625,3.375,7.625,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.361430415223055,-92.04311489892446,12992.125508762769,83.90478793674446,-0.0010697586846558,0.0053128774441889,,12143.848679953908,13948.384352032976,150,2,2025-09-17,2025-09-26 19:55:16.709,AA,D,3637493874,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-153185.03898974255,-4786108.305225052,4204485.446375686,2.3009,2.65566,-0.466843,-95.2775,57.4337,62.2831,-0.138057,-7.1651,6.59843,-0.0323564,0.000764619,-0.00083952,4,0,41.47479523640505,-91.83319317265494,11939.429840912137,-53.376034469372605,0.2684514406486811,-5.840022420521536,197.249,12143.848679953908,13948.384352032976,150,True,11.646201599918633,False,133.61584788847338,150.36408597377846,False,76.00417173117638,False,False
2,1970-07-23 11:43:09.179506860,2025-09-17,2025-09-26 19:55:17.950,AA,D,3140507954,JASSM,3,128,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-170920.04455740875,-4794080.659150924,4195258.831511021,-2.29541,0.0348981,-0.079767,95.625,3.375,7.625,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.36153128929504,-92.04186199481474,12992.126662646418,83.90198591093481,-0.0042236075472756,0.0057511859333152,,12143.848679953908,13948.384352032976,150,2,2025-09-17,2025-09-26 19:55:18.076,AA,D,3639124304,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-153315.88202289992,-4786029.722298104,4204569.774000534,2.26801,2.66689,-0.454693,-96.2282,56.8722,61.568,-0.056562,-7.29313,6.78829,-0.0120851,0.000358903,-0.00938452,4,0,41.47580693800042,-91.83478802994348,11939.888993897932,-54.271965265195846,0.1453482915235246,-7.441743046617113,197.995,12143.848679953908,13948.384352032976,150,True,11.574623416719703,False,134.204405898339,149.77428735449658,False,76.00579742803167,False,False
2,1970-07-23 11:43:09.191528227,2025-09-17,2025-09-26 19:55:19.152,AA,D,3141881748,JASSM,3,128,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-170809.91736014312,-4794076.818330611,4195267.646940708,-2.29541,0.0348981,-0.079767,95.625,3.375,7.625,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.3616369757845,-92.04054912832316,12992.127721778385,83.90285346461177,-0.003232578560373,0.0057516056381017,,12143.848679953908,13948.384352032976,150,2,2025-09-17,2025-09-26 19:55:19.011,AA,D,3640237770,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-153406.75611740362,-4785976.2009079885,4204627.268020994,2.28648,2.67244,-0.450286,-96.9963,56.2381,61.1701,-0.124932,-7.39924,6.81953,0.0764546,-0.00191311,-0.0112945,4,0,41.47649604536809,-91.8358953264128,11940.479632747612,-54.65415295615675,0.1547141615312934,-6.24544045381162,198.398,12143.848679953908,13948.384352032976,150,True,11.507914307865535,False,134.67124392841103,149.31267695475634,False,75.99851105027007,False,False
2,1970-07-23 11:43:09.202389212,2025-09-17,2025-09-26 19:55:20.238,AA,D,3143193744,JASSM,3,128,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-170704.74402029935,-4794073.148408736,4195276.063932896,-2.29541,0.0348981,-0.0796711,95.625,3.375,7.625,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.36173789254028,-92.0392953154042,12992.125876292976,83.90779467778833,-0.0059276787626875,0.0057517100405823,,12143.848679953908,13948.384352032976,150,2,2025-09-17,2025-09-26 19:55:20.309,AA,D,3641788668,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-153533.42276482392,-4785903.354690181,4204705.923773674,2.33087,2.68643,-0.445865,-97.6993,55.4183,60.8769,-0.133512,-7.45056,6.82659,0.00290139,-0.00639471,0.00910364,4,0,41.47743609372135,-91.83743811887648,11942.405049704978,-55.35666498150678,0.4626611410597244,-3.358929794962493,198.63,12143.848679953908,13948.384352032976,150,True,11.437779352751596,False,135.13101446661008,148.73338931614728,False,76.1136772481506,False,False
2,1970-07-23 11:43:09.213426712,2025-09-17,2025-09-26 19:55:21.342,AA,D,3144505070,JASSM,3,128,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-170599.62439139312,-4794069.479463424,4195284.476042271,-2.29541,0.0348981,-0.0796711,95.625,3.375,7.625,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.36183874549536,-92.0380421393052,12992.126273095071,83.90862279086447,-0.0049817135975274,0.0057521782915745,,12143.848679953908,13948.384352032976,150,2,2025-09-17,2025-09-26 19:55:21.276,AA,D,3642941900,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-153627.41234807912,-4785850.0419995785,4204763.975077611,2.30529,2.68608,-0.45025,-98.0896,54.9322,60.7395,-0.0617774,-7.35299,6.69436,-0.023156,0.00183196,0.00807791,4,0,41.47812709342147,-91.83858265078226,11944.982758429833,-55.17286355389484,0.6351727762744022,-4.831415676634941,198.85,12143.848679953908,13948.384352032976,150,True,11.373829607240175,False,135.38581764095463,148.2617814749245,False,76.32736045897508,False,False
2,1970-07-23 11:43:09.224445633,2025-09-17,2025-09-26 19:55:22.444,AA,D,3145816598,JASSM,3,128,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-170494.488405065,-4794065.808564986,4195292.888151646,-2.29541,0.0348981,-0.0796711,95.625,3.375,7.625,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.36193959986612,-92.0367887649193,12992.126147635408,83.90945103663452,-0.0040356017542354,0.0057526459869849,,12143.848679953908,13948.384352032976,150,2,2025-09-17,2025-09-26 19:55:22.609,AA,D,3644532566,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-153758.79153684902,-4785776.541570463,4204844.060341025,2.23308,2.69532,-0.435899,-98.9393,54.6254,59.7205,-0.198125,-7.15379,6.46985,-0.0592855,0.0056561,-0.0130776,4,0,41.47907973795748,-91.84018213237212,11948.803936227872,-56.08549468586501,0.3646482548013528,-8.7497647577027,198.924,12143.848679953908,13948.384352032976,150,True,11.304339869038218,False,135.9679588367807,147.65826443699729,False,76.35356303990112,False,False
2,1970-07-23 11:43:09.234485422,2025-09-17,2025-09-26 19:55:23.448,AA,D,3147009646,JASSM,3,128,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-170398.85193045562,-4794062.467744674,4195300.539518833,-2.29541,0.0348981,-0.0796711,95.625,3.375,7.625,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.36203133473815,-92.0356486358956,12992.125599099229,83.91020444987032,-0.0031749753850133,0.0057530764120873,,12143.848679953908,13948.384352032976,150,2,2025-09-17,2025-09-26 19:55:23.543,AA,D,3645646032,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-153852.35817795538,-4785725.38006884,4204899.344995308,2.17616,2.70332,-0.430408,-99.9182,53.8634,58.685,0.0985364,-7.26272,6.55197,-0.0324458,0.00204418,-0.0167373,4,0,41.47973932342061,-91.841320836214,11950.639403982572,-56.604744673582175,0.4230206996502001,-11.822359089391671,199.449,12143.848679953908,13948.384352032976,150,False,11.245501631605642,False,136.69140535265004,147.19746563921555,False,76.09192985423505,False,False
