Subject_cm,Timestamp,SampleDate_cm,SampleTime_cm,Configuration_cm,Scenario_cm,DisTime_cm,MarkingTxt_cm,Application_cm,EntId_cm,Site_cm,ExerciseId_cm,ForceId_cm,Category_cm,Country_cm,Domain_cm,Kind_cm,Extra_cm,Specific_cm,Subcategory_cm,AltCategory_cm,AltCountry_cm,AltDomain_cm,AltKind_cm,ECEF_X_cm,ECEF_Y_cm,ECEF_Z_cm,OriPhi_cm,OriPsi_cm,OriTheta_cm,LinVelX_cm,LinVelY_cm,LinVelZ_cm,LinAccX_cm,LinAccY_cm,LinAccZ_cm,AngVelX_cm,AngVelY_cm,AngVelZ_cm,DrAlg_cm,Appearance_cm,Latitude_cm,Longitude_cm,Altitude_cm,Heading_cm,Pitch_cm,Roll_cm,CalibratedAirspeed_cm,CM_Altitude_Lead_cm,CM_Altitude_Wing_cm,CM_Airspeed_cm,Subject_ac,SampleDate_ac,SampleTime_ac,Configuration_ac,Scenario_ac,DisTime_ac,MarkingTxt_ac,Application_ac,EntId_ac,Site_ac,ExerciseId_ac,ForceId_ac,Category_ac,Country_ac,Domain_ac,Kind_ac,Extra_ac,Specific_ac,Subcategory_ac,AltCategory_ac,AltCountry_ac,AltDomain_ac,AltKind_ac,ECEF_X_ac,ECEF_Y_ac,ECEF_Z_ac,OriPhi_ac,OriPsi_ac,OriTheta_ac,LinVelX_ac,LinVelY_ac,LinVelZ_ac,LinAccX_ac,LinAccY_ac,LinAccZ_ac,AngVelX_ac,AngVelY_ac,AngVelZ_ac,DrAlg_ac,Appearance_ac,Latitude_ac,Longitude_ac,Altitude_ac,Heading_ac,Pitch_ac,Roll_ac,CalibratedAirspeed_ac,CM_Altitude_Lead_ac,CM_Altitude_Wing_ac,CM_Airspeed_ac,Bank_Angle_Condition,distance_nm,Distance_Condition,angle_between_vel,angle_between_pos,Cone_Condition,angle_between_pos_nose,Nose_Cone_Condition,Intercept_Criteria
10,1970-07-23 11:12:23.035459581,2025-09-15,2025-09-26 16:38:23.545,HA,C,2793155806,JASSM,3,116,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-173030.46765311187,-4770005.727510299,4221429.866667271,-2.51458,-0.703426,0.607361,53.625,-45.375,-48.75,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.68092199108541,-92.07747560513072,10997.37121409728,139.8281221446052,-0.0014706522663769,0.0009622888116921,,10033.677516021671,11963.558957041,150,10,2025-09-15,2025-09-26 16:38:23.359,HA,C,2424600132,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-141546.20875843588,-4793884.760554887,4195204.443964556,2.27974,2.97832,-0.226712,-100.146,24.9757,29.1333,-0.231961,-8.49385,7.84515,0.000687637,0.00790314,-0.00239789,4,0,41.36801828706616,-91.6912473317025,10036.23179161259,-75.23222293715993,2.9250709132556945,-1.2431591033528016,170.963,10033.677516021671,11963.558957041,150,True,25.534700532485893,False,149.77986621755252,177.20447773978947,False,27.454363472625705,True,False
10,1970-07-23 11:12:23.045219591,2025-09-15,2025-09-26 16:38:24.521,HA,C,2794230118,JASSM,3,116,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-172982.21277029935,-4770046.665010299,4221385.886198521,-2.51458,-0.703426,0.607361,53.625,-45.375,-48.75,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.68039205944921,-92.07687893569606,10997.378636555108,139.82851891682952,-0.0007782564315428,0.0009609531492264,,10033.677516021671,11963.558957041,150,10,2025-09-15,2025-09-26 16:38:24.493,HA,C,2425952198,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-141660.3456941636,-4793856.729111104,4195237.41124875,2.27932,2.97435,-0.224132,-99.9032,24.1511,29.3428,-0.214894,-7.33275,6.80933,0.0114485,-0.000134198,-0.00330086,4,0,41.36838756226861,-91.69262018131089,10047.023114818408,-75.19516722400192,2.662474207770976,-1.3160493308267245,170.132,10033.677516021671,11963.558957041,150,True,25.43532309804605,False,149.6094945189959,177.2677399115652,False,27.683247457758547,True,False
10,1970-07-23 11:12:23.054279795,2025-09-15,2025-09-26 16:38:25.427,HA,C,2795304768,JASSM,3,116,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-172933.94275076812,-4770087.614229049,4221341.890104771,-2.51458,-0.703426,0.607456,53.625,-45.375,-48.75,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.67986195285519,-92.07628208938011,10997.382378632554,139.83213773844162,-0.0045325927400259,0.0009594833221854,,10033.677516021671,11963.558957041,150,10,2025-09-15,2025-09-26 16:38:25.593,HA,C,2427264496,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-141769.4675847721,-4793830.123909316,4195268.961323222,2.28682,2.97876,-0.223022,-99.6161,23.994,29.1298,-0.196409,-7.35336,6.71313,0.00269541,0.00179035,0.000308968,4,0,41.36873965108688,-91.69393265397431,10057.894237011324,-75.4083263485745,2.804660049457524,-0.8406437771131282,169.521,10033.677516021671,11963.558957041,150,True,25.338552374564983,False,149.53258174190466,177.32857292232882,False,27.821992429954776,True,False
10,1970-07-23 11:12:23.063318946,2025-09-15,2025-09-26 16:38:26.331,HA,C,2796378576,JASSM,3,116,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-172885.71081717435,-4770128.528291549,4221297.925261021,-2.51458,-0.703426,0.607456,53.625,-45.375,-48.75,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.6793322551231,-92.07568572500942,10997.374644282489,139.83253429963457,-0.0038405177849354,0.0009581785586132,,10033.677516021671,11963.558957041,150,10,2025-09-15,2025-09-26 16:38:26.293,HA,C,2428099596,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-141839.12479026447,-4793813.378075438,4195288.903954581,2.28835,2.97441,-0.225528,-99.4086,23.8787,28.9194,-0.128156,-7.18826,6.4089,0.00367537,-0.0117065,-0.00021118,4,0,41.36896165352548,-91.6947703846415,10064.994225204411,-75.1394765752131,2.720348554813093,-0.7957569542036228,169.167,10033.677516021671,11963.558957041,150,True,25.261969357422718,False,149.4559319755009,177.36627974485089,False,27.93731455403365,True,False
10,1970-07-23 11:12:23.072271318,2025-09-15,2025-09-26 16:38:27.227,HA,C,2797452770,JASSM,3,116,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-172837.46130545562,-4770169.457979049,4221253.948698521,-2.51458,-0.703426,0.607456,53.625,-45.375,-48.75,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.678802385857615,-92.07508915276904,10997.381099588676,139.83293099491686,-0.0031482092338284,0.0009568893848305,,10033.677516021671,11963.558957041,150,10,2025-09-15,2025-09-26 16:38:27.059,HA,C,2429014228,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-141915.24463297357,-4793794.888712911,4195310.87966053,2.30027,2.97211,-0.229717,-99.1862,23.7916,28.9421,0.114461,-7.0297,6.44814,0.0281536,0.00103302,0.00600564,4,0,41.36920660956439,-91.69568591104876,10072.685312796595,-74.8752466971027,2.7857329476721766,-0.1297031895859439,168.593,10033.677516021671,11963.558957041,150,True,25.18201313736042,False,149.4750289190548,177.40792200550382,False,27.95986728830832,True,False
10,1970-07-23 11:12:23.081301012,2025-09-15,2025-09-26 16:38:28.130,HA,C,2798585762,JASSM,3,116,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-172786.57068045562,-4770212.625947799,4221207.558073521,-2.51458,-0.703426,0.607456,53.625,-45.375,-48.75,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.6782434757348,-92.07445993650964,10997.371009420194,139.83334939260868,-0.0024179797184382,0.0009555077269963,,10033.677516021671,11963.558957041,150,10,2025-09-15,2025-09-26 16:38:27.959,HA,C,2430087926,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-142004.08299224993,-4793773.254076939,4195336.742601802,2.32369,2.97146,-0.232771,-98.7612,23.9059,28.9965,-0.0656936,-7.26754,6.53038,0.0233432,0.00516924,-0.00835463,4,0,41.3694942724057,-91.69675443621304,10081.99511233747,-74.72119777036131,2.876337996981392,1.2111106188527478,168.324,10033.677516021671,11963.558957041,150,True,25.093285007847918,False,149.6167137480427,177.45718285744348,False,27.868397746376285,True,False
10,1970-07-23 11:12:23.090482886,2025-09-15,2025-09-26 16:38:29.048,HA,C,2799659558,JASSM,3,116,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-172738.33923514312,-4770253.540010299,4221163.597136021,-2.51448,-0.703426,0.607456,53.625,-45.375,-48.75,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.67771379454726,-92.07386360787882,10997.3811669904,139.8337459174061,-0.0017259273714352,0.0064456885241603,,10033.677516021671,11963.558957041,150,10,2025-09-15,2025-09-26 16:38:29.192,HA,C,2431559292,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-142126.1375114588,-4793743.313252866,4195372.39111324,2.34095,2.97046,-0.235794,-98.2272,24.1024,29.249,0.0240798,-6.99051,6.67336,0.0120831,-0.0111343,-0.0019568,4,0,41.36989154551155,-91.6982225675652,10094.509587163824,-74.55618253513191,2.95213768307659,2.1954205772682758,167.346,10033.677516021671,11963.558957041,150,True,24.989933293715957,False,149.88112561732552,177.52708031674172,False,27.6745574871118,True,False
10,1970-07-23 11:12:23.099239773,2025-09-15,2025-09-26 16:38:29.923,HA,C,2800733372,JASSM,3,116,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-172690.10632498687,-4770294.450166549,4221119.628386021,-2.51448,-0.70333,0.607456,53.625,-45.375,-48.75,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.67718408138292,-92.07326727315288,10997.367637882646,139.83049111013102,-0.0036794852574657,0.0033101113460984,,10033.677516021671,11963.558957041,150,10,2025-09-15,2025-09-26 16:38:29.892,HA,C,2432394392,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-142194.55648366513,-4793726.376144083,4195392.643170776,2.35292,2.96608,-0.243234,-97.8478,24.2415,29.4118,-0.0652036,-7.25307,6.40841,0.0157511,-0.00341738,0.0104539,4,0,41.3701169613156,-91.69904560577405,10101.733952644352,-74.0760649276128,3.0563862119172764,2.846417053822793,167.077,10033.677516021671,11963.558957041,150,True,24.91369825794125,False,150.06401765682116,177.56443407331565,False,27.52945156548652,True,False
10,1970-07-23 11:12:23.109281301,2025-09-15,2025-09-26 16:38:30.928,HA,C,2801926152,JASSM,3,116,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-172636.53015311187,-4770339.895479049,4221070.792448521,-2.51448,-0.70333,0.607456,53.625,-45.375,-48.75,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.67659568887362,-92.0726048863324,10997.37185725376,139.8309315505194,-0.0029107381164147,0.0033086221339918,,10033.677516021671,11963.558957041,150,10,2025-09-15,2025-09-26 16:38:30.726,HA,C,2433388556,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-142275.88142093798,-4793705.895977149,4195417.117453415,2.36919,2.96266,-0.24459,-97.437,24.7005,29.6202,-0.18869,-7.10241,6.6607,0.0145569,0.000242389,0.00698768,4,0,41.37038967528844,-91.70002402487546,10110.339551374069,-73.89124627801486,2.967540501091076,3.7414066353337376,166.808,10033.677516021671,11963.558957041,150,True,24.82610364325595,False,150.38608201382849,177.60900323142027,False,27.254016311136237,True,False
10,1970-07-23 11:12:23.119309047,2025-09-15,2025-09-26 16:38:31.930,HA,C,2803117730,JASSM,3,116,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-172583.00818045562,-4770385.293916549,4221022.003386021,-2.51448,-0.70333,0.607456,53.625,-45.375,-48.75,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.67600787611914,-92.0719431820408,10997.372109364744,139.8313715319818,-0.002142759901696,0.0033071266948917,,10033.677516021671,11963.558957041,150,10,2025-09-15,2025-09-26 16:38:31.992,HA,C,2434899688,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-142398.19399740643,-4793674.332858045,4195454.356925966,2.38385,2.95169,-0.248662,-96.8017,25.4495,29.9609,0.0521854,-6.90017,6.20059,0.014792,-0.00273494,0.0175529,4,0,41.37080725041732,-91.70149584947256,10122.349775594988,-73.31011969761406,2.6726979562373465,4.456189737385184,165.586,10033.677516021671,11963.558957041,150,True,24.717276468634438,False,150.90690785833485,177.67808937574134,False,26.805769771307467,True,False
