Subject_cm,Timestamp,SampleDate_cm,SampleTime_cm,Configuration_cm,Scenario_cm,DisTime_cm,MarkingTxt_cm,Application_cm,EntId_cm,Site_cm,ExerciseId_cm,ForceId_cm,Category_cm,Country_cm,Domain_cm,Kind_cm,Extra_cm,Specific_cm,Subcategory_cm,AltCategory_cm,AltCountry_cm,AltDomain_cm,AltKind_cm,ECEF_X_cm,ECEF_Y_cm,ECEF_Z_cm,OriPhi_cm,OriPsi_cm,OriTheta_cm,LinVelX_cm,LinVelY_cm,LinVelZ_cm,LinAccX_cm,LinAccY_cm,LinAccZ_cm,AngVelX_cm,AngVelY_cm,AngVelZ_cm,DrAlg_cm,Appearance_cm,Latitude_cm,Longitude_cm,Altitude_cm,Heading_cm,Pitch_cm,Roll_cm,CalibratedAirspeed_cm,CM_Altitude_Lead_cm,CM_Altitude_Wing_cm,CM_Airspeed_cm,Subject_ac,SampleDate_ac,SampleTime_ac,Configuration_ac,Scenario_ac,DisTime_ac,MarkingTxt_ac,Application_ac,EntId_ac,Site_ac,ExerciseId_ac,ForceId_ac,Category_ac,Country_ac,Domain_ac,Kind_ac,Extra_ac,Specific_ac,Subcategory_ac,AltCategory_ac,AltCountry_ac,AltDomain_ac,AltKind_ac,ECEF_X_ac,ECEF_Y_ac,ECEF_Z_ac,OriPhi_ac,OriPsi_ac,OriTheta_ac,LinVelX_ac,LinVelY_ac,LinVelZ_ac,LinAccX_ac,LinAccY_ac,LinAccZ_ac,AngVelX_ac,AngVelY_ac,AngVelZ_ac,DrAlg_ac,Appearance_ac,Latitude_ac,Longitude_ac,Altitude_ac,Heading_ac,Pitch_ac,Roll_ac,CalibratedAirspeed_ac,CM_Altitude_Lead_ac,CM_Altitude_Wing_ac,CM_Airspeed_ac,Bank_Angle_Condition,distance_nm,Distance_Condition,angle_between_vel,angle_between_pos,Cone_Condition,angle_between_pos_nose,Nose_Cone_Condition,Intercept_Criteria
10,1970-07-23 11:12:31.135271067,2025-09-15,2025-09-26 16:51:53.527,HA,D,3759465074,JASSM,3,127,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-188388.2308367056,-4786526.915010299,4202616.749479771,-2.30155,-0.153302,0.128183,89.75,-13.75,-11.625,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.45222129878837,-92.25388522495172,11994.748241840012,99.81541667041851,-0.0052299979773615,0.0023916147570531,,10914.903477918164,12878.403777491774,150,10,2025-09-15,2025-09-26 16:51:53.711,HA,D,2709231516,HAWK11,1,1,73,2,1,1,225,2,1,0,0,12,1,225,2,1,-143954.29138358062,-4792155.830049361,4198395.770964146,2.30548,2.99903,-0.206512,-108.0,17.75,20.25,0.03125,-7.35938,6.625,0.0,0.00976562,0.00195312,4,0,41.3994210203364,-91.72062304533245,12880.489877738057,-76.89040209727696,3.046885599548705,0.3760457865150373,173.469,10914.903477918164,12878.403777491774,150,True,24.189406990040517,False,176.75492673777487,177.58114685616064,False,5.511162748176396,True,False
10,1970-07-23 11:12:31.146290063,2025-09-15,2025-09-26 16:51:54.629,HA,D,3760776132,JASSM,3,127,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-188289.53357108065,-4786542.176729049,4202603.878386021,-2.30155,-0.153302,0.128183,89.75,-13.75,-11.625,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.45206675876115,-92.25269844802096,11994.751155446726,99.816202309983,-0.0043271733771741,0.002390980237393,,10914.903477918164,12878.403777491774,150,10,2025-09-15,2025-09-26 16:51:54.616,HA,D,2710066616,HAWK11,1,1,73,2,1,1,225,2,1,0,0,12,1,225,2,1,-144031.00622733062,-4792143.081025924,4198409.749479771,2.32417,2.99941,-0.204978,-107.625,17.625,20.375,-0.25,-7.39062,6.51562,0.0390625,0.00390625,-0.0078125,4,0,41.39957749474462,-91.72154401010437,12885.127135930055,-76.97103609800838,3.0051558745559004,1.4474775666614572,172.295,10914.903477918164,12878.403777491774,150,True,24.093050477243846,False,176.66238078015957,177.56646277803168,False,5.606447958510991,True,False
10,1970-07-23 11:12:31.157199456,2025-09-15,2025-09-26 16:51:55.719,HA,D,3762090244,JASSM,3,127,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-188190.60778983065,-4786557.471650924,4202590.976042271,-2.30155,-0.153302,0.128183,89.75,-13.75,-11.625,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.45191185155421,-92.25150892997904,11994.750911729256,99.81698976172962,-0.0034222596642068,0.0023903469500404,,10914.903477918164,12878.403777491774,150,10,2025-09-15,2025-09-26 16:51:55.821,HA,D,2711697048,HAWK11,1,1,73,2,1,1,225,2,1,0,0,12,1,225,2,1,-144178.23083670562,-4792117.937471236,4198437.202604771,2.36262,2.99519,-0.213319,-106.625,18.0,20.75,-0.0625,-7.34375,6.35938,0.0234375,0.0,0.0117188,4,0,41.399886021854186,-91.7233117018781,12893.7307290651,-76.45743440282273,3.148170869957001,3.6276917994744218,171.208,10914.903477918164,12878.403777491774,150,True,23.95762776663297,False,176.3310526832737,177.54206978521762,False,5.995990405745201,True,False
10,1970-07-23 11:12:31.169150124,2025-09-15,2025-09-26 16:51:56.915,HA,D,3763461488,JASSM,3,127,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-188087.38122733065,-4786573.430635299,4202577.513151646,-2.30155,-0.153302,0.128183,89.75,-13.75,-11.625,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.45175020447813,-92.25026770429432,11994.75489298978,99.817811440955,-0.0024780065960115,0.0023896937256967,,10914.903477918164,12878.403777491774,150,10,2025-09-15,2025-09-26 16:51:56.711,HA,D,2712810512,HAWK11,1,1,73,2,1,1,225,2,1,0,0,12,1,225,2,1,-144276.76599295562,-4792100.786104049,4198455.989714146,2.36195,2.98733,-0.220893,-105.875,18.5,20.875,-0.359375,-7.3125,6.26562,-0.0429688,-0.00195312,0.0136719,4,0,41.40009720997152,-91.72449491542632,12899.597034873092,-75.84062614969108,3.11011990827733,3.525930366244184,170.413,10914.903477918164,12878.403777491774,150,True,23.846673528962683,False,176.11908128675105,177.52273731307346,False,6.266724811248999,True,False
10,1970-07-23 11:12:31.180171640,2025-09-15,2025-09-26 16:51:58.017,HA,D,3764773558,JASSM,3,127,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-187988.60778983065,-4786588.698213424,4202564.628386021,-2.30155,-0.153302,0.128183,89.75,-13.75,-11.625,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.45159551783684,-92.2490800314105,11994.751027631251,99.81859766628416,-0.0015744889087862,0.002389068091599,,10914.903477918164,12878.403777491774,150,10,2025-09-15,2025-09-26 16:51:58.022,HA,D,2714083044,HAWK11,1,1,73,2,1,1,225,2,1,0,0,12,1,225,2,1,-144390.94372733062,-4792080.292939986,4198478.169401646,2.29023,2.97937,-0.224824,-105.25,18.75,21.0,-0.1875,-7.28125,6.21875,-0.0507812,-0.00585938,0.0,4,0,41.40034835905149,-91.72586619714052,12905.768411163592,-75.37647392834543,2.930143672529155,-0.6592185537163148,169.167,10914.903477918164,12878.403777491774,150,True,23.72946406713505,False,175.94345883012943,177.50045289568558,False,6.480612958822921,True,False
10,1970-07-23 11:12:31.190208403,2025-09-15,2025-09-26 16:51:59.020,HA,D,3766027392,JASSM,3,127,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-187894.2191179556,-4786603.288057174,4202552.313932896,-2.30155,-0.153302,0.128183,89.75,-13.75,-11.625,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.451447675187545,-92.24794508714416,11994.748643139834,99.81934898364064,-0.000711078338041,0.0023884589355457,,10914.903477918164,12878.403777491774,150,10,2025-09-15,2025-09-26 16:51:59.117,HA,D,2715673710,HAWK11,1,1,73,2,1,1,225,2,1,0,0,12,1,225,2,1,-144531.12536795562,-4792055.057588424,4198505.173307896,2.26607,2.98494,-0.218688,-104.5,18.75,20.25,-0.140625,-7.34375,6.21875,0.00976562,-0.00976562,-0.015625,4,0,41.400655596534406,-91.7275498277049,12912.677972990963,-75.84744545950414,2.9283538538768377,-1.9974103954888012,168.312,10914.903477918164,12878.403777491774,150,True,23.600295994159776,False,176.21168925908512,177.47459355571985,False,6.260226282277008,True,False
10,1970-07-23 11:12:31.200282086,2025-09-15,2025-09-26 16:52:00.028,HA,D,3767220438,JASSM,3,127,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-187804.4066179556,-4786617.170869674,4202540.597136021,-2.30145,-0.153206,0.128183,89.75,-13.75,-11.625,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.451306992203705,-92.24686517212616,11994.75292872713,99.81642750063146,-0.0039464657352891,0.0071772683265702,,10914.903477918164,12878.403777491774,150,10,2025-09-15,2025-09-26 16:52:00.022,HA,D,2716707642,HAWK11,1,1,73,2,1,1,225,2,1,0,0,12,1,225,2,1,-144621.65271170562,-4792038.628877486,4198522.477995396,2.30807,2.99002,-0.217538,-103.875,18.625,20.125,-0.078125,-7.32812,6.375,0.117188,0.0078125,0.00390625,4,0,41.40085387373973,-91.72863714823757,12916.53005986765,-76.0871100933579,3.097109475863341,0.4590360025526269,167.603,10914.903477918164,12878.403777491774,150,True,23.5010743376766,False,176.21594224485176,177.45600785095488,False,6.274022722212911,True,False
10,1970-07-23 11:12:31.211271034,2025-09-15,2025-09-26 16:52:01.127,HA,D,3768532696,JASSM,3,127,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-187705.61950858065,-4786632.438447799,4202527.708464146,-2.30145,-0.153206,0.128279,89.75,-13.75,-11.625,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.45115224726808,-92.24567735201042,11994.754198848888,99.82130433612669,-0.0067092484030312,0.0071762351656661,,10914.903477918164,12878.403777491774,150,10,2025-09-15,2025-09-26 16:52:01.211,HA,D,2718179008,HAWK11,1,1,73,2,1,1,225,2,1,0,0,12,1,225,2,1,-144750.10778983062,-4792015.277314986,4198546.983854771,2.41669,2.9811,-0.225783,-103.0,19.25,20.375,-0.1875,-7.29688,6.32812,0.0136719,0.00195312,0.0214844,4,0,41.40113511114165,-91.73018004238716,12921.799791462394,-75.40278343603777,3.04191336003516,6.60718437799278,166.112,10914.903477918164,12878.403777491774,150,True,23.3759816052961,False,175.85560486866012,177.43116929011788,False,6.683829692910625,True,False
10,1970-07-23 11:12:31.222297411,2025-09-15,2025-09-26 16:52:02.229,HA,D,3769843286,JASSM,3,127,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-187606.9573992056,-4786647.684541549,4202514.833464146,-2.30145,-0.153206,0.128279,89.75,-13.75,-11.625,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.450997680999365,-92.2444910415494,11994.74962471047,99.82208965031565,-0.0058067493266843,0.0071756104199543,,10914.903477918164,12878.403777491774,150,10,2025-09-15,2025-09-26 16:52:02.117,HA,D,2719332240,HAWK11,1,1,73,2,1,1,225,2,1,0,0,12,1,225,2,1,-144850.02966483062,-4791996.122041549,4198566.681120396,2.41861,2.96356,-0.236233,-102.25,20.0,20.875,0.0,-7.20312,6.25,0.00195312,0.00195312,0.0234375,4,0,41.40136404155125,-91.73138058613614,12924.845624898857,-74.30276464668412,2.7152317846587217,6.54218285689364,165.379,10914.903477918164,12878.403777491774,150,True,23.266632362611055,False,175.34395438598284,177.40884346347755,False,7.232490869464409,True,False
10,1970-07-23 11:12:31.233168789,2025-09-15,2025-09-26 16:52:03.316,HA,D,3771097108,JASSM,3,127,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-187512.5706804556,-4786662.270479049,4202502.517057896,-2.30145,-0.153206,0.128279,89.75,-13.75,-11.625,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.45084980268531,-92.24335614329723,11994.752838925388,99.82284092837928,-0.0049433588945863,0.0071750141973704,,10914.903477918164,12878.403777491774,150,10,2025-09-15,2025-09-26 16:52:03.523,HA,D,2720922904,HAWK11,1,1,73,2,1,1,225,2,1,0,0,12,1,225,2,1,-144985.92419608062,-4791968.873018111,4198594.397917271,2.35955,2.95454,-0.244958,-101.375,20.75,21.5,0.0,-7.25,6.46875,-0.0136719,-0.00390625,0.00585938,4,0,41.40168875881603,-91.73301378086776,12928.065012032075,-73.59596515346989,2.679271399103841,3.0686954898093397,164.829,10914.903477918164,12878.403777491774,150,True,23.139597157352856,False,174.74007476856175,177.37877171802913,False,7.873931032254576,True,False
