Subject_cm,Timestamp,SampleDate_cm,SampleTime_cm,Configuration_cm,Scenario_cm,DisTime_cm,MarkingTxt_cm,Application_cm,EntId_cm,Site_cm,ExerciseId_cm,ForceId_cm,Category_cm,Country_cm,Domain_cm,Kind_cm,Extra_cm,Specific_cm,Subcategory_cm,AltCategory_cm,AltCountry_cm,AltDomain_cm,AltKind_cm,ECEF_X_cm,ECEF_Y_cm,ECEF_Z_cm,OriPhi_cm,OriPsi_cm,OriTheta_cm,LinVelX_cm,LinVelY_cm,LinVelZ_cm,LinAccX_cm,LinAccY_cm,LinAccZ_cm,AngVelX_cm,AngVelY_cm,AngVelZ_cm,DrAlg_cm,Appearance_cm,Latitude_cm,Longitude_cm,Altitude_cm,Heading_cm,Pitch_cm,Roll_cm,CalibratedAirspeed_cm,CM_Altitude_Lead_cm,CM_Altitude_Wing_cm,CM_Airspeed_cm,Subject_ac,SampleDate_ac,SampleTime_ac,Configuration_ac,Scenario_ac,DisTime_ac,MarkingTxt_ac,Application_ac,EntId_ac,Site_ac,ExerciseId_ac,ForceId_ac,Category_ac,Country_ac,Domain_ac,Kind_ac,Extra_ac,Specific_ac,Subcategory_ac,AltCategory_ac,AltCountry_ac,AltDomain_ac,AltKind_ac,ECEF_X_ac,ECEF_Y_ac,ECEF_Z_ac,OriPhi_ac,OriPsi_ac,OriTheta_ac,LinVelX_ac,LinVelY_ac,LinVelZ_ac,LinAccX_ac,LinAccY_ac,LinAccZ_ac,AngVelX_ac,AngVelY_ac,AngVelZ_ac,DrAlg_ac,Appearance_ac,Latitude_ac,Longitude_ac,Altitude_ac,Heading_ac,Pitch_ac,Roll_ac,CalibratedAirspeed_ac,CM_Altitude_Lead_ac,CM_Altitude_Wing_ac,CM_Airspeed_ac,Bank_Angle_Condition,distance_nm,Distance_Condition,angle_between_vel,angle_between_pos,Cone_Condition,angle_between_pos_nose,Nose_Cone_Condition,Intercept_Criteria
3,1970-07-23 10:17:04.326292773,2025-09-11,2025-09-26 20:27:12.629,HA,C,2534624460,JASSM,3,115,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-180574.90564139312,-4777983.532197799,4211687.130339146,-2.36693,-0.400848,0.381002,79.875,-33.75,-34.625,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.56605798633762,-92.16435620626552,10002.628366901065,119.79869683540142,-0.0029745267833744,0.0045531293429336,,8905.102926237949,10943.217344713625,150,3,2025-09-11,2025-09-26 20:27:12.737,HA,C,1617287414,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-144243.76351990676,-4792523.566254889,4196136.997728628,2.29525,2.90582,-0.243079,-110.422,18.8494,22.634,-0.0521706,-7.49294,6.46191,-0.00147826,0.00329046,-0.00404156,4,0,41.3819320891372,-91.72394868280492,8906.759708570842,-71.84055171384233,0.5944322300927499,-1.2234607875635668,195.099,8905.102926237949,10943.217344713625,150,True,22.64780009489643,False,163.6639428320695,178.97910534250465,False,15.479333916486729,True,False
3,1970-07-23 10:17:04.337310450,2025-09-11,2025-09-26 20:27:13.731,HA,C,2535877426,JASSM,3,115,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-180490.9495867056,-4778019.123994674,4211650.597136021,-2.36693,-0.400848,0.381098,79.875,-33.75,-34.625,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.56561855887399,-92.1633347725004,10002.627641279149,119.80321655731588,-0.0060190239515168,0.0045513251760231,,8905.102926237949,10943.217344713625,150,3,2025-09-11,2025-09-26 20:27:13.802,HA,C,1618559946,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-144360.57953215786,-4792501.341879098,4196159.176764516,2.29379,2.90704,-0.244942,-110.261,20.4826,21.0823,-0.259466,-7.49316,6.63742,-0.00132222,0.00275367,-0.00443063,4,0,41.382193117627466,-91.72535197767152,8908.833749161051,-71.80930351556343,0.7180425844675387,-1.2894726928530644,194.72,8905.102926237949,10943.217344713625,150,True,22.532400884953848,False,163.73834516962782,179.01015867007564,False,15.488776598941888,True,False
3,1970-07-23 10:17:04.348289956,2025-09-11,2025-09-26 20:27:14.828,HA,C,2537189022,JASSM,3,115,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-180403.06482108065,-4778056.377900924,4211612.352995396,-2.36693,-0.400848,0.381098,79.875,-33.75,-34.625,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.565158569782376,-92.16226555726314,10002.620859573106,119.80392595435882,-0.0050962212183728,0.0045497921604792,,8905.102926237949,10943.217344713625,150,3,2025-09-11,2025-09-26 20:27:14.970,HA,C,1619951778,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-144489.70743732812,-4792477.237378647,4196183.991489951,2.30287,2.90751,-0.248879,-110.065,20.3944,21.0569,0.0358254,-7.58793,6.42712,0.01092,0.00661525,0.0150874,4,0,41.38248090161629,-91.72690301991253,8912.919042132851,-71.66217191574731,0.8912812375509755,-0.7608220499321755,194.573,8905.102926237949,10943.217344713625,150,True,22.407973075958687,False,163.72492912723763,179.04461410195273,False,15.548054273540723,True,False
3,1970-07-23 10:17:04.359290419,2025-09-11,2025-09-26 20:27:15.929,HA,C,2538501634,JASSM,3,115,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-180315.11169608065,-4778093.663057174,4211574.079557896,-2.36693,-0.400848,0.381098,79.875,-33.75,-34.625,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.56469820237969,-92.16119552451552,10002.626068550877,119.80463588734492,-0.0041726947281925,0.0045482491566168,,8905.102926237949,10943.217344713625,150,3,2025-09-11,2025-09-26 20:27:16.037,HA,C,1621224310,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-144606.02021325464,-4792455.83167622,4196206.248105667,2.31276,2.90907,-0.255125,-109.786,20.1659,21.1442,-0.228727,-7.6085,6.80414,0.00583503,0.00811744,0.00643008,4,0,41.38273763931089,-91.7283000316999,8917.154170929642,-71.45893182691918,1.1989010779076863,-0.1675520250472775,194.341,8905.102926237949,10943.217344713625,150,True,22.290456698225583,False,163.7131787783319,179.0751821698316,False,15.59804983046406,True,False
3,1970-07-23 10:17:04.370249938,2025-09-11,2025-09-26 20:27:17.024,HA,C,2539813720,JASSM,3,115,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-180227.19470389312,-4778130.928682174,4211535.821745396,-2.36693,-0.400848,0.381098,79.875,-33.75,-34.625,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.56423803859573,-92.1601259484428,10002.626163403394,119.8053455108868,-0.0032495609697302,0.0045467272763424,,8905.102926237949,10943.217344713625,150,3,2025-09-11,2025-09-26 20:27:16.902,HA,C,1622258242,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-144700.9005437958,-4792438.456846107,4196224.7527893735,2.32172,2.9086,-0.257686,-109.526,19.8308,21.5171,0.0576862,-7.64029,6.44108,0.0209485,-0.00736427,0.0102709,4,0,41.38294889987096,-91.72943959875904,8921.58472737092,-71.33380021896264,1.2797260178876668,0.3415720395582534,193.84,8905.102926237949,10943.217344713625,150,True,22.184385646879285,False,163.75880063644476,179.09930001144753,False,15.577151345097274,True,False
3,1970-07-23 10:17:04.381409216,2025-09-11,2025-09-26 20:27:18.140,HA,C,2541126074,JASSM,3,115,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-180139.25720389312,-4778168.204072799,4211497.552214146,-2.36693,-0.400848,0.381098,79.875,-33.75,-34.625,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.56377773226424,-92.1590561375755,10002.62824672134,119.8060552837529,-0.0023261989540927,0.0045451832950351,,8905.102926237949,10943.217344713625,150,3,2025-09-11,2025-09-26 20:27:18.036,HA,C,1623610308,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-144825.49382128072,-4792415.671675546,4196249.550650736,2.33966,2.90683,-0.262138,-109.189,19.7398,21.9611,-0.115802,-7.4024,6.73052,0.017994,-0.00410813,-0.000766699,4,0,41.38322948314456,-91.73093603466464,8928.566659485137,-71.08075398142402,1.3817945133772764,1.3492908251027365,193.461,8905.102926237949,10943.217344713625,150,True,22.062308792810555,False,163.92142808480133,179.1310310405139,False,15.453083974210971,True,False
3,1970-07-23 10:17:04.392250982,2025-09-11,2025-09-26 20:27:19.225,HA,C,2542438424,JASSM,3,115,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-180051.32165701812,-4778205.475557174,4211459.282682896,-2.36693,-0.400848,0.381098,79.875,-33.75,-34.625,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.56331743881012,-92.1579863670429,10002.626368593808,119.80676502340307,-0.0014028645594192,0.0045436497589073,,8905.102926237949,10943.217344713625,150,3,2025-09-11,2025-09-26 20:27:19.202,HA,C,1625002138,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-144951.56304984007,-4792392.629378491,4196275.328072237,2.35591,2.90582,-0.268056,-108.665,19.7474,22.4982,-0.196253,-7.57959,6.59554,0.0126698,0.00286602,0.00487795,4,0,41.38351792528133,-91.7324502050376,8937.158943054634,-70.7949570882359,1.5722559427190776,2.2727080048697417,192.887,8905.102926237949,10943.217344713625,150,True,21.939321661891398,False,164.17391026212394,179.1622577775373,False,15.239502171679408,True,False
3,1970-07-23 10:17:04.403689209,2025-09-11,2025-09-26 20:27:20.368,HA,C,2543750776,JASSM,3,115,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-179963.38513358062,-4778242.747041549,4211421.011198521,-2.36693,-0.400752,0.381098,79.875,-33.75,-34.625,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.56285712243456,-92.15691660000064,10002.625588938068,119.80383043271372,-0.0040459630107203,0.0024991186013476,,8905.102926237949,10943.217344713625,150,3,2025-09-11,2025-09-26 20:27:20.369,HA,C,1626393970,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-145078.88758340338,-4792368.894882533,4196302.395961595,2.3793,2.89979,-0.275343,-108.086,19.8935,23.3715,-0.163934,-7.46291,6.70971,0.00872706,0.0021607,-0.00108087,4,0,41.38381895223372,-91.73397963206584,8946.94933634486,-70.26321199664072,1.6124239208186022,3.53502946390034,192.422,8905.102926237949,10943.217344713625,150,True,21.815379133392945,False,164.5941042607006,179.19223402059828,False,14.854679009590464,True,False
3,1970-07-23 10:17:04.415289473,2025-09-11,2025-09-26 20:27:21.528,HA,C,2545004240,JASSM,3,115,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-179879.39489920562,-4778278.344697799,4211384.456511021,-2.36693,-0.400752,0.381098,79.875,-33.75,-34.625,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.56241745669493,-92.15589485515176,10002.625436000108,119.8045082976088,-0.003164052875847,0.0024975931507048,,8905.102926237949,10943.217344713625,150,3,2025-09-11,2025-09-26 20:27:21.469,HA,C,1627706270,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-145196.29745058934,-4792346.700634176,4196328.022656914,2.39116,2.89446,-0.278937,-107.518,20.2437,24.0025,-0.112177,-7.48805,6.62756,0.00382933,-0.00218566,0.00127436,4,0,41.38410285272818,-91.73539008643029,8956.673404065828,-69.9132071923494,1.5379185451251836,4.141054537566061,191.811,8905.102926237949,10943.217344713625,150,True,21.69908409958139,False,165.00781303434266,179.21843383629934,False,14.478287866878995,True,False
3,1970-07-23 10:17:04.424889328,2025-09-11,2025-09-26 20:27:22.488,HA,C,2546315826,JASSM,3,115,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-179791.51013358062,-4778315.590791549,4211346.206511021,-2.36693,-0.400752,0.381098,79.875,-33.75,-34.625,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.56195740532813,-92.15482574897574,10002.624546681742,119.80521757752656,-0.0022412555734942,0.0024960060399229,,8905.102926237949,10943.217344713625,150,3,2025-09-11,2025-09-26 20:27:22.669,HA,C,1629137868,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-145325.2482905737,-4792321.5974961,4196357.060004538,2.39194,2.88414,-0.287116,-106.889,20.9378,24.5018,-0.0721739,-7.35938,6.54515,-0.0181875,-0.000408837,0.00652787,4,0,41.38442498575239,-91.73693945950995,8967.5066774181,-69.1840310442648,1.442533948968543,4.03954528386742,191.188,8905.102926237949,10943.217344713625,150,True,21.573795704170234,False,165.51696805114437,179.2452381853442,False,14.016516239696573,True,False
