Subject_cm,Timestamp,SampleDate_cm,SampleTime_cm,Configuration_cm,Scenario_cm,DisTime_cm,MarkingTxt_cm,Application_cm,EntId_cm,Site_cm,ExerciseId_cm,ForceId_cm,Category_cm,Country_cm,Domain_cm,Kind_cm,Extra_cm,Specific_cm,Subcategory_cm,AltCategory_cm,AltCountry_cm,AltDomain_cm,AltKind_cm,ECEF_X_cm,ECEF_Y_cm,ECEF_Z_cm,OriPhi_cm,OriPsi_cm,OriTheta_cm,LinVelX_cm,LinVelY_cm,LinVelZ_cm,LinAccX_cm,LinAccY_cm,LinAccZ_cm,AngVelX_cm,AngVelY_cm,AngVelZ_cm,DrAlg_cm,Appearance_cm,Latitude_cm,Longitude_cm,Altitude_cm,Heading_cm,Pitch_cm,Roll_cm,CalibratedAirspeed_cm,CM_Altitude_Lead_cm,CM_Altitude_Wing_cm,CM_Airspeed_cm,Subject_ac,SampleDate_ac,SampleTime_ac,Configuration_ac,Scenario_ac,DisTime_ac,MarkingTxt_ac,Application_ac,EntId_ac,Site_ac,ExerciseId_ac,ForceId_ac,Category_ac,Country_ac,Domain_ac,Kind_ac,Extra_ac,Specific_ac,Subcategory_ac,AltCategory_ac,AltCountry_ac,AltDomain_ac,AltKind_ac,ECEF_X_ac,ECEF_Y_ac,ECEF_Z_ac,OriPhi_ac,OriPsi_ac,OriTheta_ac,LinVelX_ac,LinVelY_ac,LinVelZ_ac,LinAccX_ac,LinAccY_ac,LinAccZ_ac,AngVelX_ac,AngVelY_ac,AngVelZ_ac,DrAlg_ac,Appearance_ac,Latitude_ac,Longitude_ac,Altitude_ac,Heading_ac,Pitch_ac,Roll_ac,CalibratedAirspeed_ac,CM_Altitude_Lead_ac,CM_Altitude_Wing_ac,CM_Airspeed_ac,Bank_Angle_Condition,distance_nm,Distance_Condition,angle_between_vel,angle_between_pos,Cone_Condition,angle_between_pos_nose,Nose_Cone_Condition,Intercept_Criteria
3,1970-07-23 10:16:58.171221670,2025-09-11,2025-09-26 20:16:57.122,HH,C,1800124888,JASSM,3,102,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-163146.06823904935,-4785371.057588424,4204055.452604771,-2.36559,-0.397301,0.382249,73.25,-30.625,-31.75,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.47432656743828,-91.95260972860244,10002.62528352353,119.8543158882097,-0.00283349933085,0.0050438227186302,,8988.574530004647,11016.82538521552,150,3,2025-09-11,2025-09-26 20:16:57.244,HH,C,882996684,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-150367.1433341705,-4791243.757884251,4197414.068000478,2.32499,2.77563,-0.384236,-99.1299,37.3859,41.2509,-0.0576071,-7.16769,6.99056,-0.0164981,-0.00804462,0.0016031,4,0,41.397047669452505,-91.79756577773828,8991.471815838779,-61.14462489836767,1.117739841391083,-1.6601964539399172,194.842,8988.574530004647,11016.82538521552,150,True,8.371412298562566,False,178.044526817622,176.06847280531153,False,5.445159947133904,True,False
3,1970-07-23 10:16:58.180285641,2025-09-11,2025-09-26 20:16:58.028,HH,C,1801317934,JASSM,3,102,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-163072.82019217435,-4785401.799775924,4204023.517057896,-2.36559,-0.397301,0.382249,73.25,-30.625,-31.75,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.47394297374758,-91.95172121075748,10002.626874924086,119.85490433753098,-0.0020651674484903,0.0050425342870418,,8988.574530004647,11016.82538521552,150,3,2025-09-11,2025-09-26 20:16:57.977,HH,C,883871550,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-150439.85529086195,-4791216.106773796,4197444.296062179,2.32293,2.77708,-0.386042,-99.3852,37.4094,41.308,-0.0747154,-7.34716,7.14831,0.00896008,0.0091078,0.000225745,4,0,41.39740265940664,-91.79844481531276,8994.648924439607,-61.12620002372879,1.246066820506092,-1.7465395544072744,195.526,8988.574530004647,11016.82538521552,150,True,8.2807453376671,False,178.0065551866049,176.01903363632655,False,5.53118080506241,True,False
3,1970-07-23 10:16:58.189141254,2025-09-11,2025-09-26 20:16:58.914,HH,C,1802452128,JASSM,3,102,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-163003.18542654935,-4785431.024385299,4203993.155729771,-2.36559,-0.397301,0.382249,73.25,-30.625,-31.75,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.47357829487161,-91.95087653310938,10002.626733410716,119.855463748133,-0.001334736529528,0.0050413081452959,,8988.574530004647,11016.82538521552,150,3,2025-09-11,2025-09-26 20:16:59.044,HH,C,885144082,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-150545.13524332977,-4791176.563012797,4197488.155767537,2.32566,2.78322,-0.386082,-99.6633,37.0467,41.6439,-0.086235,-7.06559,7.14504,0.00655699,0.000958114,-0.00360255,4,0,41.39791433319076,-91.79971740920958,9000.667043858972,-61.35482203920208,1.4799027502271036,-1.4632829789312034,195.869,8988.574530004647,11016.82538521552,150,True,8.17241724115774,False,177.82444451763908,175.95625496582858,False,5.648081977334649,True,False
3,1970-07-23 10:16:58.199160129,2025-09-11,2025-09-26 20:16:59.916,HH,C,1803644398,JASSM,3,102,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-162929.98523123687,-4785461.745088424,4203961.237761021,-2.36559,-0.397205,0.382249,73.25,-30.625,-31.75,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.473194924545766,-91.94998861670688,10002.625086176637,119.8524139086939,-0.0041365553445227,0.0029911579205305,,8988.574530004647,11016.82538521552,150,3,2025-09-11,2025-09-26 20:16:59.843,HH,C,886098480,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-150624.8479651212,-4791146.892335054,4197521.385777808,2.32871,2.78426,-0.387759,-99.8615,36.9171,41.7606,-0.122142,-7.09938,7.06049,0.00685036,0.00129933,0.00932419,4,0,41.3983002780109,-91.80068086517608,9005.93944532157,-61.32600004531487,1.5876263160455382,-1.264908377814656,195.979,8988.574530004647,11016.82538521552,150,True,8.077605978477479,False,177.7359341724342,175.90104754623616,False,5.750493946743853,True,False
3,1970-07-23 10:16:58.209202098,2025-09-11,2025-09-26 20:17:00.920,HH,C,1804837444,JASSM,3,102,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-162856.73718436187,-4785492.483369674,4203929.300261021,-2.36559,-0.397205,0.382249,73.25,-30.625,-31.75,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.47281132063235,-91.9491001313587,10002.623949040291,119.85300232337671,-0.0033682294545623,0.0029898287821732,,8988.574530004647,11016.82538521552,150,3,2025-09-11,2025-09-26 20:17:00.877,HH,C,887331246,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-150728.57062466285,-4791108.375096415,4197564.890299361,2.33313,2.78523,-0.387307,-100.061,36.8464,41.9924,-0.175923,-7.09327,7.00326,-0.0124784,0.00463453,0.00297629,4,0,41.3988037133926,-91.80193450206733,9013.60465285495,-61.38156669447577,1.6071548299634135,-0.9923727110158534,196.541,8988.574530004647,11016.82538521552,150,True,7.968012072127582,False,177.68123996759115,175.83493223977035,False,5.811273931023106,True,False
3,1970-07-23 10:16:58.221618151,2025-09-11,2025-09-26 20:17:02.161,HH,C,1806030812,JASSM,3,102,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-162783.46960623687,-4785523.231416549,4203897.352995396,-2.36559,-0.397205,0.382249,73.25,-30.625,-31.75,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.472427589767015,-91.9482114189419,10002.627720414068,119.85359088396363,-0.0025996893798027,0.0029884840814907,,8988.574530004647,11016.82538521552,150,3,2025-09-11,2025-09-26 20:17:02.043,HH,C,888723078,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-150844.37103365822,-4791065.369485251,4197613.686454823,2.33931,2.78608,-0.387508,-100.196,36.9062,42.1925,-0.0621633,-7.08666,6.89984,0.00331959,-0.00665478,-0.0111218,4,0,41.39936729802909,-91.80333413888236,9022.652837068545,-61.40586752936272,1.6483820367425857,-0.6206311708132363,196.81,8988.574530004647,11016.82538521552,150,True,7.850955409477857,False,177.6941033319336,175.76239119775644,False,5.836036709026301,True,False
3,1970-07-23 10:16:58.229261412,2025-09-11,2025-09-26 20:17:02.926,HH,C,1807224048,JASSM,3,102,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-162710.20984061187,-4785553.973604049,4203865.407682896,-2.36559,-0.397205,0.382345,73.25,-30.625,-31.75,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.47204389850008,-91.94732281281838,10002.625761290805,119.85802676393736,-0.0057520228513076,0.0029868893284369,,8988.574530004647,11016.82538521552,150,3,2025-09-11,2025-09-26 20:17:02.877,HH,C,889717244,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-150928.16619320062,-4791034.313130726,4197649.106338002,2.34303,2.78844,-0.387308,-100.227,36.8928,42.3777,-0.0512517,-7.14156,7.01651,0.00654659,-0.00137631,-0.00897881,4,0,41.3997754739763,-91.80434693058196,9029.600456104716,-61.50276645887013,1.730400393518332,-0.3593057703631425,197.03,8988.574530004647,11016.82538521552,150,True,7.753548318072583,False,177.69004991987148,175.70193809506657,False,5.849708539286543,True,False
3,1970-07-23 10:16:58.239626185,2025-09-11,2025-09-26 20:17:03.962,HH,C,1808416584,JASSM,3,102,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-162636.99304373687,-4785584.698213424,4203833.479948521,-2.36559,-0.397205,0.382345,73.25,-30.625,-31.75,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.47166041488306,-91.94643473817162,10002.626163470615,119.85861489329376,-0.0049840133565731,0.0029855924624357,,8988.574530004647,11016.82538521552,150,3,2025-09-11,2025-09-26 20:17:04.043,HH,C,891109074,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-151044.14193580713,-4790991.430096831,4197698.311313892,2.3344,2.78726,-0.390626,-100.324,36.8633,42.6332,-0.171801,-7.1203,7.05135,-0.00300126,-0.00185693,-0.000552398,4,0,41.400341026193686,-91.80574865555094,9039.866372343266,-61.32440046033091,1.8206192419855096,-0.873561577942647,197.628,8988.574530004647,11016.82538521552,150,True,7.636402582774871,False,177.66500459370724,175.62599743928183,False,5.879585050547101,True,False
3,1970-07-23 10:16:58.250039608,2025-09-11,2025-09-26 20:17:05.003,HH,C,1809609630,JASSM,3,102,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-162563.74499686187,-4785615.434541549,4203801.538542271,-2.36559,-0.397205,0.382345,73.25,-30.625,-31.75,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.47127676871153,-91.9455462955226,10002.626807580418,119.859203261886,-0.0042156803681016,0.0029843017465656,,8988.574530004647,11016.82538521552,150,3,2025-09-11,2025-09-26 20:17:04.910,HH,C,892143008,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-151130.97131151386,-4790959.52321331,4197735.167589072,2.3281,2.78597,-0.390505,-100.459,36.6636,42.8719,-0.0123299,-7.04351,6.85778,-0.0148627,0.00311777,0.00187358,4,0,41.40076336764564,-91.80679804693962,9048.08518255632,-61.28200154178831,1.7680221795084432,-1.2615155581294089,197.97,8988.574530004647,11016.82538521552,150,True,7.537183264559199,False,177.54948420951166,175.56075268484847,False,5.9667460267641435,True,False
3,1970-07-23 10:16:58.259220708,2025-09-11,2025-09-26 20:17:05.922,HH,C,1810743024,JASSM,3,102,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-162494.16052420562,-4785644.631807174,4203771.194792271,-2.36559,-0.397205,0.382345,73.25,-30.625,-31.75,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.47091231556205,-91.94470229963578,10002.626760898178,119.85976219159248,-0.0034857821910777,0.0029830847942872,,8988.574530004647,11016.82538521552,150,3,2025-09-11,2025-09-26 20:17:06.078,HH,C,893534840,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-151248.70140762877,-4790916.344057484,4197785.326448813,2.31785,2.78893,-0.389082,-100.674,36.7057,42.8404,-0.0399046,-7.1842,6.9306,-0.00740172,0.00387095,0.00493621,4,0,41.401336760692125,-91.8082208835044,9059.844509867036,-61.45111894715589,1.8234953955244932,-1.789473392105057,198.154,8988.574530004647,11016.82538521552,150,True,7.421292460020105,False,177.53254190278653,175.48100505158948,False,6.096999725623332,True,False
