Subject_cm,Timestamp,SampleDate_cm,SampleTime_cm,Configuration_cm,Scenario_cm,DisTime_cm,MarkingTxt_cm,Application_cm,EntId_cm,Site_cm,ExerciseId_cm,ForceId_cm,Category_cm,Country_cm,Domain_cm,Kind_cm,Extra_cm,Specific_cm,Subcategory_cm,AltCategory_cm,AltCountry_cm,AltDomain_cm,AltKind_cm,ECEF_X_cm,ECEF_Y_cm,ECEF_Z_cm,OriPhi_cm,OriPsi_cm,OriTheta_cm,LinVelX_cm,LinVelY_cm,LinVelZ_cm,LinAccX_cm,LinAccY_cm,LinAccZ_cm,AngVelX_cm,AngVelY_cm,AngVelZ_cm,DrAlg_cm,Appearance_cm,Latitude_cm,Longitude_cm,Altitude_cm,Heading_cm,Pitch_cm,Roll_cm,CalibratedAirspeed_cm,CM_Altitude_Lead_cm,CM_Altitude_Wing_cm,CM_Airspeed_cm,Subject_ac,SampleDate_ac,SampleTime_ac,Configuration_ac,Scenario_ac,DisTime_ac,MarkingTxt_ac,Application_ac,EntId_ac,Site_ac,ExerciseId_ac,ForceId_ac,Category_ac,Country_ac,Domain_ac,Kind_ac,Extra_ac,Specific_ac,Subcategory_ac,AltCategory_ac,AltCountry_ac,AltDomain_ac,AltKind_ac,ECEF_X_ac,ECEF_Y_ac,ECEF_Z_ac,OriPhi_ac,OriPsi_ac,OriTheta_ac,LinVelX_ac,LinVelY_ac,LinVelZ_ac,LinAccX_ac,LinAccY_ac,LinAccZ_ac,AngVelX_ac,AngVelY_ac,AngVelZ_ac,DrAlg_ac,Appearance_ac,Latitude_ac,Longitude_ac,Altitude_ac,Heading_ac,Pitch_ac,Roll_ac,CalibratedAirspeed_ac,CM_Altitude_Lead_ac,CM_Altitude_Wing_ac,CM_Airspeed_ac,Bank_Angle_Condition,distance_nm,Distance_Condition,angle_between_vel,angle_between_pos,Cone_Condition,angle_between_pos_nose,Nose_Cone_Condition,Intercept_Criteria
3,1970-07-23 10:29:46.356452078,2025-09-12,2025-09-26 17:37:15.645,AA,D,3149521304,JASSM,3,126,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-121372.35418092164,-4791467.352613744,4198558.745573521,2.29618,-3.09845,0.0772743,-86.75,-3.625,-6.625,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.40833655641597,-91.45104543535884,10002.62706053778,-95.91283872915557,0.005690765735239,0.0009495863027823,,9140.793540731764,11002.764919195506,150,3,2025-09-12,2025-09-26 17:37:15.533,AA,D,1658441284,HAWK11,1,1,73,2,1,1,225,2,1,0,0,12,1,225,2,1,-142467.69372733062,-4792454.147432174,4197242.126432896,2.37968,2.62215,-0.522033,-88.75,37.5,36.375,-0.078125,-7.70312,6.70312,0.0488281,-0.00585938,0.00390625,4,0,41.39012301924559,-91.70275896986392,11002.334048836392,-49.91956951337846,1.3639701808634843,-2.1837840371420008,196.101,9140.793540731764,11002.764919195506,150,True,11.379925997300893,False,35.2643991941059,179.15472534894727,False,145.10535621020884,False,False
3,1970-07-23 10:29:46.368158590,2025-09-12,2025-09-26 17:37:16.815,AA,D,3150774002,JASSM,3,126,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-121463.58464967164,-4791471.280348119,4198551.671354771,2.29618,-3.09845,0.0772743,-86.75,-3.625,-6.625,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.4082516766448,-91.45213446819557,10002.624525430598,-95.91355903770828,0.0065119554586972,0.0009498672256411,,9140.793540731764,11002.764919195506,150,3,2025-09-12,2025-09-26 17:37:16.737,AA,D,1660151250,HAWK11,1,1,73,2,1,1,225,2,1,0,0,12,1,225,2,1,-142594.64294608062,-4792400.317354049,4197294.813932896,2.42973,2.61898,-0.534113,-88.0,37.125,36.25,0.03125,-7.78125,6.73438,0.0136719,0.00585938,0.0195312,4,0,41.39077643940697,-91.7042944910126,10993.478838165003,-49.3449538391684,1.780576331679698,0.6083413936433915,196.37,9140.793540731764,11002.764919195506,150,True,11.395779278178486,False,35.30995747660518,179.02927925196767,False,145.29347491722473,False,False
3,1970-07-23 10:29:46.377256900,2025-09-12,2025-09-26 17:37:17.725,AA,D,3152026702,JASSM,3,126,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-121554.81121217164,-4791475.208082494,4198544.597136021,2.29618,-3.09845,0.0773702,-86.75,-3.625,-6.625,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.4081667871547,-91.45322345151708,10002.626053279386,-95.91838962525624,0.0036888888433896,0.000949755857797,,9140.793540731764,11002.764919195506,150,3,2025-09-12,2025-09-26 17:37:17.941,AA,D,1661543082,HAWK11,1,1,73,2,1,1,225,2,1,0,0,12,1,225,2,1,-142696.63318045562,-4792357.258760299,4197337.671354771,2.43347,2.61946,-0.550316,-87.25,36.5,36.875,-0.15625,-7.96875,6.82812,-0.0449219,0.0136719,0.00390625,4,0,41.39130382836271,-91.70552807570392,10987.98234505035,-48.74890008520101,2.493403878279547,0.8592118483828998,196.565,9140.793540731764,11002.764919195506,150,True,11.398954177427587,False,35.544453614554506,178.90112043640025,False,145.25719526149672,False,False
3,1970-07-23 10:29:46.388252002,2025-09-12,2025-09-26 17:37:18.825,AA,D,3153279400,JASSM,3,126,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-121646.04168092164,-4791479.133863744,4198537.520964146,2.29618,-3.09845,0.0773702,-86.75,-3.625,-6.625,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.40808188520567,-91.45431247927588,10002.62308866687,-95.91910992804392,0.0045100792119771,0.0009499794549368,,9140.793540731764,11002.764919195506,150,3,2025-09-12,2025-09-26 17:37:18.831,AA,D,1662656546,HAWK11,1,1,73,2,1,1,225,2,1,0,0,12,1,225,2,1,-142777.86950858062,-4792323.411104049,4197372.505339146,2.43539,2.61735,-0.559136,-86.625,36.0,37.125,-0.0625,-7.89062,6.875,0.0234375,0.0,0.0078125,4,0,41.39172592928505,-91.7065104942374,10986.227367126734,-48.33779079631099,2.8053246090944675,0.9246386905984596,196.602,9140.793540731764,11002.764919195506,150,True,11.391529427620672,False,35.65432788904369,178.7851980983961,False,145.30439579706396,False,False
3,1970-07-23 10:29:46.398390726,2025-09-12,2025-09-26 17:37:19.839,AA,D,3154532100,JASSM,3,126,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-121737.26824342164,-4791483.059644994,4198530.444792271,2.29618,-3.09855,0.0773702,-86.75,-3.625,-6.625,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.407996973538665,-91.45540145751896,10002.624186646724,-95.91619802198318,0.0012344784726756,0.0013748665294133,,9140.793540731764,11002.764919195506,150,3,2025-09-12,2025-09-26 17:37:19.831,AA,D,1663770012,HAWK11,1,1,73,2,1,1,225,2,1,0,0,12,1,225,2,1,-142858.13708670562,-4792289.802705611,4197407.686979771,2.44823,2.61505,-0.558561,-86.125,35.625,37.625,0.046875,-7.60938,6.625,0.00195312,-0.00195312,0.0,4,0,41.392149117697045,-91.70748126852514,10985.748745199387,-48.27622240618316,2.707555748903929,1.5939734680285471,196.822,9140.793540731764,11002.764919195506,150,True,11.383657669775472,False,35.86355605309028,178.66156337133202,False,145.25352369204884,False,False
3,1970-07-23 10:29:46.408446217,2025-09-12,2025-09-26 17:37:20.844,AA,D,3155725146,JASSM,3,126,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-121824.15105592164,-4791486.796949682,4198523.704557896,2.29618,-3.09855,0.0773702,-86.75,-3.625,-6.625,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.40791609787127,-91.45643858193046,10002.62326426457,-95.91688399268156,0.0020165347622187,0.0013751294711182,,9140.793540731764,11002.764919195506,150,3,2025-09-12,2025-09-26 17:37:20.939,AA,D,1664923244,HAWK11,1,1,73,2,1,1,225,2,1,0,0,12,1,225,2,1,-142941.75427420562,-4792254.782197799,4197444.782682896,2.45101,2.61141,-0.56508,-85.5,34.875,38.5,0.0,-7.79688,6.73438,0.0,0.0,0.00195312,4,0,41.392593024909125,-91.7084925706106,10986.19865381529,-47.89725773171813,2.872614848522335,1.660732005638743,196.528,9140.793540731764,11002.764919195506,150,True,11.37992666821659,False,36.136418107279354,178.52663308035517,False,145.15235846171552,False,False
3,1970-07-23 10:29:46.419749320,2025-09-12,2025-09-26 17:37:21.974,AA,D,3157037496,JASSM,3,126,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-121919.72527467164,-4791490.907301244,4198516.290495396,2.29618,-3.09855,0.0773702,-86.75,-3.625,-6.625,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.40782712875162,-91.45757945336366,10002.625698958189,-95.9176385820499,0.0028768242014223,0.0013754109574444,,9140.793540731764,11002.764919195506,150,3,2025-09-12,2025-09-26 17:37:21.831,AA,D,1666156010,HAWK11,1,1,73,2,1,1,225,2,1,0,0,12,1,225,2,1,-143029.09802420562,-4792218.005830611,4197484.216276646,2.4467,2.59828,-0.568532,-84.75,35.375,38.25,0.046875,-7.32812,6.375,-0.0566406,-0.00976562,0.0,4,0,41.39306248879076,-91.70954902754411,10987.67914402075,-47.28855671091229,2.6058105827565083,1.0387585030584738,196.455,9140.793540731764,11002.764919195506,150,True,11.373496999850476,False,36.42513696039043,178.37891144343152,False,145.02355809801665,False,False
3,1970-07-23 10:29:46.432957632,2025-09-12,2025-09-26 17:37:23.295,AA,D,3158290194,JASSM,3,126,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-122010.95183717164,-4791494.829176244,4198509.212370396,2.29618,-3.09855,0.0773702,-86.75,-3.625,-6.625,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.40774219622263,-91.45866842428538,10002.625868961231,-95.91835884240302,0.0036979795656092,0.0013756796911758,,9140.793540731764,11002.764919195506,150,3,2025-09-12,2025-09-26 17:37:23.334,AA,D,1668025042,HAWK11,1,1,73,2,1,1,225,2,1,0,0,12,1,225,2,1,-143162.34607108062,-4792161.314424361,4197544.548307896,2.49118,2.58955,-0.561341,-84.125,36.125,38.375,-0.09375,-6.90625,6.76562,0.0234375,0.0,0.0,4,0,41.39378332858591,-91.71116095339823,10988.88127454044,-47.23834575282885,2.0195107932993888,3.3223373444382363,195.844,9140.793540731764,11002.764919195506,150,True,11.393318113885094,False,36.90066451796537,178.15105583620914,False,144.79341718902245,False,False
3,1970-07-23 10:29:46.440252700,2025-09-12,2025-09-26 17:37:24.025,AA,D,3159483242,JASSM,3,126,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-122097.83464967164,-4791498.564527807,4198502.468229771,2.29618,-3.09855,0.0773702,-86.75,-3.625,-6.625,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.40766127635993,-91.45970554118652,10002.623969692557,-95.9190448046624,0.0044800378532228,0.001375957364902,,9140.793540731764,11002.764919195506,150,3,2025-09-12,2025-09-26 17:37:24.127,AA,D,1668979440,HAWK11,1,1,73,2,1,1,225,2,1,0,0,12,1,225,2,1,-143229.67224295562,-4792132.092744674,4197575.224089146,2.50537,2.5814,-0.570929,-83.875,36.625,38.75,-0.171875,-6.85938,7.1875,0.00976562,0.0078125,0.0214844,4,0,41.3941522668836,-91.7119756299112,10988.489594236518,-46.58209904953439,2.182268557698284,3.909096144756671,195.551,9140.793540731764,11002.764919195506,150,True,11.381395143118965,False,37.27557646457405,178.0290420659614,False,144.54881643863106,False,False
3,1970-07-23 10:29:46.449392246,2025-09-12,2025-09-26 17:37:24.939,AA,D,3160556988,JASSM,3,126,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-122176.03386842164,-4791501.924879369,4198496.399870396,2.29618,-3.09855,0.0773702,-86.75,-3.625,-6.625,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.40758845772383,-91.46063900065904,10002.625257438553,-95.9196622056444,0.005183930666172,0.0013761857921024,,9140.793540731764,11002.764919195506,150,3,2025-09-12,2025-09-26 17:37:24.939,AA,D,1670013372,HAWK11,1,1,73,2,1,1,225,2,1,0,0,12,1,225,2,1,-143302.13513358062,-4792099.938447799,4197609.188932896,2.46961,2.5674,-0.57553,-83.875,37.125,39.5,0.0625,-6.78125,7.21875,-0.105469,0.00195312,0.00585938,4,0,41.39455993359871,-91.7128527244931,10988.39988395721,-45.89721946162819,1.9500151651247293,1.4500527628752642,195.013,9140.793540731764,11002.764919195506,150,True,11.376860561340683,False,37.708709643248035,177.8946146973165,False,144.2612499665757,False,False
