Subject_cm,Timestamp,SampleDate_cm,SampleTime_cm,Configuration_cm,Scenario_cm,DisTime_cm,MarkingTxt_cm,Application_cm,EntId_cm,Site_cm,ExerciseId_cm,ForceId_cm,Category_cm,Country_cm,Domain_cm,Kind_cm,Extra_cm,Specific_cm,Subcategory_cm,AltCategory_cm,AltCountry_cm,AltDomain_cm,AltKind_cm,ECEF_X_cm,ECEF_Y_cm,ECEF_Z_cm,OriPhi_cm,OriPsi_cm,OriTheta_cm,LinVelX_cm,LinVelY_cm,LinVelZ_cm,LinAccX_cm,LinAccY_cm,LinAccZ_cm,AngVelX_cm,AngVelY_cm,AngVelZ_cm,DrAlg_cm,Appearance_cm,Latitude_cm,Longitude_cm,Altitude_cm,Heading_cm,Pitch_cm,Roll_cm,CalibratedAirspeed_cm,CM_Altitude_Lead_cm,CM_Altitude_Wing_cm,CM_Airspeed_cm,Subject_ac,SampleDate_ac,SampleTime_ac,Configuration_ac,Scenario_ac,DisTime_ac,MarkingTxt_ac,Application_ac,EntId_ac,Site_ac,ExerciseId_ac,ForceId_ac,Category_ac,Country_ac,Domain_ac,Kind_ac,Extra_ac,Specific_ac,Subcategory_ac,AltCategory_ac,AltCountry_ac,AltDomain_ac,AltKind_ac,ECEF_X_ac,ECEF_Y_ac,ECEF_Z_ac,OriPhi_ac,OriPsi_ac,OriTheta_ac,LinVelX_ac,LinVelY_ac,LinVelZ_ac,LinAccX_ac,LinAccY_ac,LinAccZ_ac,AngVelX_ac,AngVelY_ac,AngVelZ_ac,DrAlg_ac,Appearance_ac,Latitude_ac,Longitude_ac,Altitude_ac,Heading_ac,Pitch_ac,Roll_ac,CalibratedAirspeed_ac,CM_Altitude_Lead_ac,CM_Altitude_Wing_ac,CM_Airspeed_ac,Bank_Angle_Condition,distance_nm,Distance_Condition,angle_between_vel,angle_between_pos,Cone_Condition,angle_between_pos_nose,Nose_Cone_Condition,Intercept_Criteria
1,1970-07-23 10:27:51.518312394,2025-09-12,2025-09-26 14:25:51.831,AH,C,3136695618,JASSM,3,128,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-188447.9027117056,-4786288.627900924,4202424.452604771,-2.30155,-0.153302,0.128183,92.125,-14.125,-11.875,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.45232875794875,-92.25471053546318,10997.372030055658,99.81487031814372,-0.0058578386880953,0.0023920523541146,,10022.661867135384,12264.339701119052,150,1,2025-09-12,2025-09-26 14:25:51.924,AH,C,1522857338,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-144491.93702687847,-4793102.082267012,4195987.207841315,2.30143,2.85071,-0.315659,-100.731,31.4021,34.2592,-0.134172,-7.28205,6.69016,-0.00427458,-0.00234379,0.00263507,4,0,41.37743583738711,-91.72670465918972,10023.815909826826,-66.73213836227237,1.2214718910309577,-1.6547590314609153,182.231,10022.661867135384,12264.339701119052,150,True,24.166093891672293,False,166.39055100404494,179.02195463650096,False,12.787544546408585,True,False
1,1970-07-23 10:27:51.530339676,2025-09-12,2025-09-26 14:25:53.033,AH,C,3138067420,JASSM,3,128,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-188341.9730242056,-4786305.008760299,4202410.640104771,-2.30155,-0.153302,0.128183,92.125,-14.125,-11.875,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.45216290146283,-92.2534367279478,10997.377241893397,99.81571357316194,-0.0048888110377974,0.0023913785652307,,10022.661867135384,12264.339701119052,150,1,2025-09-12,2025-09-26 14:25:52.924,AH,C,1524050336,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-144593.74995892835,-4793070.105593684,4196021.4398050085,2.29702,2.85146,-0.31465,-100.842,31.2309,34.1673,0.0406602,-7.32811,6.47873,-0.0030075,0.00834214,-0.00222936,4,0,41.377838895081325,-91.72793212546314,10026.924192688031,-66.8030335128142,1.2122981957341463,-1.8953364222811249,182.279,10022.661867135384,12264.339701119052,150,True,24.049287760414916,False,166.49627275001893,179.0455186856875,False,12.709973701143559,True,False
1,1970-07-23 10:27:51.540633596,2025-09-12,2025-09-26 14:25:54.063,AH,C,3139379766,JASSM,3,128,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-188240.63513358065,-4786320.676729049,4202397.423307896,-2.30155,-0.153302,0.128183,92.125,-14.125,-11.875,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.452004217562695,-92.25221814432076,10997.374318982624,99.81652026760987,-0.0039617887272647,0.0023907301290113,,10022.661867135384,12264.339701119052,150,1,2025-09-12,2025-09-26 14:25:53.991,AH,C,1525322868,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-144700.66206710978,-4793036.690887667,4196057.268078016,2.3112,2.85277,-0.314253,-100.916,31.1016,34.0749,0.0209168,-7.11735,6.57614,0.0881205,-0.00460124,0.00818818,4,0,41.37826035514816,-91.7292210248601,10030.341119569744,-66.86964979511772,1.24960441618477,-1.061019827616982,182.316,10022.661867135384,12264.339701119052,150,True,23.932086212118897,False,166.58271038672024,179.07014680779596,False,12.65410947343071,True,False
1,1970-07-23 10:27:51.552188095,2025-09-12,2025-09-26 14:25:55.218,AH,C,3140692358,JASSM,3,128,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-188139.2777117056,-4786336.346650924,4202384.204557896,-2.30155,-0.153302,0.128183,92.125,-14.125,-11.875,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.45184550051999,-92.2509993322736,10997.375555020051,99.81732711072908,-0.003034589858497,0.0023900916599509,,10022.661867135384,12264.339701119052,150,1,2025-09-12,2025-09-26 14:25:55.059,AH,C,1526595400,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-144808.88844510325,-4793002.925964891,4196093.506149335,2.40641,2.85694,-0.313352,-100.729,31.43,34.2134,-0.0560896,-7.23214,6.36835,0.0391412,1.56045e-05,0.0109158,4,0,41.37868641438976,-91.73052576336094,10033.889833601868,-67.0643300914322,1.3801844540420285,4.463280233726793,182.108,10022.661867135384,12264.339701119052,150,True,23.814130185063643,False,166.3999241434657,179.09485501545473,False,12.872991470882157,True,False
1,1970-07-23 10:27:51.562490278,2025-09-12,2025-09-26 14:25:56.249,AH,C,3142004472,JASSM,3,128,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-188037.9573992056,-4786352.010713424,4202370.987761021,-2.30155,-0.153302,0.128183,92.125,-14.125,-11.875,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.45168680993505,-92.24978097245904,10997.375708260508,99.81813365193526,-0.0021077272805362,0.002389434900094,,10022.661867135384,12264.339701119052,150,1,2025-09-12,2025-09-26 14:25:56.091,AH,C,1527828166,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-144911.92492890946,-4792969.955257618,4196128.793292013,2.42244,2.84485,-0.327194,-100.276,31.8464,35.0148,-0.037737,-7.17589,6.55969,0.00576221,-0.000298565,0.0117834,4,0,41.37910224741759,-91.73176824765189,10036.951666674846,-66.03688463947333,1.4503085168095466,5.18866258474312,182.023,10022.661867135384,12264.339701119052,150,True,23.69906632771054,False,165.88251252262347,179.11905773854576,False,13.419727353373588,True,False
1,1970-07-23 10:27:51.573252764,2025-09-12,2025-09-26 14:25:57.325,AH,C,3143257438,JASSM,3,128,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-187941.2034929556,-4786366.965791549,4202358.366667271,-2.30155,-0.153302,0.128183,92.125,-14.125,-11.875,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.45153527754765,-92.248617529877,10997.373629975003,99.81890383614792,-0.0012226416120613,0.00238882546353,,10022.661867135384,12264.339701119052,150,1,2025-09-12,2025-09-26 14:25:57.224,AH,C,1529180232,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-145025.72529390323,-4792932.946318925,4196168.895110958,2.40268,2.83848,-0.334399,-99.7322,32.4692,35.7245,-0.0115129,-6.96153,6.51613,-0.0177485,-0.00370866,-0.0017425,4,0,41.379572656550565,-91.7331407627678,10041.326870357409,-65.50066767318627,1.4866515803796745,3.951873130928739,182.279,10022.661867135384,12264.339701119052,150,True,23.580165300680672,False,165.32322231959023,179.14711766010643,False,14.018475574766963,True,False
1,1970-07-23 10:27:51.584270700,2025-09-12,2025-09-26 14:25:58.427,AH,C,3144569792,JASSM,3,128,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-187839.86560233065,-4786382.629854049,4202345.145964146,-2.30145,-0.153206,0.128183,92.125,-14.125,-11.875,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.45137653948816,-92.24739897157602,10997.374329689166,99.8160741340408,-0.0043525576526597,0.0071775860645217,,10022.661867135384,12264.339701119052,150,1,2025-09-12,2025-09-26 14:25:58.358,AH,C,1530532296,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-145137.98377000864,-4792895.753145354,4196209.108087976,2.36466,2.83526,-0.335949,-99.491,32.6997,36.2809,-0.165664,-7.31089,6.55231,-0.0516872,0.00141376,0.014715,4,0,41.38004517292439,-91.73449494838594,10045.383112938867,-65.31677779776307,1.423248224432095,1.7175099885094067,182.157,10022.661867135384,12264.339701119052,150,True,23.459548378727668,False,164.99580575809398,179.1749718472452,False,14.381893007245486,True,False
1,1970-07-23 10:27:51.595289468,2025-09-12,2025-09-26 14:25:59.528,AH,C,3145881874,JASSM,3,128,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-187738.5472429556,-4786398.290010299,4202331.927214146,-2.30145,-0.153206,0.128279,92.125,-14.125,-11.875,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.4512178203835,-92.2461806544884,10997.37704361457,99.82097115905908,-0.0070921403068813,0.0071765011477963,,10022.661867135384,12264.339701119052,150,1,2025-09-12,2025-09-26 14:25:59.491,AH,C,1531884362,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-145251.1836135326,-4792857.944024862,4196250.108962737,2.33879,2.83193,-0.339316,-99.2917,32.8206,36.4709,-0.0363167,-7.13345,6.53203,-0.0168435,0.000648105,-0.00584959,4,0,41.38052648679105,-91.73586061919066,10049.710777506583,-65.0540195742764,1.4281847044847031,0.1790513356369506,182.194,10022.661867135384,12264.339701119052,150,True,23.338349038944827,False,164.84603053845453,179.20295156016255,False,14.571777545366455,True,False
1,1970-07-23 10:27:51.606312088,2025-09-12,2025-09-26 14:26:00.631,AH,C,3147253876,JASSM,3,128,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-187632.6019304556,-4786414.663057174,4202318.102995396,-2.30145,-0.153206,0.128279,92.125,-14.125,-11.875,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.45105184052815,-92.2449067073581,10997.376260136372,99.82181448800104,-0.0061229723242722,0.0071758296190701,,10022.661867135384,12264.339701119052,150,1,2025-09-12,2025-09-26 14:26:00.591,AH,C,1533196660,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-145359.6870177848,-4792821.624456056,4196289.542486312,2.32033,2.83369,-0.338846,-99.2226,32.9263,36.3532,-0.0808045,-7.19888,6.5673,-0.015645,0.000186213,-0.00408941,4,0,41.38098918948612,-91.73716967801042,10053.961967132796,-65.14012528435181,1.4792018110564424,-0.8472711570333541,181.986,10022.661867135384,12264.339701119052,150,True,23.217330264468117,False,164.84627514650958,179.22901028082578,False,14.613767836976766,True,False
1,1970-07-23 10:27:51.617428396,2025-09-12,2025-09-26 14:26:01.742,AH,C,3148566230,JASSM,3,128,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-187531.2620867056,-4786430.323213424,4202304.878386021,-2.30145,-0.153206,0.128279,92.125,-14.125,-11.875,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.45089306050973,-92.2436881456385,10997.375402803193,99.82262115024822,-0.005195934318048,0.0071751850510829,,10022.661867135384,12264.339701119052,150,1,2025-09-12,2025-09-26 14:26:01.726,AH,C,1534548726,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-145472.79583164852,-4792783.70847086,4196330.7763742125,2.32138,2.82935,-0.338762,-99.2322,32.9063,36.3424,-0.223691,-7.30716,6.68258,0.0048946,0.00472399,-0.00525038,4,0,41.38147269652588,-91.73853433869152,10058.54128491311,-64.98196099076823,1.3077302757668827,-0.8661122690223899,181.95,10022.661867135384,12264.339701119052,150,True,23.096162759857407,False,164.85796005008223,179.2555123671745,False,14.643451154399374,True,False
