Subject_cm,Timestamp,SampleDate_cm,SampleTime_cm,Configuration_cm,Scenario_cm,DisTime_cm,MarkingTxt_cm,Application_cm,EntId_cm,Site_cm,ExerciseId_cm,ForceId_cm,Category_cm,Country_cm,Domain_cm,Kind_cm,Extra_cm,Specific_cm,Subcategory_cm,AltCategory_cm,AltCountry_cm,AltDomain_cm,AltKind_cm,ECEF_X_cm,ECEF_Y_cm,ECEF_Z_cm,OriPhi_cm,OriPsi_cm,OriTheta_cm,LinVelX_cm,LinVelY_cm,LinVelZ_cm,LinAccX_cm,LinAccY_cm,LinAccZ_cm,AngVelX_cm,AngVelY_cm,AngVelZ_cm,DrAlg_cm,Appearance_cm,Latitude_cm,Longitude_cm,Altitude_cm,Heading_cm,Pitch_cm,Roll_cm,CalibratedAirspeed_cm,CM_Altitude_Lead_cm,CM_Altitude_Wing_cm,CM_Airspeed_cm,Subject_ac,SampleDate_ac,SampleTime_ac,Configuration_ac,Scenario_ac,DisTime_ac,MarkingTxt_ac,Application_ac,EntId_ac,Site_ac,ExerciseId_ac,ForceId_ac,Category_ac,Country_ac,Domain_ac,Kind_ac,Extra_ac,Specific_ac,Subcategory_ac,AltCategory_ac,AltCountry_ac,AltDomain_ac,AltKind_ac,ECEF_X_ac,ECEF_Y_ac,ECEF_Z_ac,OriPhi_ac,OriPsi_ac,OriTheta_ac,LinVelX_ac,LinVelY_ac,LinVelZ_ac,LinAccX_ac,LinAccY_ac,LinAccZ_ac,AngVelX_ac,AngVelY_ac,AngVelZ_ac,DrAlg_ac,Appearance_ac,Latitude_ac,Longitude_ac,Altitude_ac,Heading_ac,Pitch_ac,Roll_ac,CalibratedAirspeed_ac,CM_Altitude_Lead_ac,CM_Altitude_Wing_ac,CM_Airspeed_ac,Bank_Angle_Condition,distance_nm,Distance_Condition,angle_between_vel,angle_between_pos,Cone_Condition,angle_between_pos_nose,Nose_Cone_Condition,Intercept_Criteria
1,1970-07-23 10:28:05.553215431,2025-09-12,2025-09-26 14:49:15.321,HA,C,516109192,JASSM,3,152,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-188365.0042742056,-4786301.446260299,4202413.644011021,-2.30155,-0.153302,0.128183,92.125,-14.125,-11.875,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.45219897431703,-92.2537136792909,10997.374929331982,99.8155302328161,-0.00509949942172,0.0023915359536885,,10150.171305463598,12127.771392007851,150,1,2025-09-12,2025-09-26 14:49:15.136,HA,C,3196912950,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-144941.517549311,-4792622.100892999,4196573.524184828,2.32997,3.01041,-0.0958316,-117.162,14.6057,9.15341,-0.100057,-7.25367,6.1751,0.00983185,0.00679418,0.0138266,4,0,41.38416863941853,-91.73224732141594,10147.798453227117,-82.06089032205874,-0.6880266508623958,1.7880465734200242,194.207,10150.171305463598,12127.771392007851,150,True,23.803191853812763,False,176.74955779112858,179.46279844887997,False,3.357981529554846,True,False
1,1970-07-23 10:28:05.562255979,2025-09-12,2025-09-26 14:49:16.225,HA,C,517302238,JASSM,3,152,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-188272.8792742056,-4786315.692354049,4202401.628386021,-2.30155,-0.153302,0.128183,92.125,-14.125,-11.875,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.45205470215159,-92.25260587759652,10997.376282371391,99.81626359097524,-0.0042567511991585,0.0023909290625472,,10150.171305463598,12127.771392007851,150,1,2025-09-12,2025-09-26 14:49:16.369,HA,C,3198384314,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-145085.26729766637,-4792604.213999074,4196585.006541883,2.31945,3.00809,-0.0962575,-117.134,14.8092,9.44055,-0.346293,-7.28901,6.68292,-0.0133064,0.00702721,0.000625219,4,0,41.38432667939869,-91.73397074473958,10139.395281410145,-81.95580453786954,-0.769204284350886,1.1710772859962375,194.243,10150.171305463598,12127.771392007851,150,True,23.674697209654873,False,176.919035449783,179.45869908846245,False,3.2047305920858884,True,False
1,1970-07-23 10:28:05.573277243,2025-09-12,2025-09-26 14:49:17.327,HA,C,518554936,JASSM,3,152,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-188176.14685233065,-4786330.647432174,4202389.013151646,-2.30155,-0.153302,0.128183,92.125,-14.125,-11.875,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.45190323283658,-92.25144267865498,10997.376858178091,99.8170336195222,-0.0033718611154007,0.0023903209079315,,10150.171305463598,12127.771392007851,150,1,2025-09-12,2025-09-26 14:49:17.303,HA,C,3199497780,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-145194.65411807408,-4792590.454699097,4196594.057319565,2.3145,3.00961,-0.100712,-117.291,13.7487,10.7672,-0.0945508,-7.55304,6.98897,0.000227825,0.00223976,-0.00311985,4,0,41.38444991975038,-91.73528224925316,10133.322872996196,-81.82386987513487,-0.5336165140199236,0.8948511092538872,194.622,10150.171305463598,12127.771392007851,150,True,23.5622843921256,False,177.12147961147042,179.45518282943445,False,2.870724583692112,True,False
1,1970-07-23 10:28:05.586596371,2025-09-12,2025-09-26 14:49:18.659,HA,C,519747984,JASSM,3,152,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-188084.0198992056,-4786344.889619674,4202376.995573521,-2.30155,-0.153302,0.128183,92.125,-14.125,-11.875,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.45175894933109,-92.25033486551564,10997.373480767836,99.81776698095295,-0.0025290987611375,0.0023897270638265,,10150.171305463598,12127.771392007851,150,1,2025-09-12,2025-09-26 14:49:18.670,HA,C,3201128212,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-145355.57467301335,-4792570.27279458,4196608.236323983,2.30981,3.01189,-0.105597,-117.995,14.5112,10.7681,-0.142249,-7.53137,7.23909,0.00453674,0.00257474,0.00112664,4,0,41.3846366747993,-91.73721161155706,10126.422337044569,-81.70274163293456,-0.2488560902358593,0.6388011387335016,195.453,10150.171305463598,12127.771392007851,150,True,23.42436963525143,False,177.31210434261098,179.45120126434145,False,2.745618996694472,True,False
1,1970-07-23 10:28:05.594615308,2025-09-12,2025-09-26 14:49:19.461,HA,C,521000682,JASSM,3,152,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-187987.28747733065,-4786359.842744674,4202364.378386021,-2.30155,-0.153302,0.128183,92.125,-14.125,-11.875,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.45160745549848,-92.24917167805806,10997.374778844547,99.81853699737896,-0.0016442090455544,0.0023891171794234,,10150.171305463598,12127.771392007851,150,1,2025-09-12,2025-09-26 14:49:19.436,HA,C,3202042844,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-145446.05292418404,-4792559.073075025,4196616.731805995,2.30549,3.01429,-0.108446,-118.261,14.2305,11.3551,0.013714,-7.48747,7.10985,0.000899857,0.00563737,0.0077575,4,0,41.38474431977004,-91.73829635542404,10124.04670820479,-81.6724970674859,-0.0373684047732653,0.4054582898529613,196.027,10150.171305463598,12127.771392007851,150,True,23.322163413414167,False,177.41225745044875,179.4488701390903,False,2.5929608143785043,True,False
1,1970-07-23 10:28:05.610236176,2025-09-12,2025-09-26 14:49:21.023,HA,C,522253380,JASSM,3,152,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-187890.5550554556,-4786374.795869674,4202351.759245396,-2.30155,-0.153302,0.128183,92.125,-14.125,-11.875,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.45145593672701,-92.24800849601336,10997.376835680298,99.8193070079072,-0.0007593170602155,0.0023884942690882,,10150.171305463598,12127.771392007851,150,1,2025-09-12,2025-09-26 14:49:21.003,HA,C,3203911876,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-145632.91878040016,-4792536.530828169,4196635.1984207705,2.30508,3.01575,-0.112432,-118.993,13.936,12.1755,-0.199237,-7.57705,7.2402,0.00430163,0.00656948,-0.00890183,4,0,41.38496932455137,-91.74053648885,10122.599510374688,-81.55848866130393,0.1780123195548482,0.3913471458295969,197.201,10150.171305463598,12127.771392007851,150,True,23.167561355023707,False,177.5055534607214,179.4465816529839,False,2.4278547613486894,True,False
1,1970-07-23 10:28:05.614256847,2025-09-12,2025-09-26 14:49:21.425,HA,C,523506078,JASSM,3,152,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-187793.82263358065,-4786389.747041549,4202339.138151646,-2.30145,-0.153206,0.128183,92.125,-14.125,-11.875,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.45130440464317,-92.24684532029842,10997.374852177036,99.8164406422106,-0.0039313631100165,0.0071772554564463,,10150.171305463598,12127.771392007851,150,1,2025-09-12,2025-09-26 14:49:21.436,HA,C,3204428842,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-145683.85334771877,-4792530.66102987,4196640.288123203,2.31605,3.01663,-0.110605,-119.211,13.6572,12.4745,-0.217898,-7.52955,7.25599,0.0406683,0.00250192,-0.005602,4,0,41.38502939359184,-91.74114699152948,10123.005785573252,-81.67052381750396,0.1464534958140392,1.0252273874439866,197.421,10150.171305463598,12127.771392007851,150,True,23.08685484293332,False,177.45965309903573,179.44532782869865,False,2.433676188358396,True,False
1,1970-07-23 10:28:05.625215724,2025-09-12,2025-09-26 14:49:22.521,HA,C,524699126,JASSM,3,152,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-187701.6956804556,-4786403.985322799,4202327.118620396,-2.30145,-0.153206,0.128279,92.125,-14.125,-11.875,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.45116008693086,-92.2457375293678,10997.376458311312,99.82126449983572,-0.0067550287907749,0.0071762662694743,,10150.171305463598,12127.771392007851,150,1,2025-09-12,2025-09-26 14:49:22.503,HA,C,3205701374,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-145812.01354820354,-4792515.680793351,4196653.689161647,2.36907,3.01878,-0.112751,-119.544,13.8516,13.0475,-0.219887,-7.36491,7.0464,0.044195,0.0041227,0.00414559,4,0,41.385185791052656,-91.74268320356998,10124.804809100848,-81.66115584830467,0.3209027223447864,4.077024560295893,197.873,10150.171305463598,12127.771392007851,150,True,22.96667011794528,False,177.64783836937207,179.44437706509748,False,2.21558751280097,True,False
1,1970-07-23 10:28:05.634276068,2025-09-12,2025-09-26 14:49:23.427,HA,C,525892172,JASSM,3,152,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-187609.5706804556,-4786418.221650924,4202315.097136021,-2.30145,-0.153206,0.128279,92.125,-14.125,-11.875,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.4510157565442,-92.24462976760704,10997.373747349764,99.82199781651876,-0.0059122869700539,0.0071756835165284,,10150.171305463598,12127.771392007851,150,1,2025-09-12,2025-09-26 14:49:23.536,HA,C,3206934140,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-145934.770689726,-4792500.977568974,4196667.354516724,2.43379,3.01342,-0.122985,-119.693,14.2316,14.1671,-0.248618,-7.32347,7.08232,0.0833393,0.00332583,0.00609094,4,0,41.38534328376706,-91.74415478661184,10127.462536031107,-81.02131017878686,0.4840671043908395,7.753686674672949,198.581,10150.171305463598,12127.771392007851,150,True,22.84933792575745,False,177.99884812426794,179.44372554393985,False,1.776932382215687,True,False
1,1970-07-23 10:28:05.645301575,2025-09-12,2025-09-26 14:49:24.530,HA,C,527204524,JASSM,3,152,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-187508.2308367056,-4786433.881807174,4202301.874479771,-2.30145,-0.153206,0.128279,92.125,-14.125,-11.875,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.450856986765366,-92.24341120723786,10997.378379231404,99.82280447729326,-0.0049852512054231,0.0071750519182179,,10150.171305463598,12127.771392007851,150,1,2025-09-12,2025-09-26 14:49:24.536,HA,C,3208127138,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-146054.3679949091,-4792485.982127717,4196681.837048535,2.50057,3.00723,-0.13624,-119.611,15.1817,15.6142,-0.112285,-7.29222,7.00375,0.0566348,0.00439734,0.0104935,4,0,41.3855085859525,-91.7455887409028,10130.944786537231,-80.22132825516076,0.728011497661728,11.542613432059916,198.911,10150.171305463598,12127.771392007851,150,False,22.72853881599822,False,178.52405107275453,179.44328053362437,False,1.0951991522517737,True,False
