Subject_cm,Timestamp,SampleDate_cm,SampleTime_cm,Configuration_cm,Scenario_cm,DisTime_cm,MarkingTxt_cm,Application_cm,EntId_cm,Site_cm,ExerciseId_cm,ForceId_cm,Category_cm,Country_cm,Domain_cm,Kind_cm,Extra_cm,Specific_cm,Subcategory_cm,AltCategory_cm,AltCountry_cm,AltDomain_cm,AltKind_cm,ECEF_X_cm,ECEF_Y_cm,ECEF_Z_cm,OriPhi_cm,OriPsi_cm,OriTheta_cm,LinVelX_cm,LinVelY_cm,LinVelZ_cm,LinAccX_cm,LinAccY_cm,LinAccZ_cm,AngVelX_cm,AngVelY_cm,AngVelZ_cm,DrAlg_cm,Appearance_cm,Latitude_cm,Longitude_cm,Altitude_cm,Heading_cm,Pitch_cm,Roll_cm,CalibratedAirspeed_cm,CM_Altitude_Lead_cm,CM_Altitude_Wing_cm,CM_Airspeed_cm,Subject_ac,SampleDate_ac,SampleTime_ac,Configuration_ac,Scenario_ac,DisTime_ac,MarkingTxt_ac,Application_ac,EntId_ac,Site_ac,ExerciseId_ac,ForceId_ac,Category_ac,Country_ac,Domain_ac,Kind_ac,Extra_ac,Specific_ac,Subcategory_ac,AltCategory_ac,AltCountry_ac,AltDomain_ac,AltKind_ac,ECEF_X_ac,ECEF_Y_ac,ECEF_Z_ac,OriPhi_ac,OriPsi_ac,OriTheta_ac,LinVelX_ac,LinVelY_ac,LinVelZ_ac,LinAccX_ac,LinAccY_ac,LinAccZ_ac,AngVelX_ac,AngVelY_ac,AngVelZ_ac,DrAlg_ac,Appearance_ac,Latitude_ac,Longitude_ac,Altitude_ac,Heading_ac,Pitch_ac,Roll_ac,CalibratedAirspeed_ac,CM_Altitude_Lead_ac,CM_Altitude_Wing_ac,CM_Airspeed_ac,Bank_Angle_Condition,distance_nm,Distance_Condition,angle_between_vel,angle_between_pos,Cone_Condition,angle_between_pos_nose,Nose_Cone_Condition,Intercept_Criteria
1,1970-07-23 11:27:25.741462304,2025-09-16,2025-09-26 17:42:54.146,AA,D,2356864944,JASSM,3,122,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-136430.21911795562,-4807731.633027877,4179587.29862833,2.70565,2.13808,-0.757691,-35.0,55.125,61.75,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.1810903453005,-91.6254606403244,10000.000695382898,-24.05174114898542,-0.0035965646010499,0.0002630660765616,,9126.688510607357,11112.197839541188,150,1,2025-09-16,2025-09-26 17:42:54.044,AA,D,2748907442,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-146939.33923581924,-4795244.263625384,4193057.5903223567,2.36582,2.71728,-0.428519,-99.7732,51.875,58.3256,-0.255541,-7.43849,6.73147,-0.0162172,0.000412998,-0.00777622,4,0,41.34447002495988,-91.75514946088062,9128.180699394992,-57.14741002942085,0.7189261420180513,-0.5502773073871459,205.193,9126.688510607357,11112.197839541188,150,True,11.418969391322573,False,29.04242116385078,173.07701411897875,False,157.79612852966113,False,False
1,1970-07-23 11:27:25.752319823,2025-09-16,2025-09-26 17:42:55.231,AA,D,2358117936,JASSM,3,122,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-136467.09021170562,-4807673.758516158,4179652.228827,2.70565,2.13808,-0.757691,-35.0,55.125,61.75,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.18186679167305,-91.62591925713862,10000.000293401696,-24.05204312341472,-0.0027468539528883,0.0002618137535897,,9126.688510607357,11112.197839541188,150,1,2025-09-16,2025-09-26 17:42:55.344,AA,D,2750458342,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-147068.93038867202,-4795176.490825016,4193133.088089936,2.36644,2.71828,-0.427476,-99.7688,51.7313,58.3952,-0.209125,-7.33326,6.56147,0.0486662,-0.0110178,-0.00386262,4,0,41.34535929062744,-91.75672123439224,9134.73570795657,-57.227629148762105,0.713652450839759,-0.4921627859022564,205.144,9126.688510607357,11112.197839541188,150,True,11.450594126726159,False,29.057010803252737,172.88109712762463,False,157.97621826355802,False,False
1,1970-07-23 11:27:25.763360907,2025-09-16,2025-09-26 17:42:56.336,AA,D,2359430330,JASSM,3,122,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-136505.70935233062,-4807613.139375533,4179720.236221791,2.70565,2.13799,-0.757691,-35.0,55.125,61.75,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.18268004427531,-91.62639962872277,10000.000357103185,-24.04874332383029,-0.0035412176746464,-0.0035136576545705,,9126.688510607357,11112.197839541188,150,1,2025-09-16,2025-09-26 17:42:56.344,AA,D,2751651340,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-147167.83670195425,-4795124.552394145,4193190.91678169,2.40294,2.72072,-0.426423,-99.6285,52.0762,58.3539,-0.233616,-7.16639,6.46769,0.0334383,0.00570811,-0.0043474,4,0,41.346040646731,-91.757920946538,9139.673159883094,-57.36176616427865,0.7595296089483584,1.655131193436417,205.071,9126.688510607357,11112.197839541188,150,True,11.460577030095743,False,28.946762969520208,172.7235182985032,False,158.2508271197578,False,False
1,1970-07-23 11:27:25.774385717,2025-09-16,2025-09-26 17:42:57.438,AA,D,2360683288,JASSM,3,122,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-136542.58044608062,-4807555.264375533,4179785.162775517,2.70565,2.13799,-0.757595,-35.0,55.125,61.75,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.183456464897006,-91.6268582678828,10000.000286694829,-24.051365292957996,-0.0076726436380519,-0.0035146374902273,,9126.688510607357,11112.197839541188,150,1,2025-09-16,2025-09-26 17:42:57.445,AA,D,2752963638,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-147277.63601603193,-4795066.498418091,4193255.3514490738,2.42187,2.71639,-0.432348,-99.2628,52.2375,58.6955,-0.0891122,-7.26659,6.55083,-0.00183821,0.00397914,0.00719158,4,0,41.34680097952314,-91.75925296200826,9144.704433676558,-56.96466504730631,0.8488370003897644,2.641694770196653,205.217,9126.688510607357,11112.197839541188,150,True,11.480203592910376,False,28.715651201723613,172.55473349179874,False,158.6495773867779,False,False
1,1970-07-23 11:27:25.784422052,2025-09-16,2025-09-26 17:42:58.442,AA,D,2361937526,JASSM,3,122,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-136579.48669608062,-4807497.329316939,4179850.154623509,2.70565,2.13799,-0.757595,-35.0,55.125,61.75,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.18423367571976,-91.62731735685009,10000.000104179431,-24.051667592457463,-0.0068220951622316,-0.0035158826975961,,9126.688510607357,11112.197839541188,150,1,2025-09-16,2025-09-26 17:42:58.544,AA,D,2754275936,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-147386.1291464946,-4795008.621873782,4193319.5032224143,2.40209,2.7117,-0.432184,-99.0526,52.7744,58.8659,-0.150647,-7.29882,6.56355,-0.0404582,3.43298e-05,0.00750158,4,0,41.34755856918218,-91.7605693498072,9149.470590993076,-56.79577951001559,0.6741712860378837,1.3979342980027858,204.899,9126.688510607357,11112.197839541188,150,True,11.49937043229704,False,28.484911012803302,172.388962413839,False,159.05284496138054,False,False
1,1970-07-23 11:27:25.795443567,2025-09-16,2025-09-26 17:42:59.544,AA,D,2363247822,JASSM,3,122,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-136618.04528983062,-4807436.803682174,4179918.050383091,2.70565,2.13799,-0.757595,-35.0,55.125,61.75,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.18504562227272,-91.62779701035804,10000.000203352454,-24.051983438261303,-0.0059335207992658,-0.0035171603456463,,9126.688510607357,11112.197839541188,150,1,2025-09-16,2025-09-26 17:42:59.478,AA,D,2755389402,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-147479.2028339303,-4794958.60894346,4193374.79151515,2.35743,2.70761,-0.431,-99.0095,52.9808,58.9251,-0.0531113,-7.03218,6.41813,-0.105874,-0.0056769,-0.00815489,4,0,41.34821234268204,-91.76169880449224,9153.226583523723,-56.68975229129686,0.4792146233597107,-1.257499043113779,205.071,9126.688510607357,11112.197839541188,150,True,11.506636059476225,False,28.40880067095646,172.2413463045913,False,159.27963678035727,False,False
1,1970-07-23 11:27:25.805460928,2025-09-16,2025-09-26 17:43:00.546,AA,D,2364501080,JASSM,3,122,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-136654.92419608062,-4807378.911836471,4179982.989683629,2.70575,2.13799,-0.757595,-35.0,55.125,61.75,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.18582222182685,-91.62825578126734,10000.00064715762,-24.05228553794044,-0.0050836315061839,0.0019730802610277,,9126.688510607357,11112.197839541188,150,1,2025-09-16,2025-09-26 17:43:00.644,AA,D,2756781234,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-147594.60942012543,-4794896.596273027,4193443.04766842,2.24467,2.70641,-0.431277,-99.3682,52.6748,58.4299,0.0748762,-7.13968,6.53919,-0.0449523,-0.00549381,-0.0134001,4,0,41.34902095098231,-91.76309930074764,9157.248961534751,-56.63462606598456,0.4490156263060016,-7.746373016672448,204.997,9126.688510607357,11112.197839541188,150,True,11.53063045201835,False,28.7126601056308,172.06846414427127,False,159.15195086162714,False,False
1,1970-07-23 11:27:25.817320345,2025-09-16,2025-09-26 17:43:01.732,AA,D,2365815172,JASSM,3,122,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-136693.59411795562,-4807318.2085894,4180051.080076695,2.70575,2.13799,-0.757595,-35.0,55.125,61.75,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.18663651599292,-91.62873684388887,10000.00053740944,-24.052602321711667,-0.0041924847374987,0.0019717965809592,,9126.688510607357,11112.197839541188,150,1,2025-09-16,2025-09-26 17:43:01.810,AA,D,2758173066,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-147710.15212139706,-4794835.567307812,4193509.826757616,2.19386,2.72267,-0.411708,-100.24,52.1273,57.1719,-0.223786,-7.19513,6.57386,-0.0137579,0.00769508,-0.00871457,4,0,41.34981369106526,-91.76450109430854,9160.512953918009,-58.02497330811004,0.229888021525552,-10.284998629549168,205.144,9126.688510607357,11112.197839541188,150,False,11.551501896159207,False,29.421444032528544,171.89173839084904,False,158.6292540007422,False,False
1,1970-07-23 11:27:25.828347776,2025-09-16,2025-09-26 17:43:02.834,AA,D,2367126128,JASSM,3,122,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-136732.17028983062,-4807257.649019088,4180119.0070481305,2.70575,2.13799,-0.757595,-35.0,55.125,61.75,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.18744886577672,-91.62921675329744,10000.000425992945,-24.052918351228357,-0.0033034690843065,0.0019705038501142,,9126.688510607357,11112.197839541188,150,1,2025-09-16,2025-09-26 17:43:02.944,AA,D,2759525132,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-147825.171796677,-4794776.249529684,4193574.134432126,2.19677,2.72922,-0.404457,-101.41,51.2038,56.0245,-0.263222,-7.46758,6.80455,0.0211191,0.00452841,-0.00602852,4,0,41.350579642092576,-91.765896047585,9162.603862820002,-58.56263127779442,0.1727250810149531,-9.971154010314118,205.217,9126.688510607357,11112.197839541188,150,True,11.571086278766508,False,30.27189754375276,171.71266395479378,False,157.96024277827303,False,False
1,1970-07-23 11:27:25.839381737,2025-09-16,2025-09-26 17:43:03.938,AA,D,2368437496,JASSM,3,122,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-136770.75818045562,-4807197.069307174,4180186.954283238,2.70575,2.13799,-0.757595,-35.0,55.125,61.75,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.18826146804334,-91.62969682095324,10000.000240348696,-24.05323449009689,-0.0024141761666129,0.0019692079637923,,9126.688510607357,11112.197839541188,150,1,2025-09-16,2025-09-26 17:43:04.044,AA,D,2760837430,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-147936.53072208833,-4794720.3074378045,4193635.043099468,2.27957,2.73434,-0.392095,-102.288,50.6385,55.2,-0.0161132,-7.39577,6.62826,0.106902,0.00652995,-0.0206301,4,0,41.35130322022683,-91.76724608632972,9165.369695655429,-59.25114300615225,-0.1452376628246229,-5.113699605503927,205.327,9126.688510607357,11112.197839541188,150,True,11.587534461142479,False,30.869081634665445,171.535889342762,False,157.54292826981103,False,False
