Subject_cm,Timestamp,SampleDate_cm,SampleTime_cm,Configuration_cm,Scenario_cm,DisTime_cm,MarkingTxt_cm,Application_cm,EntId_cm,Site_cm,ExerciseId_cm,ForceId_cm,Category_cm,Country_cm,Domain_cm,Kind_cm,Extra_cm,Specific_cm,Subcategory_cm,AltCategory_cm,AltCountry_cm,AltDomain_cm,AltKind_cm,ECEF_X_cm,ECEF_Y_cm,ECEF_Z_cm,OriPhi_cm,OriPsi_cm,OriTheta_cm,LinVelX_cm,LinVelY_cm,LinVelZ_cm,LinAccX_cm,LinAccY_cm,LinAccZ_cm,AngVelX_cm,AngVelY_cm,AngVelZ_cm,DrAlg_cm,Appearance_cm,Latitude_cm,Longitude_cm,Altitude_cm,Heading_cm,Pitch_cm,Roll_cm,CalibratedAirspeed_cm,CM_Altitude_Lead_cm,CM_Altitude_Wing_cm,CM_Airspeed_cm,Subject_ac,SampleDate_ac,SampleTime_ac,Configuration_ac,Scenario_ac,DisTime_ac,MarkingTxt_ac,Application_ac,EntId_ac,Site_ac,ExerciseId_ac,ForceId_ac,Category_ac,Country_ac,Domain_ac,Kind_ac,Extra_ac,Specific_ac,Subcategory_ac,AltCategory_ac,AltCountry_ac,AltDomain_ac,AltKind_ac,ECEF_X_ac,ECEF_Y_ac,ECEF_Z_ac,OriPhi_ac,OriPsi_ac,OriTheta_ac,LinVelX_ac,LinVelY_ac,LinVelZ_ac,LinAccX_ac,LinAccY_ac,LinAccZ_ac,AngVelX_ac,AngVelY_ac,AngVelZ_ac,DrAlg_ac,Appearance_ac,Latitude_ac,Longitude_ac,Altitude_ac,Heading_ac,Pitch_ac,Roll_ac,CalibratedAirspeed_ac,CM_Altitude_Lead_ac,CM_Altitude_Wing_ac,CM_Airspeed_ac,Bank_Angle_Condition,distance_nm,Distance_Condition,angle_between_vel,angle_between_pos,Cone_Condition,angle_between_pos_nose,Nose_Cone_Condition,Intercept_Criteria
9,1970-07-23 10:31:35.638120658,2025-09-12,2025-09-26 20:39:23.812,AA,C,149247714,JASSM,3,136,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-163019.82849295562,-4785424.040010299,4204000.411589146,-2.36559,-0.397301,0.382249,73.0,-30.5,-31.75,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.47366544843168,-91.95107841435572,10002.62615874067,119.85533004718914,-0.0015093096026124,0.005041595088194,,8790.15738098984,10980.456319326084,150,9,2025-09-12,2025-09-26 20:39:23.790,AA,C,2492012092,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-146711.09318696844,-4792379.41458359,4196160.496716807,2.36294,2.85252,-0.292417,-88.5701,32.2652,32.2032,-0.0513334,-7.40312,6.36888,0.104844,0.00721862,-0.0002091,4,0,41.38250264319473,-91.753471759552,8787.323322045384,-67.78392630783317,0.3969789970796955,1.8894154621154216,171.623,8790.15738098984,10980.456319326084,150,True,10.432422372726927,False,176.09595613401262,177.97432109494787,False,5.75789092226433,True,False
9,1970-07-23 10:31:35.649059950,2025-09-12,2025-09-26 20:39:24.905,AA,C,150500412,JASSM,3,136,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-162943.19079764312,-4785456.202119674,4203966.995573521,-2.36559,-0.397301,0.382249,73.0,-30.5,-31.75,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.47326408941748,-91.95014879944458,10002.622371890684,119.8559457061786,-0.0007054220729981,0.0050402453176825,,8790.15738098984,10980.456319326084,150,9,2025-09-12,2025-09-26 20:39:24.824,AA,C,2493244856,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-146802.4596161019,-4792346.417893662,4196193.861605741,2.43464,2.8558,-0.293254,-88.3456,30.6268,34.0081,-0.298097,-7.54086,6.55494,0.0578561,-0.00186317,0.00331959,4,0,41.38290755213589,-91.75457514991184,8785.38499660839,-67.8737700871092,0.5615992807164072,6.0508052160073325,171.11,8790.15738098984,10980.456319326084,150,True,10.329281447823375,False,176.18420194359373,177.93641315158416,False,5.382115794319324,True,False
9,1970-07-23 10:31:35.660296725,2025-09-12,2025-09-26 20:39:26.029,AA,C,151872416,JASSM,3,136,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-162859.25427420562,-4785491.428682174,4203930.397917271,-2.36559,-0.397205,0.382249,73.0,-30.5,-31.75,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.47282449441735,-91.94913066237086,10002.6282018388,119.8529821037642,-0.0033946275072695,0.002989867360376,,8790.15738098984,10980.456319326084,150,9,2025-09-12,2025-09-26 20:39:25.923,AA,C,2494557156,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-146899.73541673826,-4792309.77815338,4196230.012522916,2.45124,2.84067,-0.310071,-87.5162,33.1025,33.4802,-0.294737,-7.44421,6.61707,0.0133085,0.00935331,0.00893095,4,0,41.38335185309627,-91.75575047277094,8780.976894229827,-66.60584361640582,0.6268909824380534,6.757594410191755,171.11,8790.15738098984,10980.456319326084,150,True,10.21756362112211,False,177.15567228389924,177.8966895748895,False,4.7946117736819085,True,False
9,1970-07-23 10:31:35.671256208,2025-09-12,2025-09-26 20:39:27.125,AA,C,153125114,JASSM,3,136,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-162782.61657889312,-4785523.588838424,4203896.979948521,-2.36559,-0.397205,0.382249,73.0,-30.5,-31.75,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.47242311806783,-91.94820107228364,10002.624012475952,119.85359773613747,-0.0025907396990002,0.0029884648513525,,8790.15738098984,10980.456319326084,150,9,2025-09-12,2025-09-26 20:39:27.223,AA,C,2496108054,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-147012.4343939205,-4792266.578191813,4196273.8302013045,2.40524,2.83715,-0.317587,-86.7159,33.8402,34.3552,-0.251364,-7.46953,6.68334,-0.0661369,0.00332791,0.00620537,4,0,41.38388411649549,-91.75711244005042,8778.226923367503,-66.16279930530322,0.7869255855204211,4.065088992011609,170.89,8790.15738098984,10980.456319326084,150,True,10.100524044218933,False,177.95249713185058,177.8575904593136,False,4.075980271824713,True,False
9,1970-07-23 10:31:35.682118443,2025-09-12,2025-09-26 20:39:28.211,AA,C,154437454,JASSM,3,136,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-162702.32995779935,-4785557.280244674,4203861.970182896,-2.36559,-0.397205,0.382345,73.0,-30.5,-31.75,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.47200261834467,-91.947227234217,10002.622619699496,119.85809006128838,-0.005669362426085,0.0029867424143214,,8790.15738098984,10980.456319326084,150,9,2025-09-12,2025-09-26 20:39:28.124,AA,C,2497181752,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-147090.24977879776,-4792236.192411296,4196304.930754219,2.36123,2.83309,-0.323679,-86.291,33.9387,34.7593,7.26283e-05,-7.51188,6.41811,-0.0338898,0.000410917,0.00415183,4,0,41.38426064594445,-91.75805305662188,8776.795845356699,-65.75845060449316,0.8696086218183928,1.47558368968422,171.11,8790.15738098984,10980.456319326084,150,True,10.002218714182835,False,178.2686059738324,177.82879452942672,False,3.7807128840597346,True,False
9,1970-07-23 10:31:35.692102411,2025-09-12,2025-09-26 20:39:29.210,AA,C,155690164,JASSM,3,136,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-162625.69128592435,-4785589.440400924,4203828.552214146,-2.36559,-0.397205,0.382345,73.0,-30.5,-31.75,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.47160122675353,-91.94629765593396,10002.626792098095,119.8587056759034,-0.0048654669196924,0.0029853983470665,,8790.15738098984,10980.456319326084,150,9,2025-09-12,2025-09-26 20:39:29.423,AA,C,2498732650,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-147203.1981531905,-4792192.329516165,4196350.053891933,2.26178,2.83434,-0.321091,-86.168,33.5796,34.6334,-0.111643,-7.34739,6.4264,-0.0786954,0.00090818,-0.0101377,4,0,41.384805594845815,-91.7594182844497,8775.279535726104,-65.91373004536379,0.8174977504253391,-4.201868094532482,170.805,8790.15738098984,10980.456319326084,150,True,9.884658629595334,False,178.1425633856278,177.7913582223439,False,3.90673686417094,True,False
9,1970-07-23 10:31:35.703328228,2025-09-12,2025-09-26 20:39:30.332,AA,C,156942864,JASSM,3,136,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-162549.05310233062,-4785621.598604049,4203795.132292271,-2.36559,-0.397205,0.382345,73.0,-30.5,-31.75,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.4711998259871,-91.94536809575224,10002.626086621223,119.85932127363272,-0.0040615748532116,0.0029840503544212,,8790.15738098984,10980.456319326084,150,9,2025-09-12,2025-09-26 20:39:30.323,AA,C,2499806350,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-147281.02100629944,-4792162.272040809,4196380.951708383,2.20865,2.83802,-0.31382,-86.3837,33.111,34.0512,-0.220362,-7.32355,6.44478,-0.0391058,-0.00701265,-0.0230561,4,0,41.385178782545374,-91.76035889657363,8774.227047580302,-66.35377523643068,0.6747796166777033,-7.186198368044093,170.719,8790.15738098984,10980.456319326084,150,True,9.788755754306743,False,177.70214009204008,177.761134319667,False,4.361075991088898,True,False
9,1970-07-23 10:31:35.714276844,2025-09-12,2025-09-26 20:39:31.427,AA,C,158255214,JASSM,3,136,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-162468.76599295562,-4785655.288057174,4203760.120573521,-2.36559,-0.397205,0.382345,73.0,-30.5,-31.75,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.47077930075358,-91.9443942892554,10002.628776142185,119.85996616806396,-0.0032194051268242,0.0029826340554522,,8790.15738098984,10980.456319326084,150,9,2025-09-12,2025-09-26 20:39:31.623,AA,C,2501357248,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-147393.2113348829,-4792119.948136512,4196423.975963753,2.19036,2.84937,-0.297821,-86.8471,32.4519,32.6051,-0.0273917,-7.53245,6.51062,0.024319,0.0157678,-0.0178026,4,0,41.38570051663412,-91.76171454294978,8771.901793686868,-67.44583948167396,0.4918294101299268,-8.049260536065383,170.499,8790.15738098984,10980.456319326084,150,True,9.670008695989868,False,176.7768101783777,177.71641131898124,False,5.3540560675134214,True,False
9,1970-07-23 10:31:35.724255853,2025-09-12,2025-09-26 20:39:32.425,AA,C,159507912,JASSM,3,136,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-162392.12780936187,-4785687.444307174,4203726.698698521,-2.36559,-0.397205,0.382345,73.0,-30.5,-31.75,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.47037788301214,-91.9434647533492,10002.627471871932,119.86058173968678,-0.0024155126953776,0.0029812843671121,,8790.15738098984,10980.456319326084,150,9,2025-09-12,2025-09-26 20:39:32.556,AA,C,2502470714,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-147474.99607958924,-4792089.785906797,4196454.39244986,2.24667,2.85395,-0.292458,-87.2265,31.6961,32.1982,-0.195686,-7.75267,6.67708,0.0858152,0.000708442,-0.00470943,4,0,41.38607033324495,-91.76270254471436,8769.85740488979,-67.8424778071947,0.4634208430476654,-4.749889680209026,170.365,8790.15738098984,10980.456319326084,150,True,9.572408351458863,False,176.27337689516148,177.67758137693167,False,5.844015720459675,True,False
9,1970-07-23 10:31:35.735115765,2025-09-12,2025-09-26 20:39:33.511,AA,C,160760612,JASSM,3,136,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-162315.48962576812,-4785719.598604049,4203693.276823521,-2.36559,-0.397205,0.382345,73.0,-30.5,-31.75,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.469976469364944,-91.9425352297032,10002.625492429455,119.86119729829151,-0.0016116265148166,0.0029799444394618,,8790.15738098984,10980.456319326084,150,9,2025-09-12,2025-09-26 20:39:33.489,AA,C,2503584180,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-147556.26893791172,-4792060.355783766,4196484.146173943,2.32294,2.85627,-0.291932,-87.2957,31.2477,32.1333,-0.0101285,-7.56634,6.52697,0.109611,-0.00199841,-0.00767219,4,0,41.38643140555778,-91.76368417407043,8768.142267343042,-67.95239231670612,0.5358040245976333,-0.3428632328322659,170.181,8790.15738098984,10980.456319326084,150,True,9.475332443018115,False,176.08013962553747,177.63664480837565,False,6.038187599849658,True,False
