Subject_cm,Timestamp,SampleDate_cm,SampleTime_cm,Configuration_cm,Scenario_cm,DisTime_cm,MarkingTxt_cm,Application_cm,EntId_cm,Site_cm,ExerciseId_cm,ForceId_cm,Category_cm,Country_cm,Domain_cm,Kind_cm,Extra_cm,Specific_cm,Subcategory_cm,AltCategory_cm,AltCountry_cm,AltDomain_cm,AltKind_cm,ECEF_X_cm,ECEF_Y_cm,ECEF_Z_cm,OriPhi_cm,OriPsi_cm,OriTheta_cm,LinVelX_cm,LinVelY_cm,LinVelZ_cm,LinAccX_cm,LinAccY_cm,LinAccZ_cm,AngVelX_cm,AngVelY_cm,AngVelZ_cm,DrAlg_cm,Appearance_cm,Latitude_cm,Longitude_cm,Altitude_cm,Heading_cm,Pitch_cm,Roll_cm,CalibratedAirspeed_cm,CM_Altitude_Lead_cm,CM_Altitude_Wing_cm,CM_Airspeed_cm,Subject_ac,SampleDate_ac,SampleTime_ac,Configuration_ac,Scenario_ac,DisTime_ac,MarkingTxt_ac,Application_ac,EntId_ac,Site_ac,ExerciseId_ac,ForceId_ac,Category_ac,Country_ac,Domain_ac,Kind_ac,Extra_ac,Specific_ac,Subcategory_ac,AltCategory_ac,AltCountry_ac,AltDomain_ac,AltKind_ac,ECEF_X_ac,ECEF_Y_ac,ECEF_Z_ac,OriPhi_ac,OriPsi_ac,OriTheta_ac,LinVelX_ac,LinVelY_ac,LinVelZ_ac,LinAccX_ac,LinAccY_ac,LinAccZ_ac,AngVelX_ac,AngVelY_ac,AngVelZ_ac,DrAlg_ac,Appearance_ac,Latitude_ac,Longitude_ac,Altitude_ac,Heading_ac,Pitch_ac,Roll_ac,CalibratedAirspeed_ac,CM_Altitude_Lead_ac,CM_Altitude_Wing_ac,CM_Airspeed_ac,Bank_Angle_Condition,distance_nm,Distance_Condition,angle_between_vel,angle_between_pos,Cone_Condition,angle_between_pos_nose,Nose_Cone_Condition,Intercept_Criteria
9,1970-07-23 10:31:29.537071415,2025-09-12,2025-09-26 20:29:13.707,AH,C,3716098746,JASSM,3,125,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-163293.53454764312,-4785309.163057174,4204119.745573521,-2.36559,-0.397301,0.382249,73.0,-30.5,-31.625,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.47509882484754,-91.9543985662348,10002.623782862762,119.8531311597818,-0.0043803457196838,0.005046424773371,,9026.08902586808,11243.505992254835,150,9,2025-09-12,2025-09-26 20:29:14.034,AH,C,1764561220,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-144429.93618408497,-4792752.569942345,4195925.842898593,2.30695,2.91842,-0.225657,-96.0005,28.7727,29.9306,-0.228708,-6.98412,6.57416,0.0283741,0.00874994,-0.00807375,4,0,41.379110915960666,-91.72608997630311,9026.08902586808,-73.05197386775093,0.4353393634904123,-0.3927506561421844,181.546,9026.08902586808,11243.505992254835,150,True,11.768993020397808,False,172.3447389819604,178.91926926133632,False,7.056544546879429,True,False
9,1970-07-23 10:31:29.545840038,2025-09-12,2025-09-26 20:29:14.584,AH,C,3717291792,JASSM,3,125,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-163220.54626639312,-4785339.797822799,4204087.925261021,-2.36559,-0.397301,0.382249,73.0,-30.5,-31.625,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.4747166091602,-91.95351317772509,10002.626039755653,119.85371754558456,-0.0036147402071539,0.0050451445114614,,9026.08902586808,11243.505992254835,150,9,2025-09-12,2025-09-26 20:29:14.467,AH,C,1765078186,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-144472.17753804114,-4792740.043912689,4195938.796093509,2.31924,2.91703,-0.226766,-96.0647,28.8324,29.819,-0.150888,-7.0599,6.63145,0.0342976,0.000887374,0.0113028,4,0,41.37926531061736,-91.72659900928036,9026.491847124766,-72.9530746899866,0.4216056927095214,0.293888174076201,181.717,9026.08902586808,11243.505992254835,150,True,11.698622971864896,False,172.31127405927526,178.9224042467179,False,7.110676798708534,True,False
9,1970-07-23 10:31:29.555282405,2025-09-12,2025-09-26 20:29:15.528,AH,C,3718484850,JASSM,3,125,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-163147.55749686187,-4785370.432588424,4204056.102995396,-2.36559,-0.397301,0.382249,73.0,-30.5,-31.625,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.47433437356208,-91.95262779377865,10002.627752005092,119.85430392392306,-0.0028491243427706,0.0050438550617273,,9026.08902586808,11243.505992254835,150,9,2025-09-12,2025-09-26 20:29:15.699,AH,C,1766549552,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-144590.27494555412,-4792704.58322172,4195975.162246265,2.34087,2.91383,-0.23054,-96.3082,29.0521,29.9931,-0.160857,-7.05659,6.71703,-0.0259169,-0.000298565,-0.00122027,4,0,41.379700598305725,-91.72802232346284,9026.868832031869,-72.6740893080672,0.4378485752735696,1.494119244481043,182.121,9026.08902586808,11243.505992254835,150,True,11.584164647105787,False,172.39770641921857,178.93751122393604,False,7.06777688487427,True,False
9,1970-07-23 10:31:29.566242626,2025-09-12,2025-09-26 20:29:16.624,AH,C,3719737538,JASSM,3,125,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-163070.92028983062,-4785402.596650924,4204022.688932896,-2.36559,-0.397301,0.382249,73.0,-30.5,-31.75,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.47393302855269,-91.95169816479697,10002.626175750753,119.85491960039472,-0.0020452408997402,0.0050425047104633,,9026.08902586808,11243.505992254835,150,9,2025-09-12,2025-09-26 20:29:16.699,AH,C,1767742550,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-144687.13173775983,-4792675.363312519,4196005.006915289,2.28085,2.91143,-0.233084,-96.4413,29.0585,30.0285,0.10046,-6.97913,6.52565,-0.0607211,-0.000949792,-0.000918583,4,0,41.3800585282382,-91.72918970853952,9026.888761608388,-72.47687164018264,0.4389911864833479,-1.975452919559106,182.243,9026.08902586808,11243.505992254835,150,True,11.479720270041113,False,172.33154788534685,178.96654964090837,False,7.113011465953975,True,False
9,1970-07-23 10:31:29.577450053,2025-09-12,2025-09-26 20:29:17.745,AH,C,3720870932,JASSM,3,125,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-163001.58142264312,-4785431.698213424,4203992.456511021,-2.36559,-0.397301,0.382249,73.0,-30.5,-31.75,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.47356989164726,-91.9508570762046,10002.628679092746,119.85547663394648,-0.0013179097589014,0.0050412774460388,,9026.08902586808,11243.505992254835,150,9,2025-09-12,2025-09-26 20:29:17.800,AH,C,1769054850,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-144793.29688957357,-4792643.51786381,4196037.909415453,2.24932,2.9166,-0.227323,-96.7099,27.2681,31.4442,-0.0623633,-7.08475,6.67172,-0.0152144,-0.00143457,-0.0137122,4,0,41.38045103772605,-91.73046923321094,9027.7778011888,-72.915817824753,0.4286265847725878,-3.717702806789843,183.098,9026.08902586808,11243.505992254835,150,True,11.374456308652157,False,172.08043099865642,178.98088645677768,False,7.26383102274961,True,False
9,1970-07-23 10:31:29.585222558,2025-09-12,2025-09-26 20:29:18.522,AH,C,3722063980,JASSM,3,125,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-162928.59314139312,-4785462.329072799,4203960.630339146,-2.36559,-0.397205,0.382249,73.0,-30.5,-31.75,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.47318763235894,-91.94997173089712,10002.623568322457,119.85242509165327,-0.0041219523550596,0.0029911310664194,,9026.08902586808,11243.505992254835,150,9,2025-09-12,2025-09-26 20:29:18.333,AH,C,1769691116,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-144845.03701998104,-4792627.701946997,4196053.3464786615,2.23589,2.91992,-0.220841,-97.0469,28.9841,29.3558,-0.0438192,-7.05055,6.70647,-0.029429,0.000167488,0.000236147,4,0,41.380640044290764,-91.73109292845368,9026.18827920356,-73.3154547718313,0.314685662307233,-4.447423423842072,183.098,9026.08902586808,11243.505992254835,150,True,11.298579262861194,False,171.92780544823577,178.9840470195071,False,7.5940037053883325,True,False
9,1970-07-23 10:31:29.595340367,2025-09-12,2025-09-26 20:29:19.534,AH,C,3723257026,JASSM,3,125,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-162855.60486014312,-4785492.959932174,4203928.806120396,-2.36559,-0.397205,0.382249,73.0,-30.5,-31.75,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.4728053794011,-91.9490863959919,10002.626441437413,119.85301141982475,-0.0033563461765638,0.0029897987880684,,9026.08902586808,11243.505992254835,150,9,2025-09-12,2025-09-26 20:29:19.466,AH,C,1771043180,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-144954.52650092164,-4792595.104253869,4196085.79474995,2.23172,2.92448,-0.216336,-97.4752,28.5779,28.7953,0.0272241,-7.13587,6.63416,0.0210567,0.00540851,-0.00848779,4,0,41.38103334074506,-91.73241245391864,9024.498812054975,-73.67874427153654,0.3289952456534446,-4.631889412291566,183.673,9026.08902586808,11243.505992254835,150,True,11.189438222569596,False,171.49276119937588,178.99674024639643,False,8.072827043208257,True,False
9,1970-07-23 10:31:29.605385699,2025-09-12,2025-09-26 20:29:20.538,AH,C,3724450072,JASSM,3,125,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-162782.61657889312,-4785523.588838424,4203896.979948521,-2.36559,-0.397205,0.382249,73.0,-30.5,-31.75,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.47242311806783,-91.94820107228364,10002.624012475952,119.85359773613747,-0.0025907396990002,0.0029884648513525,,9026.08902586808,11243.505992254835,150,9,2025-09-12,2025-09-26 20:29:20.567,AH,C,1772355480,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-145062.6991391814,-4792563.249537531,4196117.429187021,2.34871,2.93276,-0.208574,-97.7559,28.7522,28.5491,-0.231521,-7.14113,6.49358,0.0755474,-0.000581526,-0.0122225,4,0,41.38141694481321,-91.73371599825164,9022.78156840527,-74.32088769910104,0.3721660245186067,2.167089774991608,183.88,9026.08902586808,11243.505992254835,150,True,11.081214160683743,False,171.39797155428022,179.00830434669146,False,8.228346082268715,True,False
9,1970-07-23 10:31:29.616302075,2025-09-12,2025-09-26 20:29:21.630,AH,C,3725702770,JASSM,3,125,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-162705.97839529935,-4785555.748994674,4203863.561979771,-2.36559,-0.397205,0.382345,73.0,-30.5,-31.75,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.47202173427687,-91.94727148782532,10002.62390580468,119.85806075414698,-0.0057076362762913,0.002986812947143,,9026.08902586808,11243.505992254835,150,9,2025-09-12,2025-09-26 20:29:21.799,AH,C,1773826844,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-145182.51292267395,-4792527.718789944,4196152.525902302,2.40621,2.92184,-0.221567,-97.566,29.0454,29.2588,-0.263819,-7.53258,6.72022,0.0380052,0.000462932,0.0285281,4,0,41.38184367925318,-91.7351599331214,9020.403236918017,-73.35991681667066,0.4250387549827806,5.334742015690351,183.758,9026.08902586808,11243.505992254835,150,True,10.963934639897396,False,171.8019618645783,179.01877508590348,False,7.8619921844811,True,False
9,1970-07-23 10:31:29.626319685,2025-09-12,2025-09-26 20:29:22.631,AH,C,3726955468,JASSM,3,125,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-162629.34069998687,-4785587.909150924,4203830.144011021,-2.36559,-0.397205,0.382345,73.0,-30.5,-31.75,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.47162034284703,-91.9463419206747,10002.627963413492,119.85867636162322,-0.0049037482631214,0.0029854643534663,,9026.08902586808,11243.505992254835,150,9,2025-09-12,2025-09-26 20:29:22.566,AH,C,1774741476,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-145257.15637594365,-4792505.30758274,4196174.901971444,2.40756,2.91728,-0.229401,-97.2927,29.2875,29.8726,-0.136651,-7.4657,6.41531,-0.0176091,0.00773669,0.00896216,4,0,41.38211461402244,-91.73605960763447,9019.355769007436,-72.85776669532783,0.541862137552048,5.358161387781792,184.003,9026.08902586808,11243.505992254835,150,True,10.872554258345891,False,172.16844051481067,179.02224328106718,False,7.513237924675658,True,False
