Subject_cm,Timestamp,SampleDate_cm,SampleTime_cm,Configuration_cm,Scenario_cm,DisTime_cm,MarkingTxt_cm,Application_cm,EntId_cm,Site_cm,ExerciseId_cm,ForceId_cm,Category_cm,Country_cm,Domain_cm,Kind_cm,Extra_cm,Specific_cm,Subcategory_cm,AltCategory_cm,AltCountry_cm,AltDomain_cm,AltKind_cm,ECEF_X_cm,ECEF_Y_cm,ECEF_Z_cm,OriPhi_cm,OriPsi_cm,OriTheta_cm,LinVelX_cm,LinVelY_cm,LinVelZ_cm,LinAccX_cm,LinAccY_cm,LinAccZ_cm,AngVelX_cm,AngVelY_cm,AngVelZ_cm,DrAlg_cm,Appearance_cm,Latitude_cm,Longitude_cm,Altitude_cm,Heading_cm,Pitch_cm,Roll_cm,CalibratedAirspeed_cm,CM_Altitude_Lead_cm,CM_Altitude_Wing_cm,CM_Airspeed_cm,Subject_ac,SampleDate_ac,SampleTime_ac,Configuration_ac,Scenario_ac,DisTime_ac,MarkingTxt_ac,Application_ac,EntId_ac,Site_ac,ExerciseId_ac,ForceId_ac,Category_ac,Country_ac,Domain_ac,Kind_ac,Extra_ac,Specific_ac,Subcategory_ac,AltCategory_ac,AltCountry_ac,AltDomain_ac,AltKind_ac,ECEF_X_ac,ECEF_Y_ac,ECEF_Z_ac,OriPhi_ac,OriPsi_ac,OriTheta_ac,LinVelX_ac,LinVelY_ac,LinVelZ_ac,LinAccX_ac,LinAccY_ac,LinAccZ_ac,AngVelX_ac,AngVelY_ac,AngVelZ_ac,DrAlg_ac,Appearance_ac,Latitude_ac,Longitude_ac,Altitude_ac,Heading_ac,Pitch_ac,Roll_ac,CalibratedAirspeed_ac,CM_Altitude_Lead_ac,CM_Altitude_Wing_ac,CM_Airspeed_ac,Bank_Angle_Condition,distance_nm,Distance_Condition,angle_between_vel,angle_between_pos,Cone_Condition,angle_between_pos_nose,Nose_Cone_Condition,Intercept_Criteria
9,1970-07-23 10:31:14.389162282,2025-09-12,2025-09-26 20:03:58.916,HH,C,1909110562,JASSM,3,104,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-180695.24841483065,-4779087.161104049,4212729.300261021,-2.36693,-0.400848,0.381002,83.5,-35.25,-36.125,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.56646295246453,-92.16529758299164,14989.504047691458,119.79807224528015,-0.0037869755581587,0.0045545353675392,,13817.683391404704,16277.165501477106,150,9,2025-09-12,2025-09-26 20:03:58.922,HH,C,4251976346,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-148243.7400182675,-4794701.3390545575,4195791.498449989,2.29475,2.9532,-0.165728,-112.485,7.61174,3.75637,-0.121707,-6.96968,6.24146,0.00633853,-0.00869585,0.00709795,4,0,41.3659256358825,-91.7709206679196,13816.973046046,-76.93567567359209,-0.4051281903900955,-0.6839190479645311,179.359,13817.683391404704,16277.165501477106,150,True,21.405798135408208,False,152.88335236340438,175.68868010324223,False,31.376593458027358,False,False
9,1970-07-23 10:31:14.400242849,2025-09-12,2025-09-26 20:04:00.024,HH,C,1910363260,JASSM,3,104,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-180607.6097429556,-4779124.313447799,4212691.167448521,-2.36693,-0.400848,0.381002,83.5,-35.25,-36.125,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.56600439128244,-92.16423158626982,14989.503312646317,119.79877951862773,-0.0028669813092759,0.0045529567060379,,13817.683391404704,16277.165501477106,150,9,2025-09-12,2025-09-26 20:04:00.122,HH,C,4253407944,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-148379.38579798638,-4794691.593386055,4195796.23155759,2.30266,2.94774,-0.163394,-112.666,8.12946,3.64527,-0.0752297,-6.91103,6.31516,0.00571019,0.00142001,-0.0143884,4,0,41.36599058554789,-91.77254366058706,13813.576664477048,-76.82857192035823,-0.7224321529800848,-0.282772160288379,179.762,13817.683391404704,16277.165501477106,150,True,21.288449418764625,False,153.00740868159866,175.57690491522388,False,31.370582962374264,False,False
9,1970-07-23 10:31:14.410144114,2025-09-12,2025-09-26 20:04:01.014,HH,C,1911615960,JASSM,3,104,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-180519.97107108065,-4779161.467744674,4212653.030729771,-2.36693,-0.400848,0.381098,83.5,-35.25,-36.125,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.56554578223469,-92.16316560373956,14989.504267536147,119.80332879690386,-0.0058730214486168,0.0045510832127651,,13817.683391404704,16277.165501477106,150,9,2025-09-12,2025-09-26 20:04:01.154,HH,C,4254640708,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-148494.839479794,-4794682.841589567,4195799.985304064,2.30735,2.94302,-0.162216,-112.799,8.50229,3.58049,0.0153603,-6.91903,6.12734,-0.0209672,-0.00942613,0.00824852,4,0,41.36604670856519,-91.77392522803125,13808.973166497237,-76.70019772120712,-0.9641688144921646,-0.0595342183594327,180.312,13817.683391404704,16277.165501477106,150,True,21.180421031568553,False,153.10105151501088,175.4790420518019,False,31.379022832671055,False,False
9,1970-07-23 10:31:14.421182557,2025-09-12,2025-09-26 20:04:02.118,HH,C,1912928310,JASSM,3,104,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-180428.15954764312,-4779200.387666549,4212613.077604771,-2.36693,-0.400848,0.381098,83.5,-35.25,-36.125,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.56506534306104,-92.16204888295616,14989.501393486202,119.80406971145092,-0.004909211106376,0.0045494738103188,,13817.683391404704,16277.165501477106,150,9,2025-09-12,2025-09-26 20:04:01.987,HH,C,4255634874,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-148588.56607420408,-4794675.290067302,4195802.915465944,2.31049,2.93708,-0.165437,-112.904,9.01061,3.42587,-0.0567126,-7.08418,6.37497,0.0122724,-0.00425586,-0.0129944,4,0,41.366094121556586,-91.77504696745062,13803.887598468968,-76.33836282290423,-1.0875777333447485,0.0586362882898127,180.801,13817.683391404704,16277.165501477106,150,True,21.079748672680722,False,153.204231058567,175.396221037167,False,31.364237485592813,False,False
9,1970-07-23 10:31:14.431201745,2025-09-12,2025-09-26 20:04:03.120,HH,C,1914181010,JASSM,3,104,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-180340.52087576807,-4779237.536104049,4212574.940886021,-2.36693,-0.400848,0.381098,83.5,-35.25,-36.125,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.56460674865622,-92.16098293394238,14989.49903683363,119.80477693371674,-0.0039892161877131,0.0045479534541103,,13817.683391404704,16277.165501477106,150,9,2025-09-12,2025-09-26 20:04:03.221,HH,C,4257106240,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-148728.45981393915,-4794663.419689995,4195807.210351074,2.31567,2.93443,-0.164926,-113.131,9.67626,3.37159,-0.203047,-7.16602,6.51207,-0.0207529,-0.00142001,-0.000323532,4,0,41.36616789920614,-91.77672147082154,13794.660416486056,-76.26034087261607,-1.2167180228516017,0.3290124167040921,181.045,13817.683391404704,16277.165501477106,150,True,20.960410370718215,False,153.38980645964833,175.27817881003412,False,31.30260423885985,False,False
9,1970-07-23 10:31:14.442201892,2025-09-12,2025-09-26 20:04:04.220,HH,C,1915433708,JASSM,3,104,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-180252.88220389312,-4779274.686494674,4212536.804167271,-2.36693,-0.400848,0.381098,83.5,-35.25,-36.125,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.56414813268278,-92.159916999121,14989.50687320752,119.80548414015894,-0.003069214831976,0.0045464232735713,,13817.683391404704,16277.165501477106,150,9,2025-09-12,2025-09-26 20:04:04.288,HH,C,4258378772,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-148848.2253450166,-4794652.738985509,4195810.882580056,2.33183,2.92241,-0.16063,-113.331,10.3206,3.33095,-0.05865,-6.32308,5.61033,0.0301364,-0.0122932,-0.0105351,4,0,41.36623409093711,-91.77815523934376,13785.48322736583,-75.98467833804199,-1.8833473515710089,1.136018124496396,181.546,13817.683391404704,16277.165501477106,150,True,20.85030249083857,False,153.5715871954518,175.1745451151407,False,31.229588312508337,False,False
9,1970-07-23 10:31:14.463160281,2025-09-12,2025-09-26 20:04:06.316,HH,C,1917998758,JASSM,3,104,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-180073.43200858062,-4779350.747041549,4212458.706511021,-2.36693,-0.400752,0.381098,83.5,-35.25,-36.25,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.56320903122244,-92.15773442692138,14989.499183263331,119.80328785058398,-0.0047518552882855,0.0025003409296456,,13817.683391404704,16277.165501477106,150,9,2025-09-12,2025-09-26 20:04:06.322,HH,C,4260804536,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-149079.69763204374,-4794629.362252278,4195817.195909602,2.35558,2.90947,-0.166185,-113.828,12.0151,3.24499,-0.297681,-6.95136,6.22267,0.0310955,-0.00371074,0.00958634,4,0,41.36637292560684,-91.780927327726,13759.338851146264,-75.25675840355814,-2.2053134590270544,2.350250540502401,182.487,13817.683391404704,16277.165501477106,150,True,20.63097015514961,False,153.99296064955018,175.0246866382907,False,30.972217152968437,False,False
9,1970-07-23 10:31:14.466239776,2025-09-12,2025-09-26 20:04:06.623,HH,C,1916686406,JASSM,3,104,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-180165.24353201807,-4779311.832979049,4212498.663542271,-2.36693,-0.400848,0.381098,83.5,-35.25,-36.125,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.56368950379629,-92.15885108113798,14989.502026764185,119.80619132902125,-0.0021492130590099,0.0045448897951228,,13817.683391404704,16277.165501477106,150,9,2025-09-12,2025-09-26 20:04:06.787,HH,C,4261361268,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-149132.0835242038,-4794623.732236178,4195818.688667366,2.35925,2.90475,-0.168031,-113.964,12.2776,3.37526,-0.15238,-7.06145,6.38298,0.0100919,-0.00384598,0.0153496,4,0,41.36640678657993,-91.7815548244576,13752.72896882156,-74.99858497111329,-2.3293059855492126,2.505728698618074,182.609,13817.683391404704,16277.165501477106,150,True,20.664214657565957,False,154.16935155038618,174.94378226699206,False,30.874430851793985,False,False
9,1970-07-23 10:31:14.473218659,2025-09-12,2025-09-26 20:04:07.321,HH,C,1919191806,JASSM,3,104,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-179989.96618826812,-4779386.123994674,4212422.382292271,-2.36693,-0.400752,0.381098,83.5,-35.25,-36.25,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.56277222792144,-92.15671929127554,14989.50374881879,119.80396133538164,-0.0038756626132853,0.0024988309528164,,13817.683391404704,16277.165501477106,150,9,2025-09-12,2025-09-26 20:04:07.421,HH,C,4262116834,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-149204.99611950872,-4794615.517898853,4195821.093969429,2.36384,2.89765,-0.170129,-114.134,12.7513,3.65039,-0.157378,-7.14144,6.28023,-0.0044015,-0.014482,-0.00383142,4,0,41.36645837072659,-91.78242833957135,13743.3108673425,-74.63834011466203,-2.5418904751299087,2.6849204227110737,183.294,13817.683391404704,16277.165501477106,150,True,20.52054323223453,False,154.36213411292144,174.91562697801186,False,30.713985875674663,False,False
9,1970-07-23 10:31:14.482140761,2025-09-12,2025-09-26 20:04:08.214,HH,C,1920265546,JASSM,3,104,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-179914.84704764312,-4779417.961885299,4212389.686979771,-2.36693,-0.400752,0.381098,83.5,-35.25,-36.25,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.562379081725794,-92.15580568267006,14989.50105014349,119.80456745778912,-0.0030870825870392,0.0024974577970013,,13817.683391404704,16277.165501477106,150,9,2025-09-12,2025-09-26 20:04:08.187,HH,C,4263031466,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-149292.98340770707,-4794605.480006483,4195823.976984751,2.35417,2.89314,-0.168139,-114.401,13.194,3.91165,-0.209307,-7.32108,6.58384,-0.0242462,-0.00559368,-0.00365456,4,0,41.366521223281296,-91.78348250353804,13731.598566020872,-74.54982611294069,-2.805375647565178,2.083684584304063,183.868,13817.683391404704,16277.165501477106,150,True,20.43260324249536,False,154.58540269103057,174.83610494751883,False,30.5712160104148,False,False
