Subject_cm,Timestamp,SampleDate_cm,SampleTime_cm,Configuration_cm,Scenario_cm,DisTime_cm,MarkingTxt_cm,Application_cm,EntId_cm,Site_cm,ExerciseId_cm,ForceId_cm,Category_cm,Country_cm,Domain_cm,Kind_cm,Extra_cm,Specific_cm,Subcategory_cm,AltCategory_cm,AltCountry_cm,AltDomain_cm,AltKind_cm,ECEF_X_cm,ECEF_Y_cm,ECEF_Z_cm,OriPhi_cm,OriPsi_cm,OriTheta_cm,LinVelX_cm,LinVelY_cm,LinVelZ_cm,LinAccX_cm,LinAccY_cm,LinAccZ_cm,AngVelX_cm,AngVelY_cm,AngVelZ_cm,DrAlg_cm,Appearance_cm,Latitude_cm,Longitude_cm,Altitude_cm,Heading_cm,Pitch_cm,Roll_cm,CalibratedAirspeed_cm,CM_Altitude_Lead_cm,CM_Altitude_Wing_cm,CM_Airspeed_cm,Subject_ac,SampleDate_ac,SampleTime_ac,Configuration_ac,Scenario_ac,DisTime_ac,MarkingTxt_ac,Application_ac,EntId_ac,Site_ac,ExerciseId_ac,ForceId_ac,Category_ac,Country_ac,Domain_ac,Kind_ac,Extra_ac,Specific_ac,Subcategory_ac,AltCategory_ac,AltCountry_ac,AltDomain_ac,AltKind_ac,ECEF_X_ac,ECEF_Y_ac,ECEF_Z_ac,OriPhi_ac,OriPsi_ac,OriTheta_ac,LinVelX_ac,LinVelY_ac,LinVelZ_ac,LinAccX_ac,LinAccY_ac,LinAccZ_ac,AngVelX_ac,AngVelY_ac,AngVelZ_ac,DrAlg_ac,Appearance_ac,Latitude_ac,Longitude_ac,Altitude_ac,Heading_ac,Pitch_ac,Roll_ac,CalibratedAirspeed_ac,CM_Altitude_Lead_ac,CM_Altitude_Wing_ac,CM_Airspeed_ac,Bank_Angle_Condition,distance_nm,Distance_Condition,angle_between_vel,angle_between_pos,Cone_Condition,angle_between_pos_nose,Nose_Cone_Condition,Intercept_Criteria
8,1970-07-23 09:59:53.779223101,2025-09-10,2025-09-26 15:49:37.922,AA,C,3263396806,JASSM,3,125,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-155692.62634451812,-4777236.493135299,4213513.948698521,-2.71093,-1.01118,0.751842,36.625,-58.375,-64.375,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.588041515283,-91.8666386151684,10000.001541383152,155.93864783222494,-0.0032515725734163,-0.0006580975778329,,9133.40005056179,11009.472056291774,150,8,2025-09-10,2025-09-26 15:49:38.034,AA,C,3220815094,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-141552.3568830449,-4793970.6754143,4194690.208219161,2.37473,2.62405,-0.517893,-73.9408,45.8775,50.1135,-0.0434277,-7.28455,6.62005,-0.0402834,0.00325925,-0.0172513,4,0,41.36403303731311,-91.69129045584214,9133.16760721928,-50.139874591277525,1.225767848040792,-2.4040360829409924,177.514,9133.40005056179,11009.472056291774,150,True,15.574587854410268,False,155.43130480926783,173.52274461600334,False,18.121910067777772,True,False
8,1970-07-23 09:59:53.789215371,2025-09-10,2025-09-26 15:49:38.921,AA,C,3264589940,JASSM,3,125,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-155655.98571951812,-4777294.998994674,4213449.401823521,-2.71093,-1.01118,0.751842,36.625,-58.375,-64.375,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.587264878512144,-91.86617679350096,9999.998932332375,155.9389543733695,-0.0024015873097519,-0.0006593394058795,,9133.40005056179,11009.472056291774,150,8,2025-09-10,2025-09-26 15:49:38.767,AA,C,3221689960,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-141606.78472688195,-4793936.766272925,4194726.739957699,2.34373,2.62754,-0.513842,-74.1501,45.8368,49.8199,-0.126172,-7.09341,6.65605,-0.0323709,0.00297629,-0.0103062,4,0,41.36447183869434,-91.69195235131892,9132.869477485703,-50.42431344592476,1.1680927412662694,-4.087880019528684,177.428,9133.40005056179,11009.472056291774,150,True,15.486224582215637,False,155.2467841033631,173.5470307859708,False,18.33404489790912,True,False
8,1970-07-23 09:59:53.799217386,2025-09-10,2025-09-26 15:49:39.921,AA,C,3265842554,JASSM,3,125,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-155617.51696951812,-4777356.420869674,4213381.636198521,-2.71083,-1.01118,0.751842,36.625,-58.375,-64.375,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.586449520266704,-91.86569194308228,9999.997415908178,155.93927619513914,-0.0015092207352492,0.0048445005483765,,9133.40005056179,11009.472056291774,150,8,2025-09-10,2025-09-26 15:49:39.934,AA,C,3223081792,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-141694.05620016326,-4793882.722533906,4194784.660499303,2.32139,2.63321,-0.509875,-74.5042,45.5991,49.0601,-0.0625696,-7.37387,6.46904,0.0168913,0.0101627,-0.0120435,4,0,41.3651690447128,-91.69301356031272,9131.7812914817,-50.78779899577048,1.1879116455954777,-5.2158450964489775,177.269,9133.40005056179,11009.472056291774,150,True,15.37291300113985,False,154.80242458746957,173.5990273374596,False,18.837070503203996,True,False
8,1970-07-23 09:59:53.811214075,2025-09-10,2025-09-26 15:49:41.121,AA,C,3267095616,JASSM,3,125,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-155579.03552420562,-4777417.864229049,4213313.847136021,-2.71083,-1.01118,0.751842,36.625,-58.375,-64.375,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.58563387630207,-91.8652069443873,10000.001611177348,155.93959811014463,-0.0006165461754396,0.0048432020076089,,9133.40005056179,11009.472056291774,150,8,2025-09-10,2025-09-26 15:49:41.200,AA,C,3224592924,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-141788.91959519745,-4793825.061857706,4194846.531729333,2.36301,2.64308,-0.498648,-74.8303,45.0084,48.6038,-0.213007,-7.36707,6.41059,0.062862,-0.00430579,-0.00263507,4,0,41.36591309509249,-91.69416672881944,9130.916712292004,-51.58670573219656,1.0408943484238826,-2.5740300318808957,176.634,9133.40005056179,11009.472056291774,150,True,15.255089655851263,False,154.3653707296724,173.6598646572011,False,19.3329647933492,True,False
8,1970-07-23 09:59:53.821195809,2025-09-10,2025-09-26 15:49:42.119,AA,C,3268407604,JASSM,3,125,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-155538.74450858062,-4777482.196260299,4213242.866667271,-2.71083,-1.01118,0.751842,36.625,-58.375,-64.375,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.58477985414653,-91.86469915222035,10000.001825216548,155.93993514862612,0.000318124846535,0.004841833792249,,9133.40005056179,11009.472056291774,150,8,2025-09-10,2025-09-26 15:49:42.002,AA,C,3225547322,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-141848.9865236071,-4793788.935244589,4194885.106997928,2.41433,2.64508,-0.500376,-74.8008,44.8414,48.4037,-0.0748276,-7.66325,6.49176,0.093324,0.0175384,-0.000562801,4,0,41.3663778746212,-91.69489678617254,9130.014538175405,-51.59578483459207,1.1827069409893525,0.4214424976563973,176.34,9133.40005056179,11009.472056291774,150,True,15.158808890266421,False,154.2645033066124,173.6902933813328,False,19.46507437454457,True,False
8,1970-07-23 09:59:53.832196931,2025-09-10,2025-09-26 15:49:43.219,AA,C,3269719952,JASSM,3,125,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-155498.44177420562,-4777546.541963424,4213171.866667271,-2.71083,-1.01118,0.751842,36.625,-58.375,-64.375,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.58392561880583,-91.8641912277138,9999.99766885332,155.94027226926016,0.0012530329447805,0.0048404791370081,,9133.40005056179,11009.472056291774,150,8,2025-09-10,2025-09-26 15:49:43.235,AA,C,3227018688,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-141940.52767259954,-4793733.661568377,4194944.264668332,2.48598,2.63785,-0.503617,-74.2057,44.9069,48.6032,-0.202755,-7.18887,6.28712,0.0362429,0.00805086,0.00682539,4,0,41.36708997049634,-91.69600948016311,9128.912513808316,-51.20216417944438,1.0787094787681566,4.334978922758708,175.534,9133.40005056179,11009.472056291774,150,True,15.04106321704096,False,154.57487564846357,173.7492754766755,False,19.21339713525727,True,False
8,1970-07-23 09:59:53.842215051,2025-09-10,2025-09-26 15:49:44.221,AA,C,3270972652,JASSM,3,125,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-155459.97107108062,-4777607.963838424,4213104.093229771,-2.71083,-1.01118,0.751938,36.625,-58.375,-64.375,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.5831101995043,-91.8637064038572,9999.999748464918,155.94288666308404,-0.0028445552731411,0.0048391672514787,,9133.40005056179,11009.472056291774,150,8,2025-09-10,2025-09-26 15:49:44.334,AA,C,3228330986,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-142022.87003782898,-4793683.388348127,4194997.78800655,2.50455,2.62837,-0.514589,-73.4759,45.2649,48.8722,-0.352598,-7.41768,6.51035,-0.0287028,0.000652266,0.00312193,4,0,41.3677358891193,-91.69701057859294,9127.237427078237,-50.43019430184533,1.2325953552106337,5.150156933434712,174.972,9133.40005056179,11009.472056291774,150,True,14.931811134540949,False,155.04434818794033,173.8011822284283,False,18.798926651315384,True,False
8,1970-07-23 09:59:53.853997366,2025-09-10,2025-09-26 15:49:45.399,AA,C,3272165698,JASSM,3,125,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-155423.33239920562,-4777666.457979049,4213039.546354771,-2.71083,-1.01109,0.751938,36.625,-58.375,-64.375,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.58233361987031,-91.86324468043009,9999.997758673397,155.93954862876532,-0.0036692064675606,0.0010871676486172,,9133.40005056179,11009.472056291774,150,8,2025-09-10,2025-09-26 15:49:45.467,AA,C,3229683052,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-142105.7797004823,-4793631.833430294,4195052.815068722,2.45975,2.61528,-0.518923,-72.8334,45.6274,49.0563,0.0111811,-7.21506,6.28912,-0.0445466,0.00754112,0.00519004,4,0,41.3683994761905,-91.69801892538092,9125.716115731928,-49.77759382444421,0.9877142683889945,2.225005977370343,174.678,9133.40005056179,11009.472056291774,150,True,14.82402435556102,False,155.45565590122288,173.8539498263109,False,18.444864424670445,True,False
8,1970-07-23 09:59:53.863215511,2025-09-10,2025-09-26 15:49:46.321,AA,C,3273418546,JASSM,3,125,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-155384.85681326812,-4777727.885713424,4212971.761198521,-2.71083,-1.01109,0.751938,36.625,-58.375,-64.375,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.58151808343493,-91.86275981961262,9999.99820348077,155.9398704262535,-0.0027766627080951,0.0010858441328003,,9133.40005056179,11009.472056291774,150,8,2025-09-10,2025-09-26 15:49:46.300,AA,C,3230677218,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-142166.5310370143,-4793593.777400181,4195093.314136416,2.43092,2.61466,-0.520856,-72.5852,45.829,48.8501,-0.0919292,-7.22734,6.38712,-0.017605,0.00392504,0.00166968,4,0,41.36888857613498,-91.69875789487988,9124.30430979244,-49.6820697134724,1.0515902083072983,0.557261826083389,174.678,9133.40005056179,11009.472056291774,150,True,14.728817263838451,False,155.54201309432815,173.88601388759022,False,18.397901489091243,True,False
8,1970-07-23 09:59:53.875606610,2025-09-10,2025-09-26 15:49:47.560,AA,C,3274790500,JASSM,3,125,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-155342.72302420562,-4777795.151338424,4212897.530729771,-2.71083,-1.01109,0.751938,36.625,-58.375,-64.375,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.5806250171569,-91.86222887392591,9999.997339871554,155.94022280388316,-0.0017992688989156,0.0010843992356041,,9133.40005056179,11009.472056291774,150,8,2025-09-10,2025-09-26 15:49:47.667,AA,C,3232307648,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-142265.84911079324,-4793530.819554863,4195160.246117755,2.39995,2.61536,-0.52216,-72.3715,45.7708,48.792,-0.139948,-7.24396,6.57298,-0.00193599,-0.00148659,0.00242077,4,0,41.36969745971485,-91.69996627127304,9121.743395509113,-49.659394494947456,1.1316278065006982,-1.1965763514768155,174.251,9133.40005056179,11009.472056291774,150,True,14.601415020562701,False,155.59117459634115,173.95029122037585,False,18.414442795860445,True,False
8,1970-07-23 09:59:53.885196034,2025-09-10,2025-09-26 15:49:48.519,AA,C,3276102752,JASSM,3,125,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-155302.42321951812,-4777859.487275924,4212826.530729771,-2.71083,-1.01109,0.751938,36.625,-58.375,-64.375,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.579770828014176,-91.86172105343088,9999.99652961172,155.94055982798812,-0.0008644247316742,0.0010830193851608,,9133.40005056179,11009.472056291774,150,8,2025-09-10,2025-09-26 15:49:48.467,AA,C,3233262048,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-142323.17239722333,-4793494.681220413,4195198.7660241965,2.39478,2.61573,-0.521954,-72.3995,45.652,48.7047,-0.154284,-7.25047,6.65703,0.00283689,0.00819442,0.0139077,4,0,41.37016238262672,-91.7006636515504,9120.518268254073,-49.681604811499405,1.135671234795545,-1.4829490080637104,174.422,9133.40005056179,11009.472056291774,150,True,14.50588648905219,False,155.51882445334599,173.97886944826402,False,18.515495298320666,True,False
8,1970-07-23 09:59:53.897994321,2025-09-10,2025-09-26 15:49:49.799,AA,C,3277355628,JASSM,3,125,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-155263.94763358062,-4777920.911104049,4212758.741667271,-2.71083,-1.01109,0.751938,36.625,-58.375,-64.375,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.578955281811815,-91.8612362324728,9999.994826046068,155.94088158273587,2.812168184168886e-05,0.0010816935564582,,9133.40005056179,11009.472056291774,150,8,2025-09-10,2025-09-26 15:49:49.633,AA,C,3234653880,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-142407.86307920734,-4793441.20459774,4195255.831834221,2.4223,2.6201,-0.521084,-72.3312,45.5291,48.7139,-0.0967919,-7.35489,6.66134,0.100854,-8.63447e-05,-0.00235627,4,0,41.37085081926607,-91.70169402498226,9118.842159929094,-49.87821623006588,1.2427885168997337,0.2143783970768479,174.287,9133.40005056179,11009.472056291774,150,True,14.393813517701187,False,155.5146699725221,174.03382110036537,False,18.573626267475078,True,False
8,1970-07-23 09:59:53.907195445,2025-09-10,2025-09-26 15:49:50.719,AA,C,3278668078,JASSM,3,125,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-155223.64099295562,-4777985.254854049,4212687.729948521,-2.71083,-1.01109,0.752034,36.625,-58.375,-64.375,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.57810096383693,-91.86072835321023,9999.997995971218,155.94351299895106,-0.0040298574184773,0.0010802596407706,,9133.40005056179,11009.472056291774,150,8,2025-09-10,2025-09-26 15:49:50.634,AA,C,3235846878,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-142480.6107899611,-4793395.326488908,4195305.016720145,2.52327,2.62139,-0.523802,-71.9583,45.0941,49.55,-0.229833,-7.41628,6.64342,0.0616387,-0.0057414,0.00463661,4,0,41.37144294938785,-91.70257909360878,9117.9097849668,-49.82382083734536,1.402894501531995,6.037957602920591,174.116,9133.40005056179,11009.472056291774,150,True,14.287476982003291,False,155.808599296979,174.07743914433595,False,18.30637471632522,True,False
8,1970-07-23 09:59:53.918214157,2025-09-10,2025-09-26 15:49:51.821,AA,C,3280039804,JASSM,3,125,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-155181.51501639312,-4778052.504854049,4212613.507292271,-2.71083,-1.01109,0.752034,36.625,-58.375,-64.375,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.5772080319964,-91.86019756316176,9999.999708807318,155.943865249637,-0.003052625173423,0.0010788445568905,,9133.40005056179,11009.472056291774,150,8,2025-09-10,2025-09-26 15:49:51.934,AA,C,3237397776,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-142573.7083664612,-4793335.486548601,4195369.187248134,2.5666,2.5996,-0.542196,-70.9261,46.2009,50.1446,-0.183258,-7.20173,6.84349,-0.00617416,0.0146027,0.0127114,4,0,41.372215703407775,-91.7037121686018,9116.608193684577,-48.320947252731486,1.4896288100013209,7.923931040494029,174.287,9133.40005056179,11009.472056291774,150,True,14.163696813079087,False,156.7209850840497,174.13791298768018,False,17.465140049814213,True,False
