Subject_cm,Timestamp,SampleDate_cm,SampleTime_cm,Configuration_cm,Scenario_cm,DisTime_cm,MarkingTxt_cm,Application_cm,EntId_cm,Site_cm,ExerciseId_cm,ForceId_cm,Category_cm,Country_cm,Domain_cm,Kind_cm,Extra_cm,Specific_cm,Subcategory_cm,AltCategory_cm,AltCountry_cm,AltDomain_cm,AltKind_cm,ECEF_X_cm,ECEF_Y_cm,ECEF_Z_cm,OriPhi_cm,OriPsi_cm,OriTheta_cm,LinVelX_cm,LinVelY_cm,LinVelZ_cm,LinAccX_cm,LinAccY_cm,LinAccZ_cm,AngVelX_cm,AngVelY_cm,AngVelZ_cm,DrAlg_cm,Appearance_cm,Latitude_cm,Longitude_cm,Altitude_cm,Heading_cm,Pitch_cm,Roll_cm,CalibratedAirspeed_cm,CM_Altitude_Lead_cm,CM_Altitude_Wing_cm,CM_Airspeed_cm,Subject_ac,SampleDate_ac,SampleTime_ac,Configuration_ac,Scenario_ac,DisTime_ac,MarkingTxt_ac,Application_ac,EntId_ac,Site_ac,ExerciseId_ac,ForceId_ac,Category_ac,Country_ac,Domain_ac,Kind_ac,Extra_ac,Specific_ac,Subcategory_ac,AltCategory_ac,AltCountry_ac,AltDomain_ac,AltKind_ac,ECEF_X_ac,ECEF_Y_ac,ECEF_Z_ac,OriPhi_ac,OriPsi_ac,OriTheta_ac,LinVelX_ac,LinVelY_ac,LinVelZ_ac,LinAccX_ac,LinAccY_ac,LinAccZ_ac,AngVelX_ac,AngVelY_ac,AngVelZ_ac,DrAlg_ac,Appearance_ac,Latitude_ac,Longitude_ac,Altitude_ac,Heading_ac,Pitch_ac,Roll_ac,CalibratedAirspeed_ac,CM_Altitude_Lead_ac,CM_Altitude_Wing_ac,CM_Airspeed_ac,Bank_Angle_Condition,distance_nm,Distance_Condition,angle_between_vel,angle_between_pos,Cone_Condition,angle_between_pos_nose,Nose_Cone_Condition,Intercept_Criteria
8,1970-07-23 09:59:47.312771493,2025-09-10,2025-09-26 15:38:51.277,HA,C,2491853656,JASSM,3,116,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-180658.86853201807,-4777947.329072799,4211723.144011021,-2.36693,-0.400848,0.381002,81.875,-34.625,-35.5,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.5664975526651,-92.16537801252116,10000.00422649194,119.79801888119492,-0.0038563898483674,0.004554656550613,,9225.216264497592,11151.327114366952,150,8,2025-09-10,2025-09-26 15:38:51.241,HA,C,2449183504,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-140443.5265001,-4794885.327295711,4193730.529267848,2.39082,2.65546,-0.460775,-87.038,48.3497,51.2144,-0.184879,-7.14677,6.3247,-0.00411854,0.00212741,-0.00190687,4,0,41.35230679251525,-91.67772966101587,9223.876715231536,-53.49970580960197,-0.1621173730189929,-0.6643088280368972,195.074,9225.216264497592,11151.327114366952,150,True,25.38464398234134,False,172.2040469619411,179.3567296284611,False,7.410827277951791,True,False
8,1970-07-23 09:59:47.322341986,2025-09-10,2025-09-26 15:38:52.234,HA,C,2493106352,JASSM,3,116,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-180572.91638358065,-4777983.766572799,4211685.743620396,-2.36693,-0.400848,0.381002,81.875,-34.625,-35.5,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.566047699271934,-92.16433227979132,10000.000279884072,119.79871271021264,-0.0029538800071475,0.0045530987353531,,9225.216264497592,11151.327114366952,150,8,2025-09-10,2025-09-26 15:38:52.307,HA,C,2450456036,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-140535.8038677073,-4794833.689691113,4193784.1949783526,2.38961,2.65483,-0.46229,-87.1341,48.3926,51.0127,-0.0608757,-7.4204,6.43879,0.00298877,-0.00101013,0.000519108,4,0,41.352960208351575,-91.67884943979932,9219.741734328813,-53.41809890928403,-0.1186141439297987,-0.7496146644304388,195.27,9225.216264497592,11151.327114366952,150,True,25.26742947711516,False,172.28642842307906,179.3651148632664,False,7.352150299780958,True,False
8,1970-07-23 09:59:47.333563084,2025-09-10,2025-09-26 15:38:53.356,HA,C,2494359052,JASSM,3,116,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-180486.96423514312,-4778020.204072799,4211648.341276646,-2.36693,-0.400848,0.381098,81.875,-34.625,-35.5,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.56559782318216,-92.16328656156853,9999.997279124753,119.80324854417808,-0.0059774174647864,0.0045512602780771,,9225.216264497592,11151.327114366952,150,8,2025-09-10,2025-09-26 15:38:53.341,HA,C,2451688800,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-140626.68320194102,-4794782.942991287,4193836.9401654433,2.39155,2.65501,-0.461204,-87.327,48.34,51.0571,-0.194443,-7.30367,6.50437,0.00880404,0.0017529,0.000485819,4,0,41.35360234282396,-91.67995223785404,9215.710791352009,-53.467673615479335,-0.1572851660671007,-0.6341467333522006,195.38,9225.216264497592,11151.327114366952,150,True,25.15121615023862,False,172.3478557658322,179.37295486798428,False,7.305769019849768,True,False
8,1970-07-23 09:59:47.344772490,2025-09-10,2025-09-26 15:38:54.477,HA,C,2495671402,JASSM,3,116,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-180396.91931326807,-4778058.375947799,4211609.159636021,-2.36693,-0.400848,0.381098,81.875,-34.625,-35.5,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.5651265304798,-92.1621910653638,10000.001748669652,119.80397537759346,-0.005031933623476,0.0045496928262889,,9225.216264497592,11151.327114366952,150,8,2025-09-10,2025-09-26 15:38:54.441,HA,C,2453001100,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-140722.31798159008,-4794729.765837612,4193892.301906721,2.39081,2.65536,-0.461744,-87.4828,48.3393,50.9693,-0.199578,-7.48548,6.62586,-0.000271518,0.00371074,0.00249567,4,0,41.354275760768864,-91.68111268708316,9211.71933697001,-53.4607189014833,-0.121381960706497,-0.6676881953856645,195.416,9225.216264497592,11151.327114366952,150,True,25.029250722253675,False,172.4249005470802,179.38077370825945,False,7.249189363766355,True,False
8,1970-07-23 09:59:47.354766788,2025-09-10,2025-09-26 15:38:55.476,HA,C,2496924102,JASSM,3,116,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-180310.96716483065,-4778094.811494674,4211571.755339146,-2.36693,-0.400848,0.381098,81.875,-34.625,-35.5,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.56467663334779,-92.16114537772953,10000.000347759402,119.80466915799732,-0.0041294167565054,0.0045481823642517,,9225.216264497592,11151.327114366952,150,8,2025-09-10,2025-09-26 15:38:55.509,HA,C,2454273632,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-140816.35345476354,-4794677.598735308,4193946.8718797257,2.38663,2.65656,-0.461173,-87.6244,48.3636,50.9486,-0.0996039,-7.12884,6.62802,0.000720926,0.00329462,-0.0015927,4,0,41.35493809363805,-91.68225371145216,9208.390036044397,-53.52897416110975,-0.1029927292094302,-0.8761718440053872,195.722,9225.216264497592,11151.327114366952,150,True,24.910947341798398,False,172.47026826939157,179.3883245001394,False,7.223244413008933,True,False
8,1970-07-23 09:59:47.364081568,2025-09-10,2025-09-26 15:38:56.408,HA,C,2498117148,JASSM,3,116,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-180229.10778983065,-4778129.510713424,4211536.132292271,-2.36693,-0.400848,0.381098,81.875,-34.5,-35.5,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.564248159452085,-92.16014949659284,10000.00083681988,119.80532988764386,-0.0032698799468459,0.0045467517211693,,9225.216264497592,11151.327114366952,150,8,2025-09-10,2025-09-26 15:38:56.274,HA,C,2455188264,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-140883.6329563361,-4794640.555283428,4193985.656878856,2.3823,2.65728,-0.461364,-87.7379,48.0973,51.0071,-0.0720404,-7.4409,6.49019,0.000814553,-0.00215862,0.00168424,4,0,41.35540855432574,-91.68306999545484,9206.143532831804,-53.5492931360458,-0.0693096916502664,-1.106117695326948,195.722,9225.216264497592,11151.327114366952,150,True,24.813614796624307,False,172.5146249300573,179.4166320318691,False,7.142404846297635,True,False
8,1970-07-23 09:59:47.375061210,2025-09-10,2025-09-26 15:38:57.506,HA,C,2499369846,JASSM,3,116,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-180143.15661795562,-4778165.942354049,4211498.727995396,-2.36693,-0.400848,0.381098,81.875,-34.5,-35.5,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.563798266772665,-92.15910385073956,10000.000091367634,119.80602362828624,-0.0023673831545187,0.0045452562064814,,9225.216264497592,11151.327114366952,150,8,2025-09-10,2025-09-26 15:38:57.442,HA,C,2456580096,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-140985.7563089083,-4794584.53651124,4194044.510631296,2.37511,2.65737,-0.458968,-88.0191,47.9552,50.9583,-0.260602,-7.50738,6.51613,-0.00192559,0.00268709,0.00374195,4,0,41.35612128890989,-91.68430897976997,9203.217471344447,-53.646324344376765,-0.1662459016668713,-1.5152388550708058,195.771,9225.216264497592,11151.327114366952,150,True,24.68999257996827,False,172.65449204836318,179.42597252043757,False,7.019386850339229,True,False
8,1970-07-23 09:59:47.385061382,2025-09-10,2025-09-26 15:38:58.506,HA,C,2500562894,JASSM,3,116,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-180061.29626639312,-4778200.639619674,4211463.102995396,-2.36693,-0.400848,0.381098,81.875,-34.5,-35.5,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.56336977385193,-92.15810798576533,10000.001111712823,119.80668433574242,-0.0015078385584998,0.0045438283983126,,9225.216264497592,11151.327114366952,150,8,2025-09-10,2025-09-26 15:38:58.507,HA,C,2457852628,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-141079.74787981185,-4794533.576095057,4194098.9549175855,2.3758,2.6571,-0.457449,-88.2198,45.6591,52.9052,-0.185297,-7.11964,6.42476,0.00361087,-0.00280152,-0.00100181,4,0,41.35677557623351,-91.68544912160029,9202.603763542193,-53.69522261626037,-0.2390486665070458,-1.4828076543858235,195.881,9225.216264497592,11151.327114366952,150,True,24.574543745766587,False,172.52189001763486,179.43470542150675,False,7.076633822252832,True,False
8,1970-07-23 09:59:47.395079934,2025-09-10,2025-09-26 15:38:59.507,HA,C,2501815592,JASSM,3,116,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-179975.34411795562,-4778237.071260299,4211425.694792271,-2.36693,-0.400752,0.381098,81.875,-34.5,-35.5,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.56291983645583,-92.15706235654108,10000.001920527397,119.80373373172984,-0.0041717679977608,0.0024993318150022,,9225.216264497592,11151.327114366952,150,8,2025-09-10,2025-09-26 15:38:59.641,HA,C,2459204692,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-141180.41358736338,-4794478.678885567,4194155.38138468,2.37372,2.65958,-0.457649,-88.5907,47.8471,50.5351,-0.178837,-7.51413,6.71264,-0.00326549,0.00382517,0.00473439,4,0,41.35746547607663,-91.68667035969462,9197.087674743005,-53.782718630350615,-0.1431558617822191,-1.538505335271119,195.844,9225.216264497592,11151.327114366952,150,True,24.452302846246564,False,172.99335386216288,179.44140388189592,False,6.723210199805928,True,False
8,1970-07-23 09:59:47.405090724,2025-09-10,2025-09-26 15:39:00.509,HA,C,2503008640,JASSM,3,116,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-179893.48474295562,-4778271.764619674,4211390.067839146,-2.36693,-0.400752,0.381098,81.875,-34.5,-35.5,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.56249133572448,-92.15606653199607,9999.99886165208,119.80439440098796,-0.003312237036739,0.0024978528755189,,9225.216264497592,11151.327114366952,150,8,2025-09-10,2025-09-26 15:39:00.407,HA,C,2460119324,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-141248.39685081027,-4794441.952192002,4194193.9035932375,2.37428,2.66181,-0.457882,-88.7386,47.5253,50.6295,-0.270734,-7.44366,6.67823,0.00433284,0.00780743,-0.00551046,4,0,41.35793212431967,-91.6874949995468,9195.122760748423,-53.85848699107201,-0.0553659019959871,-1.4501641340437794,195.954,9225.216264497592,11151.327114366952,150,True,24.35476559711371,False,173.0905278140398,179.44597677170827,False,6.62739592047054,True,False
