Subject_cm,Timestamp,SampleDate_cm,SampleTime_cm,Configuration_cm,Scenario_cm,DisTime_cm,MarkingTxt_cm,Application_cm,EntId_cm,Site_cm,ExerciseId_cm,ForceId_cm,Category_cm,Country_cm,Domain_cm,Kind_cm,Extra_cm,Specific_cm,Subcategory_cm,AltCategory_cm,AltCountry_cm,AltDomain_cm,AltKind_cm,ECEF_X_cm,ECEF_Y_cm,ECEF_Z_cm,OriPhi_cm,OriPsi_cm,OriTheta_cm,LinVelX_cm,LinVelY_cm,LinVelZ_cm,LinAccX_cm,LinAccY_cm,LinAccZ_cm,AngVelX_cm,AngVelY_cm,AngVelZ_cm,DrAlg_cm,Appearance_cm,Latitude_cm,Longitude_cm,Altitude_cm,Heading_cm,Pitch_cm,Roll_cm,CalibratedAirspeed_cm,CM_Altitude_Lead_cm,CM_Altitude_Wing_cm,CM_Airspeed_cm,Subject_ac,SampleDate_ac,SampleTime_ac,Configuration_ac,Scenario_ac,DisTime_ac,MarkingTxt_ac,Application_ac,EntId_ac,Site_ac,ExerciseId_ac,ForceId_ac,Category_ac,Country_ac,Domain_ac,Kind_ac,Extra_ac,Specific_ac,Subcategory_ac,AltCategory_ac,AltCountry_ac,AltDomain_ac,AltKind_ac,ECEF_X_ac,ECEF_Y_ac,ECEF_Z_ac,OriPhi_ac,OriPsi_ac,OriTheta_ac,LinVelX_ac,LinVelY_ac,LinVelZ_ac,LinAccX_ac,LinAccY_ac,LinAccZ_ac,AngVelX_ac,AngVelY_ac,AngVelZ_ac,DrAlg_ac,Appearance_ac,Latitude_ac,Longitude_ac,Altitude_ac,Heading_ac,Pitch_ac,Roll_ac,CalibratedAirspeed_ac,CM_Altitude_Lead_ac,CM_Altitude_Wing_ac,CM_Airspeed_ac,Bank_Angle_Condition,distance_nm,Distance_Condition,angle_between_vel,angle_between_pos,Cone_Condition,angle_between_pos_nose,Nose_Cone_Condition,Intercept_Criteria
8,1970-07-23 09:59:40.827525229,2025-09-10,2025-09-26 15:28:02.752,HH,C,1717506844,JASSM,3,102,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-163288.33728201812,-4785310.737275924,4204116.958464146,-2.36559,-0.397301,0.382249,71.625,-29.875,-31.125,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.475071710684894,-91.95433576794812,9999.9994424515,119.85317275073672,-0.004326041146724,0.0050463296509559,,9001.267247400965,11068.098492074974,150,8,2025-09-10,2025-09-26 15:28:02.749,HH,C,1675523814,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-142229.51215960126,-4794012.396198385,4194553.341867102,2.28758,2.65957,-0.451325,-80.9251,44.6525,43.446,-0.180115,-7.19707,6.77317,-0.00975487,-0.00275783,-0.00690653,4,0,41.36274133524169,-91.69936170331,8988.447088552784,-54.03510278073567,-0.4002271762477971,-6.472060720186975,178.907,9001.267247400965,11068.098492074974,150,True,13.296945478272741,False,173.37902371125344,179.06853694150277,False,6.355225089126024,True,False
8,1970-07-23 09:59:40.831046845,2025-09-10,2025-09-26 15:28:03.104,HH,C,1718759542,JASSM,3,102,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-163213.17126639312,-4785342.286104049,4204084.188932896,-2.36559,-0.397301,0.382249,71.625,-29.875,-31.125,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.474678091468014,-91.95342396310473,10000.002573782367,119.85377663147536,-0.0035375929318859,0.0050450122355682,,9001.267247400965,11068.098492074974,150,8,2025-09-10,2025-09-26 15:28:03.147,HH,C,1676001014,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-142261.96348471282,-4793994.466399696,4194570.592158707,2.28575,2.66254,-0.448826,-81.2969,44.5249,43.2728,-0.144808,-7.01003,6.85693,-0.0057955,0.0130734,-0.00666727,4,0,41.36295872827783,-91.6997555585402,8984.085828942087,-54.245336070877535,-0.4016688983114822,-6.501258262490165,179.334,9001.267247400965,11068.098492074974,150,True,13.227826261388012,False,173.59441962997073,179.06715255397333,False,6.159780345823284,True,False
8,1970-07-23 09:59:40.841062260,2025-09-10,2025-09-26 15:28:04.106,HH,C,1719952588,JASSM,3,102,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-163141.58484061187,-4785372.331025924,4204052.977995396,-2.36559,-0.397301,0.382249,71.625,-29.875,-31.125,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.47430320610265,-91.95255559150024,10000.001339064927,119.85435174236228,-0.0027866906455679,0.0050437533889035,,9001.267247400965,11068.098492074974,150,8,2025-09-10,2025-09-26 15:28:04.115,HH,C,1677154246,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-142341.02114127716,-4793951.266920102,4194612.073571164,2.27802,2.67041,-0.441295,-82.2191,44.049,43.0275,-0.160024,-7.24052,6.9625,-0.00744749,-0.00100805,-0.000631461,4,0,41.363481802835786,-91.70071490661132,8973.469726867152,-54.83732662348376,-0.4428579620981883,-6.746204184479483,179.872,9001.267247400965,11068.098492074974,150,True,13.129747296194406,False,174.14065952189358,179.0673585500649,False,5.644101695378843,True,False
8,1970-07-23 09:59:40.860311393,2025-09-10,2025-09-26 15:28:06.031,HH,C,1721264940,JASSM,3,102,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-163062.83923514312,-4785405.379854049,4204018.644011021,-2.36559,-0.397301,0.382249,71.625,-29.875,-31.125,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.47389081503045,-91.95160038810846,9999.998408075358,119.85498435584353,-0.0019606892907804,0.0050423626308651,,9001.267247400965,11068.098492074974,150,8,2025-09-10,2025-09-26 15:28:05.947,HH,C,1679341410,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-142493.2229335025,-4793870.837326371,4194689.868920976,2.27107,2.68741,-0.430831,-83.9582,43.1705,42.2508,0.0262285,-7.29236,6.79815,0.011798,0.00698976,-0.00748494,4,0,41.36445858030481,-91.70256091756424,8955.308381458228,-55.89345760486708,-0.2784563376761212,-6.726153452681619,181.07,9001.267247400965,11068.098492074974,150,True,12.979014024646608,False,175.22588690789695,179.066733694514,False,4.6452162368162915,True,False
8,1970-07-23 09:59:40.863044865,2025-09-10,2025-09-26 15:28:06.304,HH,C,1722517638,JASSM,3,102,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-162987.67321951812,-4785436.926729049,4203985.870573521,-2.36559,-0.397301,0.382249,71.625,-29.875,-31.125,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.47349715934537,-91.9506886171591,10000.000153293864,119.85558820000016,-0.0011722341109873,0.0050410320702084,,9001.267247400965,11068.098492074974,150,8,2025-09-10,2025-09-26 15:28:06.315,HH,C,1679778842,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-142523.56396569993,-4793855.423250672,4194704.822780116,2.26842,2.6919,-0.428201,-84.3257,42.9144,42.0638,-0.105049,-7.34171,6.91306,-0.00470527,0.00930962,-0.0178172,4,0,41.36464586768568,-91.70292870215332,8952.012432588393,-56.16718573268863,-0.2279933762899479,-6.769359274384625,181.192,9001.267247400965,11068.098492074974,150,True,12.911819589054726,False,175.4854912009335,179.06313923344206,False,4.403253308342733,True,False
8,1970-07-23 09:59:40.873061781,2025-09-10,2025-09-26 15:28:07.306,HH,C,1723770338,JASSM,3,102,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-162912.50720389312,-4785468.471650924,4203953.097136021,-2.36559,-0.397205,0.382249,71.625,-29.875,-31.125,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.473103508040666,-91.94977685803778,10000.001066756951,119.8525541499154,-0.0039534405663717,0.0029908492527381,,9001.267247400965,11068.098492074974,150,8,2025-09-10,2025-09-26 15:28:07.181,HH,C,1680812776,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-142597.0106279783,-4793818.29919718,4194740.97406932,2.26445,2.69858,-0.423377,-85.1246,42.2689,41.8507,-0.112726,-7.4917,6.96458,-0.00066475,0.00747662,-0.00514635,4,0,41.36509778615711,-91.70381894195582,8944.39852973509,-56.61113948737668,-0.1888417478076093,-6.837590056665838,181.644,9001.267247400965,11068.098492074974,150,True,12.816332913403336,False,176.03740610405262,179.05903797490893,False,3.8681146670014033,True,False
8,1970-07-23 09:59:40.894059274,2025-09-10,2025-09-26 15:28:09.405,HH,C,1726216494,JASSM,3,102,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-162765.72937186187,-4785530.067354049,4203889.095182896,-2.36559,-0.397205,0.382345,71.625,-29.875,-31.125,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.47233478128522,-91.94799648485451,9999.997681463452,119.85758062019276,-0.0063346047843581,0.0029878634909138,,9001.267247400965,11068.098492074974,150,8,2025-09-10,2025-09-26 15:28:09.581,HH,C,1683675972,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-142804.03829654603,-4793718.992104227,4194838.947097447,2.25632,2.72261,-0.409476,-87.2937,40.4155,40.7747,-0.12853,-7.39988,6.98156,0.0104914,-0.00339865,-0.0126968,4,0,41.36631333444136,-91.7063264755079,8927.575182906476,-58.07324649044065,0.1074603468987363,-6.744937527933803,182.707,9001.267247400965,11068.098492074974,150,True,12.589936707700597,False,177.6780543744115,179.0461521921716,False,2.348733618693617,True,False
8,1970-07-23 09:59:40.904019971,2025-09-10,2025-09-26 15:28:10.401,HH,C,1727409128,JASSM,3,102,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-162694.16736014312,-4785560.098604049,4203857.890104771,-2.36559,-0.397205,0.382345,71.625,-29.875,-31.125,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.47195997080169,-91.94712847331922,10000.00011493792,119.8581554660742,-0.005583953278309,0.0029865968324021,,9001.267247400965,11068.098492074974,150,8,2025-09-10,2025-09-26 15:28:10.290,HH,C,1684511072,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-142865.20065130896,-4793690.830695333,4194867.118514534,2.26472,2.72862,-0.407136,-87.7987,39.9252,40.4604,-0.139437,-7.37751,6.82396,0.0285926,0.00392088,-0.0130464,4,0,41.36666021701421,-91.70706687796324,8923.832201945655,-58.394087922006825,0.2314064859490427,-6.128137367771821,183.037,9001.267247400965,11068.098492074974,150,True,12.505711970799558,False,178.09565043613728,179.04033826812127,False,1.9892698235427286,True,False
8,1970-07-23 09:59:40.917904445,2025-09-10,2025-09-26 15:28:11.790,HH,C,1725023448,JASSM,3,102,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-162837.31628592435,-4785500.026338424,4203920.310026646,-2.36559,-0.397205,0.382249,71.625,-29.875,-31.125,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.472709704168125,-91.9488648081692,9999.998151405538,119.85315816945206,-0.0031647232282162,0.0029894648851583,,9001.267247400965,11068.098492074974,150,8,2025-09-10,2025-09-26 15:28:11.914,HH,C,1686459636,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-143009.6462188919,-4793626.138288689,4194932.537496492,2.30283,2.73016,-0.409846,-88.851,39.1879,40.0031,-0.0688906,-7.3881,6.94595,0.0398028,0.00141793,0.00114537,4,0,41.36746111118772,-91.70881485289674,8917.059277665874,-58.34554268148175,0.4010772306368519,-3.908876270963861,183.966,9001.267247400965,11068.098492074974,150,True,12.503602053644933,False,178.8007204783635,179.04094146269168,False,1.4454864688374178,True,False
8,1970-07-23 09:59:40.917951375,2025-09-10,2025-09-26 15:28:11.795,HH,C,1728542524,JASSM,3,102,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-162626.16003592435,-4785588.635713424,4203828.235807896,-2.36559,-0.397205,0.382345,71.625,-29.875,-31.125,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.47160379140714,-91.94630358861566,10000.001455214422,119.85870174699131,-0.0048705989461139,0.0029854094264147,,9001.267247400965,11068.098492074974,150,8,2025-09-10,2025-09-26 15:28:11.914,HH,C,1686459636,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-143009.6462188919,-4793626.138288689,4194932.537496492,2.30283,2.73016,-0.409846,-88.851,39.1879,40.0031,-0.0688906,-7.3881,6.94595,0.0398028,0.00141793,0.00114537,4,0,41.36746111118772,-91.70881485289674,8917.059277665874,-58.34554268148175,0.4010772306368519,-3.908876270963861,183.966,9001.267247400965,11068.098492074974,150,True,12.370868123575049,False,178.8007204783635,179.03072937552093,False,1.4523970652464129,True,False
