Subject_cm,Timestamp,SampleDate_cm,SampleTime_cm,Configuration_cm,Scenario_cm,DisTime_cm,MarkingTxt_cm,Application_cm,EntId_cm,Site_cm,ExerciseId_cm,ForceId_cm,Category_cm,Country_cm,Domain_cm,Kind_cm,Extra_cm,Specific_cm,Subcategory_cm,AltCategory_cm,AltCountry_cm,AltDomain_cm,AltKind_cm,ECEF_X_cm,ECEF_Y_cm,ECEF_Z_cm,OriPhi_cm,OriPsi_cm,OriTheta_cm,LinVelX_cm,LinVelY_cm,LinVelZ_cm,LinAccX_cm,LinAccY_cm,LinAccZ_cm,AngVelX_cm,AngVelY_cm,AngVelZ_cm,DrAlg_cm,Appearance_cm,Latitude_cm,Longitude_cm,Altitude_cm,Heading_cm,Pitch_cm,Roll_cm,CalibratedAirspeed_cm,CM_Altitude_Lead_cm,CM_Altitude_Wing_cm,CM_Airspeed_cm,Subject_ac,SampleDate_ac,SampleTime_ac,Configuration_ac,Scenario_ac,DisTime_ac,MarkingTxt_ac,Application_ac,EntId_ac,Site_ac,ExerciseId_ac,ForceId_ac,Category_ac,Country_ac,Domain_ac,Kind_ac,Extra_ac,Specific_ac,Subcategory_ac,AltCategory_ac,AltCountry_ac,AltDomain_ac,AltKind_ac,ECEF_X_ac,ECEF_Y_ac,ECEF_Z_ac,OriPhi_ac,OriPsi_ac,OriTheta_ac,LinVelX_ac,LinVelY_ac,LinVelZ_ac,LinAccX_ac,LinAccY_ac,LinAccZ_ac,AngVelX_ac,AngVelY_ac,AngVelZ_ac,DrAlg_ac,Appearance_ac,Latitude_ac,Longitude_ac,Altitude_ac,Heading_ac,Pitch_ac,Roll_ac,CalibratedAirspeed_ac,CM_Altitude_Lead_ac,CM_Altitude_Wing_ac,CM_Airspeed_ac,Bank_Angle_Condition,distance_nm,Distance_Condition,angle_between_vel,angle_between_pos,Cone_Condition,angle_between_pos_nose,Nose_Cone_Condition,Intercept_Criteria
8,1970-07-23 09:59:40.827524547,2025-09-10,2025-09-26 15:28:02.752,HH,C,1717506844,JASSM,3,101,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-155732.92907889312,-4777172.139619674,4213584.940886021,-2.71093,-1.01118,0.751842,36.625,-58.375,-64.375,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.58889573325283,-91.86714660724296,9999.996336631166,155.93831063934394,-0.0041864755016879,-0.000656747529228,,9001.267247400965,11068.098492074974,150,8,2025-09-10,2025-09-26 15:28:03.002,HH,C,998606348,HAWK11,1,1,73,2,1,1,225,2,1,0,0,12,1,225,2,1,-142488.38903983062,-4793423.066377486,4196180.495573521,2.31574,2.84716,-0.422228,-83.25,30.875,38.375,-0.03125,-6.29688,6.3125,-0.00390625,0.00390625,0.00390625,4,0,41.377189126229474,-91.70266213779244,11085.267353038793,-62.145687848421616,5.267149298468668,-0.6568918277183728,172.149,9001.267247400965,11068.098492074974,150,True,14.691325880380582,False,143.38468265999916,173.72482761490997,False,30.443144330629693,False,False
8,1970-07-23 09:59:40.831046162,2025-09-10,2025-09-26 15:28:03.104,HH,C,1718699890,JASSM,3,101,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-155696.29040701812,-4777230.643525924,4213520.401823521,-2.71093,-1.01118,0.751842,36.625,-58.375,-64.375,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.58811916250466,-91.86668479756264,10000.001047656897,155.93861717770133,-0.0033365560500271,-0.0006579798007181,,9001.267247400965,11068.098492074974,150,8,2025-09-10,2025-09-26 15:28:03.002,HH,C,998606348,HAWK11,1,1,73,2,1,1,225,2,1,0,0,12,1,225,2,1,-142488.38903983062,-4793423.066377486,4196180.495573521,2.31574,2.84716,-0.422228,-83.25,30.875,38.375,-0.03125,-6.29688,6.3125,-0.00390625,0.00390625,0.00390625,4,0,41.377189126229474,-91.70266213779244,11085.267353038793,-62.145687848421616,5.267149298468668,-0.6568918277183728,172.149,9001.267247400965,11068.098492074974,150,True,14.640672842693025,False,143.38468265999916,173.70288644909976,False,30.4216314921141,False,False
8,1970-07-23 09:59:40.841061631,2025-09-10,2025-09-26 15:28:04.106,HH,C,1719892936,JASSM,3,101,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-155659.65173514312,-4777289.145479049,4213455.858854771,-2.71093,-1.01118,0.751842,36.625,-58.375,-64.375,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.587342575164485,-91.86622299971296,9999.9970609881,155.93892370350642,-0.0024866233552167,-0.0006592185759713,,9001.267247400965,11068.098492074974,150,8,2025-09-10,2025-09-26 15:28:03.394,HH,C,999083548,HAWK11,1,1,73,2,1,1,225,2,1,0,0,12,1,225,2,1,-142521.31091483062,-4793410.735322799,4196195.589323521,2.31286,2.84371,-0.420598,-83.125,31.125,38.125,-0.09375,-6.375,6.34375,0.0,-0.0078125,0.0,4,0,41.37735855244104,-91.70305968395948,11090.065499810957,-62.08966097672248,5.072189117933412,-0.8975232854844043,171.929,9001.267247400965,11068.098492074974,150,True,14.572263918893766,False,143.4214323323902,173.72103840640096,False,30.396902532994822,False,False
8,1970-07-23 09:59:40.852351474,2025-09-10,2025-09-26 15:28:05.235,HH,C,1721085982,JASSM,3,101,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-155623.01306326812,-4777347.647432174,4213391.319792271,-2.71083,-1.01118,0.751842,36.625,-58.375,-64.375,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.58656601215773,-91.86576121293083,10000.006180075548,155.93923021726513,-0.0016367145540849,0.0048446858225608,,9001.267247400965,11068.098492074974,150,8,2025-09-10,2025-09-26 15:28:05.502,HH,C,1001668378,HAWK11,1,1,73,2,1,1,225,2,1,0,0,12,1,225,2,1,-142702.17224295562,-4793342.252900924,4196277.901823521,2.32571,2.82981,-0.418393,-82.75,31.75,37.5,-0.015625,-6.4375,6.5,0.0,-0.00390625,0.00195312,4,0,41.378289593659616,-91.70524396092144,11113.300468054926,-61.67995022602198,4.459860552536783,-0.4517430668171295,171.489,9001.267247400965,11068.098492074974,150,True,14.424147871955038,False,143.52827255120513,173.92243557433153,False,30.478493258972982,False,False
8,1970-07-23 09:59:40.860066264,2025-09-10,2025-09-26 15:28:06.006,HH,C,1722219378,JASSM,3,101,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-155588.20642264312,-4777403.221650924,4213330.003386021,-2.71083,-1.01118,0.751842,36.625,-58.375,-64.375,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.58582826228609,-91.86532252793756,10000.003286910263,155.9395213927196,-0.000829289703955,0.0048435122541003,,9001.267247400965,11068.098492074974,150,8,2025-09-10,2025-09-26 15:28:06.002,HH,C,1002185344,HAWK11,1,1,73,2,1,1,225,2,1,0,0,12,1,225,2,1,-142737.54138358062,-4793328.758760299,4196293.921354771,2.32628,2.82741,-0.417435,-82.75,32.125,37.125,-0.1875,-6.46875,6.46875,0.0078125,-0.0136719,0.0,4,0,41.37847174448144,-91.7056711598126,11117.428562184488,-61.6330266933277,4.331564290683098,-0.4709057730197539,171.623,9001.267247400965,11068.098492074974,150,True,14.356965486792445,False,143.5212455625555,173.9460432878966,False,30.500375342566407,False,False
8,1970-07-23 09:59:40.870061371,2025-09-10,2025-09-26 15:28:07.006,HH,C,1723352806,JASSM,3,101,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-155553.39880545562,-4777458.797822799,4213268.683073521,-2.71083,-1.01118,0.751842,36.625,-58.375,-64.375,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.585090472881234,-91.86488384047026,10000.000750620597,155.93981256557464,-2.1826466415513112e-05,0.0048423317845488,,9001.267247400965,11068.098492074974,150,8,2025-09-10,2025-09-26 15:28:06.891,HH,C,1003259042,HAWK11,1,1,73,2,1,1,225,2,1,0,0,12,1,225,2,1,-142813.26013358062,-4793299.396455611,4196328.017057896,2.33434,2.81457,-0.414079,-82.75,32.5,37.0,0.03125,-6.60938,6.67188,0.00390625,0.00195312,0.0078125,4,0,41.3788631628956,-91.7065858892225,11124.671061399167,-61.304493769956245,3.713800396058693,-0.2837090369206561,171.526,9001.267247400965,11068.098492074974,150,True,14.267994483211286,False,143.6056762942005,174.02060430280986,False,30.485935736518428,False,False
8,1970-07-23 09:59:40.880702641,2025-09-10,2025-09-26 15:28:08.070,HH,C,1724545818,JASSM,3,101,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-155516.76111014312,-4777517.293916549,4213204.140104771,-2.71083,-1.01118,0.751842,36.625,-58.375,-64.375,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.5843139126891,-91.86442209976616,10000.000407720934,155.9401190351208,0.0008280706441187,0.0048410975745172,,9001.267247400965,11068.098492074974,150,8,2025-09-10,2025-09-26 15:28:08.001,HH,C,1004611108,HAWK11,1,1,73,2,1,1,225,2,1,0,0,12,1,225,2,1,-142906.37146170562,-4793262.500947799,4196370.005339146,2.34718,2.80709,-0.413024,-82.625,33.0,36.875,-0.265625,-6.51562,6.34375,0.0,-0.00195312,-0.00390625,4,0,41.37934957995211,-91.70771102674436,11131.773777884717,-61.07509821320886,3.391016381425381,0.2944384963645722,171.354,9001.267247400965,11068.098492074974,150,True,14.166880212165083,False,143.77017474073048,174.11665243747305,False,30.41186154715013,False,False
8,1970-07-23 09:59:40.890022088,2025-09-10,2025-09-26 15:28:09.002,HH,C,1725739144,JASSM,3,101,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-155480.11364920562,-4777575.805635299,4213139.577604771,-2.71083,-1.01118,0.751938,36.625,-58.375,-64.375,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.58353712768223,-91.86396024704328,9999.999678270447,155.94271818516023,-0.0033118012491996,0.0048398238758689,,9001.267247400965,11068.098492074974,150,8,2025-09-10,2025-09-26 15:28:08.892,HH,C,1005684806,HAWK11,1,1,73,2,1,1,225,2,1,0,0,12,1,225,2,1,-142981.04333670562,-4793232.788057174,4196403.405729771,2.34968,2.81006,-0.418873,-82.625,33.25,37.0,-0.296875,-7.09375,7.10938,0.00390625,0.00390625,0.0078125,4,0,41.379738556767656,-91.70861340158416,11136.577670743183,-60.94351568770609,3.736966073561689,0.5142698656199107,171.745,9001.267247400965,11068.098492074974,150,True,14.075821490774361,False,143.90319463749262,174.19063776371783,False,30.352818921345726,False,False
8,1970-07-23 09:59:40.899023225,2025-09-10,2025-09-26 15:28:09.902,HH,C,1726872538,JASSM,3,101,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-155445.30700858062,-4777631.375947799,4213078.257292271,-2.71083,-1.01109,0.751938,36.625,-58.375,-64.375,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.58279936757501,-91.86352160457356,9999.995739157772,155.93936483453476,-0.0041789388007374,0.0010879117833098,,9001.267247400965,11068.098492074974,150,8,2025-09-10,2025-09-26 15:28:10.002,HH,C,1006877806,HAWK11,1,1,73,2,1,1,225,2,1,0,0,12,1,225,2,1,-143063.73083670562,-4793200.121064986,4196440.591276646,2.34498,2.79549,-0.416763,-82.5,33.375,36.875,-0.078125,-6.34375,6.1875,-0.0078125,-0.0195312,0.00390625,4,0,41.38016922896305,-91.70961256966612,11142.914391466957,-60.49723538692632,3.1070076447411394,-0.0670309005606448,171.098,9001.267247400965,11068.098492074974,150,True,13.983013284078423,False,143.93734535046133,174.2768637469978,False,30.40393108573485,False,False
8,1970-07-23 09:59:40.910022875,2025-09-10,2025-09-26 15:28:11.002,HH,C,1728184610,JASSM,3,101,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-155405.01208670562,-4777695.707979049,4213007.272917271,-2.71083,-1.01109,0.751938,36.625,-58.375,-64.375,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.58194531201893,-91.86301381002494,10000.005596437548,155.93970185589163,-0.003244229761686,0.0010865429964408,,9001.267247400965,11068.098492074974,150,8,2025-09-10,2025-09-26 15:28:10.799,HH,C,1007991272,HAWK11,1,1,73,2,1,1,225,2,1,0,0,12,1,225,2,1,-143140.85778983062,-4793168.802705611,4196475.165495396,2.34335,2.79022,-0.418969,-82.5,34.125,36.5,-0.1875,-6.57812,6.46875,-0.0136719,0.00390625,-0.00585938,4,0,41.38057522735011,-91.710544859799,11146.502245159576,-60.21383377658646,2.999312188583701,-0.2678991561294472,171.44,9001.267247400965,11068.098492074974,150,True,13.885409243266194,False,144.04988099266308,174.35353286694246,False,30.357195398397465,False,False
