Unnamed: 0_cm,Subject_cm,Timestamp,SampleDate_cm,SampleTime_cm,Configuration_cm,Scenario_cm,DisTime_cm,MarkingTxt_cm,Application_cm,EntId_cm,Site_cm,ExerciseId_cm,ForceId_cm,Category_cm,Country_cm,Domain_cm,Kind_cm,Extra_cm,Specific_cm,Subcategory_cm,AltCategory_cm,AltCountry_cm,AltDomain_cm,AltKind_cm,ECEF_X_cm,ECEF_Y_cm,ECEF_Z_cm,OriPhi_cm,OriPsi_cm,OriTheta_cm,LinVelX_cm,LinVelY_cm,LinVelZ_cm,LinAccX_cm,LinAccY_cm,LinAccZ_cm,AngVelX_cm,AngVelY_cm,AngVelZ_cm,DrAlg_cm,Appearance_cm,Latitude_cm,Longitude_cm,Altitude_cm,Heading_cm,Pitch_cm,Roll_cm,CalibratedAirspeed_cm,CM_Altitude_Lead_cm,CM_Altitude_Wing_cm,CM_Airspeed_cm,Unnamed: 0_ac,Subject_ac,SampleDate_ac,SampleTime_ac,Configuration_ac,Scenario_ac,DisTime_ac,MarkingTxt_ac,Application_ac,EntId_ac,Site_ac,ExerciseId_ac,ForceId_ac,Category_ac,Country_ac,Domain_ac,Kind_ac,Extra_ac,Specific_ac,Subcategory_ac,AltCategory_ac,AltCountry_ac,AltDomain_ac,AltKind_ac,ECEF_X_ac,ECEF_Y_ac,ECEF_Z_ac,OriPhi_ac,OriPsi_ac,OriTheta_ac,LinVelX_ac,LinVelY_ac,LinVelZ_ac,LinAccX_ac,LinAccY_ac,LinAccZ_ac,AngVelX_ac,AngVelY_ac,AngVelZ_ac,DrAlg_ac,Appearance_ac,Latitude_ac,Longitude_ac,Altitude_ac,Heading_ac,Pitch_ac,Roll_ac,CalibratedAirspeed_ac,CM_Altitude_Lead_ac,CM_Altitude_Wing_ac,CM_Airspeed_ac,Bank_Angle_Condition,distance_nm,Distance_Condition,angle_between_vel,angle_between_pos,Cone_Condition,angle_between_pos_nose,Nose_Cone_Condition,Intercept_Criteria
14020,8,1970-07-23 10:02:00.863649727,2025-09-10,2025-09-12 19:21:26.364,AA,C,2071007010,JASSM,3,118,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-180633.25915701807,-4777958.184541549,4211711.999479771,-2.36693,-0.400848,0.381002,82.0,-34.625,-35.625,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.56636351899524,-92.16506643623778,9999.99749186536,119.79822560833956,-0.0035874874708438,0.0045541911828652,,9258.460327898714,10912.736076441255,150,14022,8,2025-09-10,2025-09-12 19:21:26.458,AA,C,1202365760,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-136651.1201989081,-4793951.876749931,4194931.343522387,2.44935,2.70862,-0.438107,-95.6628,37.3682,40.4586,-0.313911,-7.37356,6.5926,-0.0994722,0.0026434,0.00693982,4,0,41.36661909602214,-91.63276835325918,9259.692763454284,-56.36219267161037,0.7395510582661572,3.9673523256017,0.0,9258.460327898714,10912.736076441255,150,True,26.732540747625517,False,178.5212586306179,176.57190913805044,False,2.181147557052083,True,False
14034,8,1970-07-23 10:02:00.873144220,2025-09-10,2025-09-12 19:21:27.314,AA,C,2072319362,JASSM,3,118,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-180542.96325858065,-4777996.465791549,4211672.708464146,-2.36693,-0.400848,0.381002,82.0,-34.625,-35.625,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.56589091083404,-92.1639678593586,9999.999638316463,119.79895449661656,-0.0026393583037997,0.0045525399533467,,9258.460327898714,10912.736076441255,150,14032,8,2025-09-10,2025-09-12 19:21:27.292,AA,C,1203359924,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-136731.63052180706,-4793920.06269609,4194965.510325161,2.35538,2.70342,-0.437703,-95.5888,37.6661,40.6689,-0.244262,-7.22248,6.52535,-0.0869241,0.00628444,0.00484258,4,0,41.367025378141925,-91.63374064132,9261.122111750294,-56.1832407500769,0.5376132262124296,-1.5414226164479183,0.0,9258.460327898714,10912.736076441255,150,True,26.62595773193465,False,178.69436077838432,176.56016571159205,False,2.362342465245424,True,False
14047,8,1970-07-23 10:02:00.884140690,2025-09-10,2025-09-12 19:21:28.414,AA,C,2073631714,JASSM,3,118,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-180452.66638358065,-4778034.745088424,4211633.417448521,-2.36693,-0.400848,0.381098,82.0,-34.625,-35.625,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.565418304012105,-92.16286928768056,10000.00263937828,119.80352539541556,-0.0056172818052337,0.0045506579621164,,9258.460327898714,10912.736076441255,150,14049,8,2025-09-10,2025-09-12 19:21:28.625,AA,C,1204950590,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-136858.68232346338,-4793870.031728987,4195019.313845735,2.29157,2.71318,-0.429944,-95.9232,37.3355,40.4011,-0.151946,-7.22081,6.48614,-0.0401732,-0.00127853,-0.0031365,4,0,41.36766469858628,-91.6352749554759,9263.567319640735,-56.85812970425055,0.5670058586629177,-4.96850815939007,0.0,9258.460327898714,10912.736076441255,150,True,26.490554084272613,False,178.44149408376794,176.54603015407227,False,2.1107035584490244,True,False
14061,8,1970-07-23 10:02:00.895119122,2025-09-10,2025-09-12 19:21:29.511,AA,C,2074944064,JASSM,3,118,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-180362.36950858065,-4778073.022432174,4211594.124479771,-2.36693,-0.400848,0.381098,82.0,-34.625,-35.625,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.564945685158285,-92.16177073289664,10000.00233406763,119.80425425552473,-0.0046691510859646,0.0045490829145642,,9258.460327898714,10912.736076441255,150,14059,8,2025-09-10,2025-09-12 19:21:29.425,AA,C,1205904988,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-136935.54371996384,-4793839.928224136,4195051.370305563,2.29727,2.71355,-0.42785,-96.209,37.2097,39.9079,-0.0343751,-7.28875,6.13057,0.0254259,-3.64104e-05,0.00923472,4,0,41.36804715466988,-91.63620311454922,9264.385775255669,-56.9556622931001,0.4944224713321379,-4.63427269334796,0.0,9258.460327898714,10912.736076441255,150,True,26.38638310880759,False,178.24385919176612,176.53486548834303,False,1.8289954603934615,True,False
14074,8,1970-07-23 10:02:00.906125792,2025-09-10,2025-09-12 19:21:30.612,AA,C,2076196762,JASSM,3,118,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-180276.17712576807,-4778109.557588424,4211556.616667271,-2.36693,-0.400848,0.381098,82.0,-34.625,-35.625,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.564494546927314,-92.1607221294627,9999.999807155353,119.80494996797292,-0.0037641223763184,0.0045475853803846,,9258.460327898714,10912.736076441255,150,14072,8,2025-09-10,2025-09-12 19:21:30.591,AA,C,1207296820,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-137048.7116666867,-4793796.180685013,4195097.793435257,2.31794,2.71687,-0.424928,-96.5954,37.1514,39.2755,-0.134678,-6.91586,6.34671,0.0143114,0.00267044,-0.0161714,4,0,41.36860159313809,-91.63756952555164,9265.333419829554,-57.19756203216641,0.4946750029124307,-3.3730449669466727,0.0,9258.460327898714,10912.736076441255,150,True,26.262575013670762,False,177.98738001785526,176.5232243287597,False,1.4950537005799334,True,False
14087,8,1970-07-23 10:02:00.917140259,2025-09-10,2025-09-12 19:21:31.714,AA,C,2077509116,JASSM,3,118,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-180185.88122733065,-4778147.832979049,4211517.321745396,-2.36693,-0.400848,0.381098,82.0,-34.625,-35.625,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.56402190576685,-92.15962361854808,10000.001761108677,119.80567878567392,-0.002815998815489,0.0045460040762893,,9258.460327898714,10912.736076441255,150,14088,8,2025-09-10,2025-09-12 19:21:31.825,AA,C,1208768186,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-137167.3602750587,-4793750.386409049,4195145.486554125,2.31706,2.71621,-0.423386,-96.9137,37.1576,38.73,-0.147169,-6.99647,6.45008,-0.00737675,0.00453882,-0.00141793,4,0,41.36917583013554,-91.6390021112893,9264.392117602323,-57.23467708254104,0.4081574773911385,-3.4391547199805084,0.0,9258.460327898714,10912.736076441255,150,True,26.133004361600715,False,177.76117798684726,176.5116317487966,False,1.2496344190843522,True,False
14101,8,1970-07-23 10:02:00.928107511,2025-09-10,2025-09-12 19:21:32.810,AA,C,2078881118,JASSM,3,118,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-180091.47986014312,-4778187.846650924,4211476.237761021,-2.36693,-0.400848,0.381098,82.0,-34.625,-35.625,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.56352775918226,-92.15847517983116,9999.999755064842,119.80644072118136,-0.0018247652553905,0.0045443464472799,,9258.460327898714,10912.736076441255,150,14102,8,2025-09-10,2025-09-12 19:21:32.991,AA,C,1210160018,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-137281.265727807,-4793706.690146997,4195190.618039615,2.30254,2.71904,-0.42114,-97.329,37.1387,38.1937,0.00783616,-6.97185,6.3907,-0.0126615,-0.00506313,-0.00852524,4,0,41.36972108073294,-91.6403773596668,9262.734933624335,-57.43147013998391,0.4189575721358949,-4.206234668103583,0.0,9258.460327898714,10912.736076441255,150,True,26.003938515685697,False,177.484831123549,176.50039015965044,False,1.0111061860959858,True,False
14114,8,1970-07-23 10:02:00.939124713,2025-09-10,2025-09-12 19:21:33.912,AA,C,2080193468,JASSM,3,118,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-180001.18298514312,-4778226.118135299,4211436.940886021,-2.36693,-0.400752,0.381098,82.0,-34.625,-35.625,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.56305510685132,-92.15737669173454,9999.999517947295,119.8035251882088,-0.0044430871415274,0.0024998122985492,,9258.460327898714,10912.736076441255,150,14111,8,2025-09-10,2025-09-12 19:21:33.758,AA,C,1211074650,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-137355.92793736322,-4793678.227217171,4195219.64261957,2.2935,2.71763,-0.416626,-97.6249,37.1199,37.7653,-0.134173,-6.81115,6.3159,-0.0246686,-0.000481658,0.00160102,4,0,41.37007363769354,-91.64127875235611,9260.883739277477,-57.557904238411446,0.1820209528533692,-4.757567573675485,0.0,9258.460327898714,10912.736076441255,150,True,25.901645247622838,False,177.2622945116589,176.4910221927081,False,0.8721845574716185,True,False
14129,8,1970-07-23 10:02:00.950124322,2025-09-10,2025-09-12 19:21:35.012,AA,C,2081446180,JASSM,3,118,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-179914.98962576812,-4778262.651338424,4211399.427214146,-2.36693,-0.400752,0.381098,82.0,-34.625,-35.625,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.5626039008207,-92.1563281386193,10000.001257057816,119.8042208413838,-0.0035380375024778,0.0024982371126348,,9258.460327898714,10912.736076441255,150,14127,8,2025-09-10,2025-09-12 19:21:34.958,AA,C,1212506248,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-137472.78288841556,-4793633.787490137,4195264.018251937,2.28657,2.72184,-0.410127,-98.2285,37.1791,36.9016,-0.0697273,-7.0082,6.51438,-0.00180075,-0.00653827,-0.0155743,4,0,41.37061767371396,-91.64268951851372,9255.980377162125,-57.97628919983544,0.0680168625428905,-5.058290988284667,0.0,9258.460327898714,10912.736076441255,150,True,25.776333716886437,False,176.8197953383235,176.4818574905662,False,0.8354968039702239,True,False
14144,8,1970-07-23 10:02:00.962400864,2025-09-10,2025-09-12 19:21:36.240,AA,C,2082758518,JASSM,3,118,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-179824.69372733062,-4778300.920869674,4211360.128386021,-2.36693,-0.400752,0.381098,82.0,-34.625,-35.625,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.5621312261854,-92.15522969438904,10000.003279054525,119.80494958771838,-0.0025899197508321,0.0024966018487936,,9258.460327898714,10912.736076441255,150,14140,8,2025-09-10,2025-09-12 19:21:36.158,AA,C,1213937848,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-137591.75939719047,-4793589.074419213,4195308.095867733,2.28827,2.72806,-0.404873,-98.8641,36.8526,36.3778,-0.104974,-7.31621,6.59265,2.60074e-05,0.00512138,0.00134094,4,0,41.37116094304668,-91.64412573976006,9249.916980030752,-58.42173233650187,0.0800410375347045,-4.820260833812838,0.0,9258.460327898714,10912.736076441255,150,True,25.64744710120703,False,176.3879451822726,176.47341019775297,False,0.8223566471004194,True,False
