Unnamed: 0_cm,Subject_cm,Timestamp,SampleDate_cm,SampleTime_cm,Configuration_cm,Scenario_cm,DisTime_cm,MarkingTxt_cm,Application_cm,EntId_cm,Site_cm,ExerciseId_cm,ForceId_cm,Category_cm,Country_cm,Domain_cm,Kind_cm,Extra_cm,Specific_cm,Subcategory_cm,AltCategory_cm,AltCountry_cm,AltDomain_cm,AltKind_cm,ECEF_X_cm,ECEF_Y_cm,ECEF_Z_cm,OriPhi_cm,OriPsi_cm,OriTheta_cm,LinVelX_cm,LinVelY_cm,LinVelZ_cm,LinAccX_cm,LinAccY_cm,LinAccZ_cm,AngVelX_cm,AngVelY_cm,AngVelZ_cm,DrAlg_cm,Appearance_cm,Latitude_cm,Longitude_cm,Altitude_cm,Heading_cm,Pitch_cm,Roll_cm,CalibratedAirspeed_cm,CM_Altitude_Lead_cm,CM_Altitude_Wing_cm,CM_Airspeed_cm,Unnamed: 0_ac,Subject_ac,SampleDate_ac,SampleTime_ac,Configuration_ac,Scenario_ac,DisTime_ac,MarkingTxt_ac,Application_ac,EntId_ac,Site_ac,ExerciseId_ac,ForceId_ac,Category_ac,Country_ac,Domain_ac,Kind_ac,Extra_ac,Specific_ac,Subcategory_ac,AltCategory_ac,AltCountry_ac,AltDomain_ac,AltKind_ac,ECEF_X_ac,ECEF_Y_ac,ECEF_Z_ac,OriPhi_ac,OriPsi_ac,OriTheta_ac,LinVelX_ac,LinVelY_ac,LinVelZ_ac,LinAccX_ac,LinAccY_ac,LinAccZ_ac,AngVelX_ac,AngVelY_ac,AngVelZ_ac,DrAlg_ac,Appearance_ac,Latitude_ac,Longitude_ac,Altitude_ac,Heading_ac,Pitch_ac,Roll_ac,CalibratedAirspeed_ac,CM_Altitude_Lead_ac,CM_Altitude_Wing_ac,CM_Airspeed_ac,Bank_Angle_Condition,distance_nm,Distance_Condition,angle_between_vel,angle_between_pos,Cone_Condition,angle_between_pos_nose,Nose_Cone_Condition,Intercept_Criteria
6739,8,1970-07-23 10:01:53.928844125,2025-09-10,2025-09-12 19:09:52.884,HA,C,1243629284,JASSM,3,103,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-172889.54284842435,-4769891.399385299,4221106.765104771,-2.51458,-0.703426,0.607456,60.375,-51.125,-55.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.67946465556436,-92.0758347945794,9999.9975385751,139.83243517403594,-0.0040135080440314,0.0009585008462406,,8802.566937047923,11004.7807189461,150,6731,8,2025-09-10,2025-09-12 19:09:52.538,HA,C,3992009314,HAWK11,1,1,73,2,1,1,225,2,1,0,0,12,1,225,2,1,-148241.79138358062,-4791867.613252486,4197709.792448521,2.50681,2.55561,-0.531141,-85.75,39.375,44.5,-0.140625,-7.48438,6.23438,-0.0292969,0.0,0.0,4,0,41.39572720334494,-91.77194397738572,11004.7807189461,-47.12144583916279,-0.3394662873605305,3.2392388836352173,0.0,8802.566937047923,11004.7807189461,150,True,21.800885525043558,False,163.49236954039355,178.69802988214565,False,17.79889057006577,True,False
6753,8,1970-07-23 10:01:53.939167498,2025-09-10,2025-09-12 19:09:53.916,HA,C,1244881984,JASSM,3,103,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-172826.08386404935,-4769945.231416549,4221048.925261021,-2.51458,-0.703426,0.607456,60.375,-51.125,-55.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.67876771850649,-92.07505012897607,10000.004671060986,139.8329569439431,-0.0031029177101781,0.0009568009189773,,8802.566937047923,11004.7807189461,150,6759,8,2025-09-10,2025-09-12 19:09:54.238,HA,C,3994037412,HAWK11,1,1,73,2,1,1,225,2,1,0,0,12,1,225,2,1,-148386.54724295562,-4791797.585908736,4197783.604948521,2.46808,2.53903,-0.540537,-84.625,41.375,43.125,-0.078125,-7.32812,6.17188,0.0117188,0.0,0.00585938,4,0,41.39661537533454,-91.77369905302726,11003.673553189354,-46.14941133406409,-0.4399653835589962,0.5284259861448926,0.0,8802.566937047923,11004.7807189461,150,True,21.655634333666516,False,164.01846158938997,178.6207767836928,False,17.334059155113305,True,False
6770,8,1970-07-23 10:01:53.949065478,2025-09-10,2025-09-12 19:09:54.906,HA,C,1246194332,JASSM,3,103,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-172759.60339529935,-4770001.622041549,4220988.327604771,-2.51458,-0.703426,0.607456,60.375,-51.125,-55.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.67803759321962,-92.07422812306866,9999.998290327829,139.83350353592076,-0.0021489728626105,0.0009550195431546,,8802.566937047923,11004.7807189461,150,6771,8,2025-09-10,2025-09-12 19:09:54.960,HA,C,3994713444,HAWK11,1,1,73,2,1,1,225,2,1,0,0,12,1,225,2,1,-148433.38513358062,-4791774.379854049,4197808.030729771,2.47086,2.54545,-0.544276,-84.0,41.625,42.75,-0.25,-7.4375,6.1875,0.0136719,-0.00390625,-0.00390625,4,0,41.39690967173105,-91.774267146536,11003.148826964523,-46.25858548477205,-0.0741801194662025,0.8782786933601661,0.0,8802.566937047923,11004.7807189461,150,True,21.568834820952585,False,164.16161944178685,178.59368478462534,False,17.213990794769092,True,False
6784,8,1970-07-23 10:01:53.959183570,2025-09-10,2025-09-12 19:09:55.918,HA,C,1247447032,JASSM,3,103,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-172696.14441092435,-4770055.454072799,4220930.483854771,-2.51448,-0.70333,0.607456,60.375,-51.125,-55.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.67734061876465,-92.0734434921346,10000.007721130294,139.83037393611198,-0.003884002192715,0.0033105114156189,,8802.566937047923,11004.7807189461,150,6781,8,2025-09-10,2025-09-12 19:09:55.832,HA,C,3995866676,HAWK11,1,1,73,2,1,1,225,2,1,0,0,12,1,225,2,1,-148513.84607108062,-4791734.623994674,4197849.759245396,2.47709,2.54066,-0.549069,-83.5,41.625,42.75,-0.15625,-7.26562,5.92188,0.00195312,-0.0136719,0.015625,4,0,41.39741301429672,-91.77524302334892,11002.016910096523,-45.903774030581,-0.008979299175683,1.092441291731017,0.0,8802.566937047923,11004.7807189461,150,True,21.463440353505604,False,164.3229139663172,178.54929873320128,False,17.097496519311413,True,False
6797,8,1970-07-23 10:01:53.970064781,2025-09-10,2025-09-12 19:09:57.006,HA,C,1248759384,JASSM,3,103,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-172629.66394217435,-4770111.844697799,4220869.882292271,-2.51448,-0.70333,0.607456,60.375,-51.125,-55.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.67661045554959,-92.07262152254512,10000.004154106664,139.83092048867735,-0.0029300371596831,0.0033086522432912,,8802.566937047923,11004.7807189461,150,6798,8,2025-09-10,2025-09-12 19:09:57.128,HA,C,3997497108,HAWK11,1,1,73,2,1,1,225,2,1,0,0,12,1,225,2,1,-148626.81677420562,-4791678.165986861,4197908.267057896,2.456,2.53193,-0.555493,-82.75,41.625,42.625,-0.125,-7.46875,6.29688,-0.0136719,-0.00390625,0.00195312,4,0,41.39812297071687,-91.77661345978449,10998.688772184456,-45.34232521457318,0.0101130667700535,-0.3780933072782048,0.0,8802.566937047923,11004.7807189461,150,True,21.334757869123052,False,164.52313679136176,178.4879648425018,False,16.958393595562857,True,False
6814,8,1970-07-23 10:01:53.982766620,2025-09-10,2025-09-12 19:09:58.276,HA,C,1250071734,JASSM,3,103,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-172563.18298514312,-4770168.231416549,4220809.280729771,-2.51448,-0.70333,0.607456,60.375,-51.125,-55.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.67588030982758,-92.07179956737392,9999.9967773472,139.8314670238003,-0.001976087930094,0.003306810547607,,8802.566937047923,11004.7807189461,150,6812,8,2025-09-10,2025-09-12 19:09:58.034,HA,C,3998252674,HAWK11,1,1,73,2,1,1,225,2,1,0,0,12,1,225,2,1,-148678.60193045562,-4791652.180635299,4197935.140104771,2.45849,2.53423,-0.560095,-82.375,41.625,42.25,-0.0625,-7.375,6.28125,0.0351562,0.00976562,-0.00195312,4,0,41.39844939224296,-91.77724170954647,10997.023277741093,-45.26402733621339,0.2860658333878919,-0.1651879332237995,0.0,8802.566937047923,11004.7807189461,150,True,21.244794673408418,False,164.51259018904133,178.45748299161534,False,16.996933800211036,True,False
6825,8,1970-07-23 10:01:53.992786864,2025-09-10,2025-09-12 19:09:59.278,HA,C,1251324434,JASSM,3,103,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-172499.72400076812,-4770222.059541549,4220751.433073521,-2.51448,-0.70333,0.607456,60.375,-51.125,-55.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.67518331563536,-92.07101499053836,10000.004477029332,139.83198869796246,-0.0010654756790582,0.0033050326561628,,8802.566937047923,11004.7807189461,150,6824,8,2025-09-10,2025-09-12 19:09:59.238,HA,C,3999922872,HAWK11,1,1,73,2,1,1,225,2,1,0,0,12,1,225,2,1,-148792.94763358062,-4791594.423799361,4197994.546354771,2.49406,2.53414,-0.565464,-81.625,41.75,42.125,-0.140625,-7.45312,6.28125,0.00585938,0.0,0.0195312,4,0,41.39917286191793,-91.77862909775952,10992.56905548189,-45.067852311723904,0.5235458171969113,1.8714598631536143,0.0,8802.566937047923,11004.7807189461,150,True,21.117636271417595,False,164.75096804397197,178.394875124025,False,16.819633005235097,True,False
6837,8,1970-07-23 10:01:54.003594417,2025-09-10,2025-09-12 19:10:00.359,HA,C,1252636786,JASSM,3,103,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-172433.24304373687,-4770278.446260299,4220690.827604771,-2.51448,-0.70333,0.607552,60.375,-51.125,-55.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.67445313198567,-92.07019307168082,9999.99991442245,139.83575937765406,-0.004561047958753,0.003303042488292,,8802.566937047923,11004.7807189461,150,6835,8,2025-09-10,2025-09-12 19:10:00.240,HA,C,4001195404,HAWK11,1,1,73,2,1,1,225,2,1,0,0,12,1,225,2,1,-148878.77575858062,-4791550.624971236,4198039.313932896,2.46952,2.52091,-0.572942,-80.875,41.75,42.0,-0.0625,-7.25,6.20312,-0.111328,0.0,0.0078125,4,0,41.39971974011573,-91.7796706605751,10988.518606115076,-44.30236986174232,0.4586740483387834,0.0633885740566084,0.0,8802.566937047923,11004.7807189461,150,True,21.00582692055796,False,164.9560255805983,178.34650872596873,False,16.66214754798497,True,False
6852,8,1970-07-23 10:01:54.015643366,2025-09-10,2025-09-12 19:10:01.564,HA,C,1253949138,JASSM,3,103,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-172366.76208670562,-4770334.829072799,4220630.226042271,-2.51448,-0.70333,0.607552,60.375,-51.125,-55.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.673722991980725,-92.0693711730946,10000.000106098298,139.83630585208536,-0.0036071169340639,0.0033012684711009,,8802.566937047923,11004.7807189461,150,6851,8,2025-09-10,2025-09-12 19:10:01.538,HA,C,4002467936,HAWK11,1,1,73,2,1,1,225,2,1,0,0,12,1,225,2,1,-148964.34411795562,-4791506.783174361,4198083.704557896,2.36013,2.52417,-0.578694,-80.75,41.25,41.5,-0.078125,-7.4375,6.35938,-0.0351562,0.00195312,-0.0078125,4,0,41.400264368089,-91.7807091539938,10983.530535206966,-44.21971337065517,0.8148875717719407,-6.101519035213031,0.0,8802.566937047923,11004.7807189461,150,True,20.89422549940435,False,164.672206675853,178.2977224293876,False,16.996035429089847,True,False
6864,8,1970-07-23 10:01:54.027965884,2025-09-10,2025-09-12 19:10:02.796,HA,C,1255261486,JASSM,3,103,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-172300.28112967435,-4770391.215791549,4220569.616667271,-2.51448,-0.70333,0.607552,60.375,-51.125,-55.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.67299277013252,-92.0685492913926,9999.998621604287,139.83685230743998,-0.0026531269895941,0.0032994464499086,,8802.566937047923,11004.7807189461,150,6869,8,2025-09-10,2025-09-12 19:10:03.128,HA,C,4004535802,HAWK11,1,1,73,2,1,1,225,2,1,0,0,12,1,225,2,1,-149104.89880545562,-4791436.343721236,4198154.602995396,2.356,2.54392,-0.559328,-81.5,40.5,40.0,-0.0625,-7.5,6.42188,0.0839844,0.0175781,0.00195312,4,0,41.4011359650784,-91.78241443763592,10974.846361751604,-45.65993894460936,0.5532652709343827,-5.744866402448592,0.0,8802.566937047923,11004.7807189461,150,True,20.748739797743273,False,163.64898945989555,178.21724105784753,False,18.096515789642854,True,False
