Subject,Timestamp,SampleDate,SampleTime,TestCard,DisSource,DisTime,MarkingTxt,Aplication,EntId,Site,ExersiseId,ForceId,Category,Country,Domain,Kind,Extra,Specific,Subcategory,AltCategory,AltCountry,AltDomain,AltKind,EcefX,EcefY,EcefZ,OriPhi,OriPsi,OriTheta,LinVelX,LinVelY,LinVelZ,LinAccX,LinAccY,LinAccZ,AngVelX,AngVelY,AngVelZ,DrAlg,Apperance,Latitude,Longitude,Altitude,Heading,Pitch,Roll
613,17498312684528598,2025-06-13,16:14:28.452,NA,coresim,534675596,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-128342.8139911498,-4772182.078227944,4215813.898250006,-2.32115,-0.273946,0.22428,0.100416,-0.226105,-0.070378,-0.223311,-7.06349,6.78686,-0.00148034,-0.00830053,0.00226473,4,0,41.638581375781705,-91.54053833864357,624.1924051512917,108.95242269646798,1.743026057030772,0.5397314952196914
613,17498312689193787,2025-06-13,16:14:28.919,NA,coresim,535232330,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-128342.75941333425,-4772182.139848984,4215813.8136457745,-2.31905,-0.273003,0.224301,0.120392,-0.257148,-0.105595,-0.203271,-7.07166,6.77774,0.00717701,0.00546468,-0.000437965,4,0,41.63858044679492,-91.54053766396225,624.1554161768522,108.91700981172535,1.704008111761099,0.6468207947677441
613,17498312691527133,2025-06-13,16:14:29.152,NA,coresim,535510696,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-128342.73685606552,-4772182.392338839,4215813.973498323,-2.31757,-0.273891,0.223359,0.0729638,-1.90714,1.47581,-0.203271,-7.07166,6.77774,0.00717701,0.00546468,-0.000437965,4,0,41.63858001614399,-91.54053731186237,625.1212556166887,108.91204081341002,1.7771279801723883,0.7426134567068502
613,17498312693860982,2025-06-13,16:14:29.386,NA,coresim,535789062,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-128342.81033033186,-4772181.997004962,4215813.979482305,-2.321,-0.273513,0.223754,0.0889616,-0.310842,0.0796072,-0.2119,-7.07463,6.78921,0.00605973,-0.0010559,-0.00180492,4,0,41.63858240866448,-91.5405383209303,624.1701593100656,108.91390592039451,1.7462380265635473,0.5415734049867027
613,17498312698527491,2025-06-13,16:14:29.852,NA,coresim,536345796,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-128342.76214362792,-4772182.049038792,4215813.910528623,-2.32002,-0.272614,0.224061,0.108726,-0.339604,0.046546,-0.206258,-7.07387,6.7779,0.00318851,-0.0106724,-0.00451801,4,0,41.6385816412882,-91.54053772601989,624.1442093073452,108.89205322024439,1.6977180403446572,0.5853767052332622
613,17498312703193103,2025-06-13,16:14:30.319,NA,coresim,536902528,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-128342.8384288158,-4772181.986070085,4215813.963772613,-2.3219,-0.272818,0.222715,0.0754693,-0.316408,0.0715846,-0.207471,-7.06888,6.76895,-0.00613255,0.00699808,-0.0154807,4,0,41.63858236383011,-91.54053866157078,624.1109642100538,108.84396105685349,1.7590944159460586,0.47902623486669565
613,17498312707905503,2025-06-13,16:14:30.790,NA,coresim,537459260,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-128342.79755480908,-4772182.050550152,4215813.9060840625,-2.32087,-0.273212,0.224443,0.0956171,-0.345329,0.0400563,-0.193575,-7.05729,6.78001,-0.00632813,-0.00290763,0.00427874,4,0,41.63858159664939,-91.54053815037872,624.1405593385598,108.93098549824408,1.7068874598913975,0.5457219783319983
613,17498312712527330,2025-06-13,16:14:31.252,NA,coresim,538015994,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-128342.74295720285,-4772182.126425472,4215813.820706725,-2.3201,-0.272595,0.223681,0.116826,-0.375818,0.00617239,-0.216899,-7.06239,6.79348,0.00343818,0.006867,-0.00184445,4,0,41.63858057722406,-91.54053747086066,624.1368217618948,108.87552576484184,1.711935604512074,0.5805027261084802
613,17498312717193884,2025-06-13,16:14:31.719,NA,coresim,538572726,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-128342.76267353726,-4772182.06801405,4215813.889206074,-2.3211,-0.273296,0.223237,0.107339,-0.352294,0.0331658,-0.233853,-7.07013,6.78471,-0.00463036,-0.000729248,-0.00306368,4,0,41.63858138425964,-91.54053772625491,624.144272834669,108.88404190150935,1.7578735413869093,0.5320717015194953
613,17498312721859872,2025-06-13,16:14:32.185,NA,coresim,539129458,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-128342.70110284259,-4772182.139242645,4215813.80592351,-2.32046,-0.272623,0.223582,0.125141,-0.381074,0.00251813,-0.215622,-7.08022,6.78933,0.00111832,-0.0019672,-0.00045461,4,0,41.63858040783792,-91.54053696457639,624.1332526146783,108.87251895602363,1.7170074505862398,0.5596732450858357
