Subject,Timestamp,SampleDate,SampleTime,Configuration,Scenario,PduType,DisTime,ReceivingEntityID_Application,ReceivingEntityID_Entity,ReceivingEntityID_Site,RequestID,ActionID,RequestStatus,FiringEntityID_Application,FiringEntityID_Entity,FiringEntityID_Site,TargetEntityID_Application,TargetEntityID_Entity,TargetEntityID_Site,DetonationResult
10,17580530530124485,2025-09-16,20:04:13.012,AH,C,REQUEST,887905251,1,1,48,1,1,NA,NA,NA,NA,NA,NA,NA,NA
10,17580530530124485,2025-09-16,20:04:13.012,AH,C,REQUEST,887905251,1,1,48,1,1,NA,NA,NA,NA,NA,NA,NA,NA
10,17580531574081679,2025-09-16,20:05:57.408,AH,C,REQUEST,1931488306,1,1,48,3,0,NA,NA,NA,NA,NA,NA,NA,NA
10,17580532303110285,2025-09-16,20:07:10.311,AH,C,REQUEST,2660007815,1,1,48,5,1,NA,NA,NA,NA,NA,NA,NA,NA
10,17580533259611563,2025-09-16,20:08:45.961,AH,C,REQUEST,3616712286,1,1,48,7,0,NA,NA,NA,NA,NA,NA,NA,NA
10,17580533744311283,2025-09-16,20:09:34.431,AH,C,REQUEST,4101499465,1,1,48,9,1,NA,NA,NA,NA,NA,NA,NA,NA
10,17580538912222801,2025-09-16,20:18:11.222,AA,C,REQUEST,679621411,1,1,73,12,1,NA,NA,NA,NA,NA,NA,NA,NA
10,17580539007727621,2025-09-16,20:18:20.772,AA,C,REQUEST,774618154,1,1,48,13,1,NA,NA,NA,NA,NA,NA,NA,NA
10,17580539791086573,2025-09-16,20:19:39.108,AA,C,REQUEST,1558364073,1,1,48,14,0,NA,NA,NA,NA,NA,NA,NA,NA
10,17580540199590381,2025-09-16,20:20:19.959,AA,C,REQUEST,1966514798,1,1,48,15,1,NA,NA,NA,NA,NA,NA,NA,NA
10,17580540200600952,2025-09-16,20:20:20.060,AA,C,REQUEST,1966524786,1,1,48,13,4,NA,NA,NA,NA,NA,NA,NA,NA
10,17580540402798232,2025-09-16,20:20:40.279,AA,C,REQUEST,2169967470,1,1,73,16,0,NA,NA,NA,NA,NA,NA,NA,NA
10,17580540623946840,2025-09-16,20:21:02.394,AA,C,REQUEST,2391305679,1,1,73,17,1,NA,NA,NA,NA,NA,NA,NA,NA
10,17580540624955936,2025-09-16,20:21:02.495,AA,C,REQUEST,2391305679,1,1,73,12,4,NA,NA,NA,NA,NA,NA,NA,NA
10,17580540633999499,2025-09-16,20:21:03.399,AA,C,REQUEST,2401452764,1,1,73,17,1,NA,NA,NA,NA,NA,NA,NA,NA
10,17580541645564044,2025-09-16,20:22:44.556,AA,C,REQUEST,3412966147,1,1,48,18,0,NA,NA,NA,NA,NA,NA,NA,NA
10,17580541788352736,2025-09-16,20:22:58.835,AA,C,REQUEST,3556138498,1,1,48,19,1,NA,NA,NA,NA,NA,NA,NA,NA
10,17580541789360022,2025-09-16,20:22:58.936,AA,C,REQUEST,3556138498,1,1,48,15,4,NA,NA,NA,NA,NA,NA,NA,NA
10,17580542091049128,2025-09-16,20:23:29.104,AA,C,REQUEST,3858791751,1,1,73,20,0,NA,NA,NA,NA,NA,NA,NA,NA
10,17580542468097684,2025-09-16,20:24:06.809,AA,C,REQUEST,4235798909,1,1,48,21,0,NA,NA,NA,NA,NA,NA,NA,NA
10,17580546810072396,2025-09-16,20:31:21.007,AA,D,REQUEST,4282895466,1,1,73,22,1,NA,NA,NA,NA,NA,NA,NA,NA
10,17580546964953578,2025-09-16,20:31:36.495,AA,D,REQUEST,142595080,1,1,48,23,1,NA,NA,NA,NA,NA,NA,NA,NA
10,17580548516250737,2025-09-16,20:34:11.625,AA,D,REQUEST,1693931967,1,1,73,24,0,NA,NA,NA,NA,NA,NA,NA,NA
