Subject,Timestamp,SampleDate,SampleTime,Configuration,Scenario,PduType,DisTime,ReceivingEntityID_Application,ReceivingEntityID_Entity,ReceivingEntityID_Site,RequestID,ActionID,RequestStatus,FiringEntityID_Application,FiringEntityID_Entity,FiringEntityID_Site,TargetEntityID_Application,TargetEntityID_Entity,TargetEntityID_Site,DetonationResult
9,17577074612948958,2025-09-12,20:04:21.294,HH,C,REQUEST,2419051398,1,1,48,2,1,NA,NA,NA,NA,NA,NA,NA,NA
9,17577075793963550,2025-09-12,20:06:19.396,HH,C,REQUEST,3600373302,1,1,48,4,0,NA,NA,NA,NA,NA,NA,NA,NA
9,17577076193204801,2025-09-12,20:06:59.320,HH,C,REQUEST,3999546242,1,1,48,6,1,NA,NA,NA,NA,NA,NA,NA,NA
9,17577077675864222,2025-09-12,20:09:27.586,HH,C,REQUEST,1186591483,1,1,73,9,0,NA,NA,NA,NA,NA,NA,NA,NA
9,17577077676854684,2025-09-12,20:09:27.685,HH,C,REQUEST,1186601458,1,1,48,10,0,NA,NA,NA,NA,NA,NA,NA,NA
9,17577077890970196,2025-09-12,20:09:49.097,HH,C,REQUEST,1401770719,1,1,48,11,1,NA,NA,NA,NA,NA,NA,NA,NA
9,17577077891977797,2025-09-12,20:09:49.197,HH,C,REQUEST,1401770719,1,1,48,6,4,NA,NA,NA,NA,NA,NA,NA,NA
9,17577078105194592,2025-09-12,20:10:10.519,HH,C,REQUEST,1615768219,1,1,73,7,4,NA,NA,NA,NA,NA,NA,NA,NA
9,17577078571713049,2025-09-12,20:10:57.171,HH,C,REQUEST,2082769215,1,1,73,12,4,NA,NA,NA,NA,NA,NA,NA,NA
9,17577081688916510,2025-09-12,20:16:08.891,HA,C,REQUEST,905172803,1,1,73,14,1,NA,NA,NA,NA,NA,NA,NA,NA
9,17577081795510050,2025-09-12,20:16:19.551,HA,C,REQUEST,1011834678,1,1,48,15,1,NA,NA,NA,NA,NA,NA,NA,NA
9,17577083000859118,2025-09-12,20:18:20.085,HA,C,REQUEST,2216849434,1,1,48,16,0,NA,NA,NA,NA,NA,NA,NA,NA
9,17577083153608199,2025-09-12,20:18:35.360,HA,C,REQUEST,2369176947,1,1,73,17,0,NA,NA,NA,NA,NA,NA,NA,NA
9,17577083228966743,2025-09-12,20:18:42.896,HA,C,REQUEST,2444854009,1,1,73,18,1,NA,NA,NA,NA,NA,NA,NA,NA
9,17577083229973772,2025-09-12,20:18:42.997,HA,C,REQUEST,2444854009,1,1,73,14,4,NA,NA,NA,NA,NA,NA,NA,NA
9,17577083239018101,2025-09-12,20:18:43.901,HA,C,REQUEST,2455017119,1,1,73,18,1,NA,NA,NA,NA,NA,NA,NA,NA
9,17577083312361625,2025-09-12,20:18:51.236,HA,C,REQUEST,2528519527,1,1,48,19,1,NA,NA,NA,NA,NA,NA,NA,NA
9,17577085127712118,2025-09-12,20:21:52.771,HA,C,REQUEST,48580927,1,1,73,20,0,NA,NA,NA,NA,NA,NA,NA,NA
9,17577085208088219,2025-09-12,20:22:00.808,HA,C,REQUEST,129601212,1,1,73,21,1,NA,NA,NA,NA,NA,NA,NA,NA
9,17577085209095615,2025-09-12,20:22:00.909,HA,C,REQUEST,129601212,1,1,73,18,4,NA,NA,NA,NA,NA,NA,NA,NA
9,17577085659417888,2025-09-12,20:22:45.941,HA,C,REQUEST,580417448,1,1,73,22,0,NA,NA,NA,NA,NA,NA,NA,NA
9,17577085693576263,2025-09-12,20:22:49.357,HA,C,REQUEST,614244922,1,1,73,23,0,NA,NA,NA,NA,NA,NA,NA,NA
9,17577085708724049,2025-09-12,20:22:50.872,HA,C,REQUEST,629415837,1,1,73,24,0,NA,NA,NA,NA,NA,NA,NA,NA
9,17577089766026181,2025-09-12,20:29:36.602,AH,C,REQUEST,391668977,1,1,48,25,1,NA,NA,NA,NA,NA,NA,NA,NA
9,17577091284912235,2025-09-12,20:32:08.491,AH,C,REQUEST,1911184512,1,1,48,28,0,NA,NA,NA,NA,NA,NA,NA,NA
9,17577091382454708,2025-09-12,20:32:18.245,AH,C,REQUEST,2008538606,1,1,48,29,1,NA,NA,NA,NA,NA,NA,NA,NA
9,17577091383475756,2025-09-12,20:32:18.347,AH,C,REQUEST,2008538606,1,1,48,25,4,NA,NA,NA,NA,NA,NA,NA,NA
9,17577092849905159,2025-09-12,20:34:44.990,AH,C,REQUEST,3475514641,1,1,73,30,4,NA,NA,NA,NA,NA,NA,NA,NA
9,17577093108161253,2025-09-12,20:35:10.816,AH,C,REQUEST,3734516251,1,1,48,33,0,NA,NA,NA,NA,NA,NA,NA,NA
9,17577093277030112,2025-09-12,20:35:27.703,AH,C,REQUEST,3902860700,1,1,48,34,1,NA,NA,NA,NA,NA,NA,NA,NA
9,17577093278033295,2025-09-12,20:35:27.803,AH,C,REQUEST,3902860700,1,1,48,29,4,NA,NA,NA,NA,NA,NA,NA,NA
9,17577095699861142,2025-09-12,20:39:29.986,AA,C,REQUEST,2030783101,1,1,73,37,1,NA,NA,NA,NA,NA,NA,NA,NA
9,17577095817481067,2025-09-12,20:39:41.748,AA,C,REQUEST,2149112045,1,1,48,38,1,NA,NA,NA,NA,NA,NA,NA,NA
9,17577097399990115,2025-09-12,20:42:19.999,AA,C,REQUEST,3731131045,1,1,48,39,0,NA,NA,NA,NA,NA,NA,NA,NA
9,17577097422080090,2025-09-12,20:42:22.208,AA,C,REQUEST,3753616205,1,1,48,40,0,NA,NA,NA,NA,NA,NA,NA,NA
9,17577097423088145,2025-09-12,20:42:22.308,AA,C,REQUEST,3753616205,1,1,73,41,0,NA,NA,NA,NA,NA,NA,NA,NA
9,17577097497493436,2025-09-12,20:42:29.749,AA,C,REQUEST,3828791503,1,1,73,42,1,NA,NA,NA,NA,NA,NA,NA,NA
9,17577097498498832,2025-09-12,20:42:29.849,AA,C,REQUEST,3828791503,1,1,73,37,4,NA,NA,NA,NA,NA,NA,NA,NA
9,17577097602939972,2025-09-12,20:42:40.293,AA,C,REQUEST,3934467407,1,1,48,43,1,NA,NA,NA,NA,NA,NA,NA,NA
9,17577097603970526,2025-09-12,20:42:40.397,AA,C,REQUEST,3934467407,1,1,48,38,4,NA,NA,NA,NA,NA,NA,NA,NA
9,17577098868928626,2025-09-12,20:44:46.892,AA,C,REQUEST,905005797,1,1,73,44,0,NA,NA,NA,NA,NA,NA,NA,NA
9,17577098921217292,2025-09-12,20:44:52.121,AA,C,REQUEST,957843850,1,1,73,45,0,NA,NA,NA,NA,NA,NA,NA,NA
9,17577098967430764,2025-09-12,20:44:56.743,AA,C,REQUEST,1003364527,1,1,73,46,1,NA,NA,NA,NA,NA,NA,NA,NA
9,17577098968430847,2025-09-12,20:44:56.843,AA,C,REQUEST,1003364527,1,1,73,42,4,NA,NA,NA,NA,NA,NA,NA,NA
9,17577098977487142,2025-09-12,20:44:57.748,AA,C,REQUEST,1013505072,1,1,73,46,1,NA,NA,NA,NA,NA,NA,NA,NA
9,17577099300254694,2025-09-12,20:45:30.025,AA,C,REQUEST,1336176391,1,1,48,47,0,NA,NA,NA,NA,NA,NA,NA,NA
