Subject,Timestamp,SampleDate,SampleTime,Configuration,Scenario,PduType,DisTime,ReceivingEntityID_Application,ReceivingEntityID_Entity,ReceivingEntityID_Site,RequestID,ActionID,RequestStatus,FiringEntityID_Application,FiringEntityID_Entity,FiringEntityID_Site,TargetEntityID_Application,TargetEntityID_Entity,TargetEntityID_Site,DetonationResult
8,17575314191464669,2025-09-10,19:10:19.146,HA,C,REQUEST,2933656030,1,1,73,2,1,NA,NA,NA,NA,NA,NA,NA,NA
8,17575314343166731,2025-09-10,19:10:34.316,HA,C,REQUEST,3085977560,1,1,48,3,1,NA,NA,NA,NA,NA,NA,NA,NA
8,17575315421797113,2025-09-10,19:12:22.179,HA,C,REQUEST,4164484141,1,1,73,4,0,NA,NA,NA,NA,NA,NA,NA,NA
8,17575315473034313,2025-09-10,19:12:27.303,HA,C,REQUEST,4215979091,1,1,73,5,0,NA,NA,NA,NA,NA,NA,NA,NA
8,17575315570605338,2025-09-10,19:12:37.060,HA,C,REQUEST,17843653,1,1,48,6,0,NA,NA,NA,NA,NA,NA,NA,NA
8,17575315914634909,2025-09-10,19:13:11.463,HA,C,REQUEST,362525805,1,1,73,7,1,NA,NA,NA,NA,NA,NA,NA,NA
8,17575316174947580,2025-09-10,19:13:37.494,HA,C,REQUEST,622874151,1,1,48,8,1,NA,NA,NA,NA,NA,NA,NA,NA
8,17575317144096231,2025-09-10,19:15:14.409,HA,C,REQUEST,1591369376,1,1,73,9,0,NA,NA,NA,NA,NA,NA,NA,NA
8,17575317399426803,2025-09-10,19:15:39.942,HA,C,REQUEST,1846727317,1,1,73,10,1,NA,NA,NA,NA,NA,NA,NA,NA
8,17575317409460465,2025-09-10,19:15:40.946,HA,C,REQUEST,1856874828,1,1,73,10,1,NA,NA,NA,NA,NA,NA,NA,NA
8,17575317674827656,2025-09-10,19:16:07.482,HA,C,REQUEST,2122545553,1,1,48,11,1,NA,NA,NA,NA,NA,NA,NA,NA
8,17575317729116846,2025-09-10,19:16:12.911,HA,C,REQUEST,2176212684,1,1,48,12,0,NA,NA,NA,NA,NA,NA,NA,NA
8,17575318133175446,2025-09-10,19:16:53.317,HA,C,REQUEST,2581058195,1,1,73,13,1,NA,NA,NA,NA,NA,NA,NA,NA
8,17575318156318998,2025-09-10,19:16:55.631,HA,C,REQUEST,2603719299,1,1,73,14,0,NA,NA,NA,NA,NA,NA,NA,NA
8,17575321081026792,2025-09-10,19:21:48.102,AA,C,REQUEST,1233276252,1,1,73,15,1,NA,NA,NA,NA,NA,NA,NA,NA
8,17575321341392457,2025-09-10,19:22:14.139,AA,C,REQUEST,1493800540,1,1,48,16,1,NA,NA,NA,NA,NA,NA,NA,NA
8,17575322642446458,2025-09-10,19:24:24.244,AA,C,REQUEST,2795453473,1,1,48,17,0,NA,NA,NA,NA,NA,NA,NA,NA
8,17575322863642683,2025-09-10,19:24:46.364,AA,C,REQUEST,3015947386,1,1,73,18,0,NA,NA,NA,NA,NA,NA,NA,NA
8,17575322929018753,2025-09-10,19:24:52.901,AA,C,REQUEST,3081951248,1,1,48,19,1,NA,NA,NA,NA,NA,NA,NA,NA
8,17575322946096904,2025-09-10,19:24:54.609,AA,C,REQUEST,3098279857,1,1,73,20,0,NA,NA,NA,NA,NA,NA,NA,NA
8,17575323106961061,2025-09-10,19:25:10.696,AA,C,REQUEST,3259795108,1,1,73,21,1,NA,NA,NA,NA,NA,NA,NA,NA
8,17575323117024777,2025-09-10,19:25:11.702,AA,C,REQUEST,3269949026,1,1,73,21,1,NA,NA,NA,NA,NA,NA,NA,NA
8,17575323482952577,2025-09-10,19:25:48.295,AA,C,REQUEST,3635633032,1,1,73,22,1,NA,NA,NA,NA,NA,NA,NA,NA
8,17575323492992876,2025-09-10,19:25:49.299,AA,C,REQUEST,3645793662,1,1,73,22,1,NA,NA,NA,NA,NA,NA,NA,NA
8,17575323503050257,2025-09-10,19:25:50.305,AA,C,REQUEST,3655962920,1,1,73,22,1,NA,NA,NA,NA,NA,NA,NA,NA
8,17575323513204303,2025-09-10,19:25:51.320,AA,C,REQUEST,3666124792,1,1,73,22,1,NA,NA,NA,NA,NA,NA,NA,NA
8,17575323524273937,2025-09-10,19:25:52.427,AA,C,REQUEST,3676288399,1,1,73,22,1,NA,NA,NA,NA,NA,NA,NA,NA
8,17575324310324054,2025-09-10,19:27:11.032,AA,C,REQUEST,167667460,1,1,48,23,0,NA,NA,NA,NA,NA,NA,NA,NA
8,17575324398782357,2025-09-10,19:27:19.878,AA,C,REQUEST,256829602,1,1,48,24,0,NA,NA,NA,NA,NA,NA,NA,NA
8,17575324535557399,2025-09-10,19:27:33.555,AA,C,REQUEST,392686399,1,1,48,25,1,NA,NA,NA,NA,NA,NA,NA,NA
8,17575324712417315,2025-09-10,19:27:51.241,AA,C,REQUEST,569842255,1,1,73,26,1,NA,NA,NA,NA,NA,NA,NA,NA
8,17575324726473922,2025-09-10,19:27:52.647,AA,C,REQUEST,584509203,1,1,73,27,0,NA,NA,NA,NA,NA,NA,NA,NA
8,17575324768653340,2025-09-10,19:27:56.865,AA,C,REQUEST,626502297,1,1,73,28,0,NA,NA,NA,NA,NA,NA,NA,NA
8,17575324971732634,2025-09-10,19:28:17.173,AA,C,REQUEST,829006669,1,1,73,29,1,NA,NA,NA,NA,NA,NA,NA,NA
8,17575325049085721,2025-09-10,19:28:24.908,AA,C,REQUEST,906667305,1,1,48,30,0,NA,NA,NA,NA,NA,NA,NA,NA
8,17575328116658277,2025-09-10,19:33:31.665,AA,C,REQUEST,3973802440,1,1,73,30,1,NA,NA,NA,NA,NA,NA,NA,NA
8,17575328126715263,2025-09-10,19:33:32.671,AA,C,REQUEST,3983892183,1,1,73,30,1,NA,NA,NA,NA,NA,NA,NA,NA
8,17575328280496475,2025-09-10,19:33:48.049,AA,C,REQUEST,4138563463,1,1,48,31,1,NA,NA,NA,NA,NA,NA,NA,NA
8,17575328583041315,2025-09-10,19:34:18.304,AA,C,REQUEST,145606954,1,1,73,32,1,NA,NA,NA,NA,NA,NA,NA,NA
8,17575328686585356,2025-09-10,19:34:28.658,AA,C,REQUEST,249768721,1,1,48,33,1,NA,NA,NA,NA,NA,NA,NA,NA
8,17575329732912816,2025-09-10,19:36:13.291,AA,C,REQUEST,1295777744,1,1,48,34,0,NA,NA,NA,NA,NA,NA,NA,NA
8,17575329888753977,2025-09-10,19:36:28.875,AA,C,REQUEST,1451448587,1,1,73,35,0,NA,NA,NA,NA,NA,NA,NA,NA
8,17575330038473390,2025-09-10,19:36:43.847,AA,C,REQUEST,1601620929,1,1,73,36,1,NA,NA,NA,NA,NA,NA,NA,NA
8,17575330131971142,2025-09-10,19:36:53.197,AA,C,REQUEST,1694623763,1,1,48,37,1,NA,NA,NA,NA,NA,NA,NA,NA
8,17575331422655338,2025-09-10,19:39:02.265,AA,C,REQUEST,2985142514,1,1,48,38,0,NA,NA,NA,NA,NA,NA,NA,NA
8,17575331462883787,2025-09-10,19:39:06.288,AA,C,REQUEST,3025803003,1,1,48,39,0,NA,NA,NA,NA,NA,NA,NA,NA
8,17575331463891056,2025-09-10,19:39:06.389,AA,C,REQUEST,3025812983,1,1,73,40,0,NA,NA,NA,NA,NA,NA,NA,NA
8,17575331559432377,2025-09-10,19:39:15.943,AA,C,REQUEST,3121831829,1,1,48,41,1,NA,NA,NA,NA,NA,NA,NA,NA
8,17575331560455821,2025-09-10,19:39:16.045,AA,C,REQUEST,3121831829,1,1,48,37,4,NA,NA,NA,NA,NA,NA,NA,NA
8,17575331731269931,2025-09-10,19:39:33.126,AA,C,REQUEST,3293478800,1,1,73,42,0,NA,NA,NA,NA,NA,NA,NA,NA
8,17575331762441083,2025-09-10,19:39:36.244,AA,C,REQUEST,3325147738,1,1,73,43,0,NA,NA,NA,NA,NA,NA,NA,NA
8,17575331916245733,2025-09-10,19:39:51.624,AA,C,REQUEST,3479332720,1,1,73,44,1,NA,NA,NA,NA,NA,NA,NA,NA
8,17575331917296134,2025-09-10,19:39:51.729,AA,C,REQUEST,3479332720,1,1,73,36,4,NA,NA,NA,NA,NA,NA,NA,NA
8,17575302820186575,2025-09-10,18:51:22.018,NA,NA,RESPONSE,0,1,1,73,1,NA,4,NA,NA,NA,NA,NA,NA,NA
8,17575314191683190,2025-09-10,19:10:19.168,HA,C,RESPONSE,0,1,1,48,2,NA,2,NA,NA,NA,NA,NA,NA,NA
8,17575314205605649,2025-09-10,19:10:20.560,HA,C,RESPONSE,0,1,1,48,2,NA,2,NA,NA,NA,NA,NA,NA,NA
8,17575314211687902,2025-09-10,19:10:21.168,HA,C,RESPONSE,0,1,1,48,2,NA,2,NA,NA,NA,NA,NA,NA,NA
8,17575314221692348,2025-09-10,19:10:22.169,HA,C,RESPONSE,0,1,1,48,2,NA,2,NA,NA,NA,NA,NA,NA,NA
8,17575314231688933,2025-09-10,19:10:23.168,HA,C,RESPONSE,0,1,1,48,2,NA,2,NA,NA,NA,NA,NA,NA,NA
8,17575314241687959,2025-09-10,19:10:24.168,HA,C,RESPONSE,0,1,1,48,2,NA,2,NA,NA,NA,NA,NA,NA,NA
8,17575314251688150,2025-09-10,19:10:25.168,HA,C,RESPONSE,0,1,1,48,2,NA,2,NA,NA,NA,NA,NA,NA,NA
8,17575314268808747,2025-09-10,19:10:26.880,HA,C,RESPONSE,0,1,1,48,2,NA,2,NA,NA,NA,NA,NA,NA,NA
8,17575314286770283,2025-09-10,19:10:28.677,HA,C,RESPONSE,0,1,1,48,2,NA,2,NA,NA,NA,NA,NA,NA,NA
8,17575314286789645,2025-09-10,19:10:28.678,HA,C,RESPONSE,0,1,1,48,2,NA,2,NA,NA,NA,NA,NA,NA,NA
8,17575314291708209,2025-09-10,19:10:29.170,HA,C,RESPONSE,0,1,1,48,2,NA,2,NA,NA,NA,NA,NA,NA,NA
8,17575314301729189,2025-09-10,19:10:30.172,HA,C,RESPONSE,0,1,1,48,2,NA,2,NA,NA,NA,NA,NA,NA,NA
8,17575314314795223,2025-09-10,19:10:31.479,HA,C,RESPONSE,0,1,1,48,2,NA,2,NA,NA,NA,NA,NA,NA,NA
8,17575314321729156,2025-09-10,19:10:32.172,HA,C,RESPONSE,0,1,1,48,2,NA,2,NA,NA,NA,NA,NA,NA,NA
8,17575314331749478,2025-09-10,19:10:33.174,HA,C,RESPONSE,0,1,1,48,2,NA,2,NA,NA,NA,NA,NA,NA,NA
8,17575314341745600,2025-09-10,19:10:34.174,HA,C,RESPONSE,0,1,1,48,2,NA,2,NA,NA,NA,NA,NA,NA,NA
8,17575314343180674,2025-09-10,19:10:34.318,HA,C,RESPONSE,0,1,1,48,3,NA,2,NA,NA,NA,NA,NA,NA,NA
8,17575314351747404,2025-09-10,19:10:35.174,HA,C,RESPONSE,0,1,1,48,2,NA,2,NA,NA,NA,NA,NA,NA,NA
8,17575314353187550,2025-09-10,19:10:35.318,HA,C,RESPONSE,0,1,1,48,3,NA,2,NA,NA,NA,NA,NA,NA,NA
8,17575314363195115,2025-09-10,19:10:36.319,HA,C,RESPONSE,0,1,1,48,3,NA,2,NA,NA,NA,NA,NA,NA,NA
8,17575314371568889,2025-09-10,19:10:37.156,HA,C,RESPONSE,0,1,1,48,2,NA,2,NA,NA,NA,NA,NA,NA,NA
8,17575314373200043,2025-09-10,19:10:37.320,HA,C,RESPONSE,0,1,1,48,3,NA,2,NA,NA,NA,NA,NA,NA,NA
8,17575314374368652,2025-09-10,19:10:37.436,HA,C,RESPONSE,0,1,1,48,2,NA,2,NA,NA,NA,NA,NA,NA,NA
8,17575314381769526,2025-09-10,19:10:38.176,HA,C,RESPONSE,0,1,1,48,2,NA,2,NA,NA,NA,NA,NA,NA,NA
8,17575314383204327,2025-09-10,19:10:38.320,HA,C,RESPONSE,0,1,1,48,3,NA,2,NA,NA,NA,NA,NA,NA,NA
8,17575314391784907,2025-09-10,19:10:39.178,HA,C,RESPONSE,0,1,1,48,2,NA,2,NA,NA,NA,NA,NA,NA,NA
8,17575314393211527,2025-09-10,19:10:39.321,HA,C,RESPONSE,0,1,1,48,3,NA,2,NA,NA,NA,NA,NA,NA,NA
8,17575314402765951,2025-09-10,19:10:40.276,HA,C,RESPONSE,0,1,1,48,2,NA,2,NA,NA,NA,NA,NA,NA,NA
8,17575314403216627,2025-09-10,19:10:40.321,HA,C,RESPONSE,0,1,1,48,3,NA,2,NA,NA,NA,NA,NA,NA,NA
8,17575314411784885,2025-09-10,19:10:41.178,HA,C,RESPONSE,0,1,1,48,2,NA,2,NA,NA,NA,NA,NA,NA,NA
8,17575314413218851,2025-09-10,19:10:41.321,HA,C,RESPONSE,0,1,1,48,3,NA,2,NA,NA,NA,NA,NA,NA,NA
8,17575314421806902,2025-09-10,19:10:42.180,HA,C,RESPONSE,0,1,1,48,2,NA,2,NA,NA,NA,NA,NA,NA,NA
8,17575314423229437,2025-09-10,19:10:42.322,HA,C,RESPONSE,0,1,1,48,3,NA,2,NA,NA,NA,NA,NA,NA,NA
8,17575314433231105,2025-09-10,19:10:43.323,HA,C,RESPONSE,0,1,1,48,3,NA,2,NA,NA,NA,NA,NA,NA,NA
8,17575314436765723,2025-09-10,19:10:43.676,HA,C,RESPONSE,0,1,1,48,2,NA,2,NA,NA,NA,NA,NA,NA,NA
8,17575314441809659,2025-09-10,19:10:44.180,HA,C,RESPONSE,0,1,1,48,2,NA,2,NA,NA,NA,NA,NA,NA,NA
8,17575314443236820,2025-09-10,19:10:44.323,HA,C,RESPONSE,0,1,1,48,3,NA,2,NA,NA,NA,NA,NA,NA,NA
8,17575314453245406,2025-09-10,19:10:45.324,HA,C,RESPONSE,0,1,1,48,3,NA,2,NA,NA,NA,NA,NA,NA,NA
8,17575314461824490,2025-09-10,19:10:46.182,HA,C,RESPONSE,0,1,1,48,2,NA,2,NA,NA,NA,NA,NA,NA,NA
8,17575314463250129,2025-09-10,19:10:46.325,HA,C,RESPONSE,0,1,1,48,3,NA,2,NA,NA,NA,NA,NA,NA,NA
8,17575314471832092,2025-09-10,19:10:47.183,HA,C,RESPONSE,0,1,1,48,2,NA,2,NA,NA,NA,NA,NA,NA,NA
8,17575314473255480,2025-09-10,19:10:47.325,HA,C,RESPONSE,0,1,1,48,3,NA,2,NA,NA,NA,NA,NA,NA,NA
8,17575314477565527,2025-09-10,19:10:47.756,HA,C,RESPONSE,0,1,1,48,2,NA,2,NA,NA,NA,NA,NA,NA,NA
8,17575314481846795,2025-09-10,19:10:48.184,HA,C,RESPONSE,0,1,1,48,2,NA,2,NA,NA,NA,NA,NA,NA,NA
8,17575314483262003,2025-09-10,19:10:48.326,HA,C,RESPONSE,0,1,1,48,3,NA,2,NA,NA,NA,NA,NA,NA,NA
8,17575314491846196,2025-09-10,19:10:49.184,HA,C,RESPONSE,0,1,1,48,2,NA,2,NA,NA,NA,NA,NA,NA,NA
8,17575314493294833,2025-09-10,19:10:49.329,HA,C,RESPONSE,0,1,1,48,3,NA,2,NA,NA,NA,NA,NA,NA,NA
8,17575314501846866,2025-09-10,19:10:50.184,HA,C,RESPONSE,0,1,1,48,2,NA,2,NA,NA,NA,NA,NA,NA,NA
8,17575314503280043,2025-09-10,19:10:50.328,HA,C,RESPONSE,0,1,1,48,3,NA,2,NA,NA,NA,NA,NA,NA,NA
8,17575314513278226,2025-09-10,19:10:51.327,HA,C,RESPONSE,0,1,1,48,3,NA,2,NA,NA,NA,NA,NA,NA,NA
8,17575314513606460,2025-09-10,19:10:51.360,HA,C,RESPONSE,0,1,1,48,2,NA,2,NA,NA,NA,NA,NA,NA,NA
8,17575314521864967,2025-09-10,19:10:52.186,HA,C,RESPONSE,0,1,1,48,2,NA,2,NA,NA,NA,NA,NA,NA,NA
8,17575314523282136,2025-09-10,19:10:52.328,HA,C,RESPONSE,0,1,1,48,3,NA,2,NA,NA,NA,NA,NA,NA,NA
8,17575314533289078,2025-09-10,19:10:53.328,HA,C,RESPONSE,0,1,1,48,3,NA,2,NA,NA,NA,NA,NA,NA,NA
8,17575314534404036,2025-09-10,19:10:53.440,HA,C,RESPONSE,0,1,1,48,2,NA,2,NA,NA,NA,NA,NA,NA,NA
8,17575314543296101,2025-09-10,19:10:54.329,HA,C,RESPONSE,0,1,1,48,3,NA,2,NA,NA,NA,NA,NA,NA,NA
8,17575314551862603,2025-09-10,19:10:55.186,HA,C,RESPONSE,0,1,1,48,2,NA,2,NA,NA,NA,NA,NA,NA,NA
8,17575314553302853,2025-09-10,19:10:55.330,HA,C,RESPONSE,0,1,1,48,3,NA,2,NA,NA,NA,NA,NA,NA,NA
8,17575314561885098,2025-09-10,19:10:56.188,HA,C,RESPONSE,0,1,1,48,2,NA,2,NA,NA,NA,NA,NA,NA,NA
8,17575314563307546,2025-09-10,19:10:56.330,HA,C,RESPONSE,0,1,1,48,3,NA,2,NA,NA,NA,NA,NA,NA,NA
8,17575314567571050,2025-09-10,19:10:56.757,HA,C,RESPONSE,0,1,1,48,2,NA,2,NA,NA,NA,NA,NA,NA,NA
8,17575314571885264,2025-09-10,19:10:57.188,HA,C,RESPONSE,0,1,1,48,2,NA,2,NA,NA,NA,NA,NA,NA,NA
8,17575314573313725,2025-09-10,19:10:57.331,HA,C,RESPONSE,0,1,1,48,3,NA,2,NA,NA,NA,NA,NA,NA,NA
8,17575314581886973,2025-09-10,19:10:58.188,HA,C,RESPONSE,0,1,1,48,2,NA,2,NA,NA,NA,NA,NA,NA,NA
8,17575314583317868,2025-09-10,19:10:58.331,HA,C,RESPONSE,0,1,1,48,3,NA,2,NA,NA,NA,NA,NA,NA,NA
8,17575314591904711,2025-09-10,19:10:59.190,HA,C,RESPONSE,0,1,1,48,2,NA,2,NA,NA,NA,NA,NA,NA,NA
8,17575314593326691,2025-09-10,19:10:59.332,HA,C,RESPONSE,0,1,1,48,3,NA,2,NA,NA,NA,NA,NA,NA,NA
8,17575314601903010,2025-09-10,19:11:00.190,HA,C,RESPONSE,0,1,1,48,2,NA,2,NA,NA,NA,NA,NA,NA,NA
8,17575314603333038,2025-09-10,19:11:00.333,HA,C,RESPONSE,0,1,1,48,3,NA,2,NA,NA,NA,NA,NA,NA,NA
8,17575314611904351,2025-09-10,19:11:01.190,HA,C,RESPONSE,0,1,1,48,2,NA,2,NA,NA,NA,NA,NA,NA,NA
8,17575314613340239,2025-09-10,19:11:01.334,HA,C,RESPONSE,0,1,1,48,3,NA,2,NA,NA,NA,NA,NA,NA,NA
