Subject,Timestamp,SampleDate,SampleTime,Configuration,Scenario,PduType,DisTime,ReceivingEntityID_Application,ReceivingEntityID_Entity,ReceivingEntityID_Site,RequestID,ActionID,RequestStatus,FiringEntityID_Application,FiringEntityID_Entity,FiringEntityID_Site,TargetEntityID_Application,TargetEntityID_Entity,TargetEntityID_Site,DetonationResult
11,17581289066637231,2025-09-17,17:08:26.663,HA,D,REQUEST,3510032111,1,1,73,1,1,NA,NA,NA,NA,NA,NA,NA,NA
11,17581289066637231,2025-09-17,17:08:26.663,HA,D,REQUEST,3510032111,1,1,73,1,1,NA,NA,NA,NA,NA,NA,NA,NA
11,17581289257637145,2025-09-17,17:08:45.763,HA,D,REQUEST,3700266463,1,1,48,2,1,NA,NA,NA,NA,NA,NA,NA,NA
11,17581290204689615,2025-09-17,17:10:20.468,HA,D,REQUEST,352303260,1,1,48,2,4,NA,NA,NA,NA,NA,NA,NA,NA
11,17581290252986018,2025-09-17,17:10:25.298,HA,D,REQUEST,400480051,1,1,48,3,1,NA,NA,NA,NA,NA,NA,NA,NA
11,17581290977778890,2025-09-17,17:11:37.777,HA,D,REQUEST,1125480726,1,1,48,4,0,NA,NA,NA,NA,NA,NA,NA,NA
11,17581291074347091,2025-09-17,17:11:47.434,HA,D,REQUEST,1222151636,1,1,73,5,0,NA,NA,NA,NA,NA,NA,NA,NA
11,17581291149739493,2025-09-17,17:11:54.973,HA,D,REQUEST,1297987921,1,1,48,6,1,NA,NA,NA,NA,NA,NA,NA,NA
11,17581291150750605,2025-09-17,17:11:55.075,HA,D,REQUEST,1297987921,1,1,48,3,4,NA,NA,NA,NA,NA,NA,NA,NA
11,17581291269358569,2025-09-17,17:12:06.935,HA,D,REQUEST,1417828785,1,1,73,7,1,NA,NA,NA,NA,NA,NA,NA,NA
11,17581291270366867,2025-09-17,17:12:07.036,HA,D,REQUEST,1417828785,1,1,73,1,4,NA,NA,NA,NA,NA,NA,NA,NA
11,17581291642339407,2025-09-17,17:12:44.233,HA,D,REQUEST,1790332074,1,1,73,8,1,NA,NA,NA,NA,NA,NA,NA,NA
11,17581291643350706,2025-09-17,17:12:44.335,HA,D,REQUEST,1790332074,1,1,73,7,4,NA,NA,NA,NA,NA,NA,NA,NA
11,17581292293960339,2025-09-17,17:13:49.396,HA,D,REQUEST,2442340897,1,1,48,9,0,NA,NA,NA,NA,NA,NA,NA,NA
11,17581292459724283,2025-09-17,17:14:05.972,HA,D,REQUEST,2607504987,1,1,48,6,4,NA,NA,NA,NA,NA,NA,NA,NA
11,17581292681887711,2025-09-17,17:14:28.188,HA,D,REQUEST,2830009938,1,1,73,8,4,NA,NA,NA,NA,NA,NA,NA,NA
11,17581292735221041,2025-09-17,17:14:33.522,HA,D,REQUEST,2883349290,1,1,73,10,1,NA,NA,NA,NA,NA,NA,NA,NA
11,17581292869927052,2025-09-17,17:14:46.992,HA,D,REQUEST,3018021825,1,1,48,11,1,NA,NA,NA,NA,NA,NA,NA,NA
11,17581292912137116,2025-09-17,17:14:51.213,HA,D,REQUEST,3060349158,1,1,48,11,4,NA,NA,NA,NA,NA,NA,NA,NA
11,17581292963385752,2025-09-17,17:14:56.338,HA,D,REQUEST,3111026901,1,1,48,12,1,NA,NA,NA,NA,NA,NA,NA,NA
11,17581293777711283,2025-09-17,17:16:17.771,HA,D,REQUEST,3926029304,1,1,73,13,0,NA,NA,NA,NA,NA,NA,NA,NA
11,17581293842063577,2025-09-17,17:16:24.206,HA,D,REQUEST,3990373012,1,1,73,14,1,NA,NA,NA,NA,NA,NA,NA,NA
11,17581293843053124,2025-09-17,17:16:24.305,HA,D,REQUEST,3990373012,1,1,73,10,4,NA,NA,NA,NA,NA,NA,NA,NA
11,17581294723678723,2025-09-17,17:17:52.367,HA,D,REQUEST,577055940,1,1,48,15,0,NA,NA,NA,NA,NA,NA,NA,NA
11,17581295045474578,2025-09-17,17:18:24.547,HA,NA,REQUEST,898573136,1,1,48,16,1,NA,NA,NA,NA,NA,NA,NA,NA
11,17581298501366171,2025-09-17,17:24:10.136,AA,D,REQUEST,59146689,1,1,73,17,1,NA,NA,NA,NA,NA,NA,NA,NA
11,17581298611909453,2025-09-17,17:24:21.190,AA,D,REQUEST,170325300,1,1,48,18,1,NA,NA,NA,NA,NA,NA,NA,NA
11,17581299639280148,2025-09-17,17:26:03.928,AA,D,REQUEST,1197328014,1,1,48,18,4,NA,NA,NA,NA,NA,NA,NA,NA
11,17581299688529596,2025-09-17,17:26:08.852,AA,D,REQUEST,1246333958,1,1,48,19,1,NA,NA,NA,NA,NA,NA,NA,NA
11,17581299967951098,2025-09-17,17:26:36.795,AA,D,REQUEST,1526177520,1,1,73,20,0,NA,NA,NA,NA,NA,NA,NA,NA
11,17581300030270423,2025-09-17,17:26:43.027,AA,D,REQUEST,1588020882,1,1,73,21,1,NA,NA,NA,NA,NA,NA,NA,NA
11,17581300031270743,2025-09-17,17:26:43.127,AA,D,REQUEST,1588020882,1,1,73,17,4,NA,NA,NA,NA,NA,NA,NA,NA
11,17581300560055394,2025-09-17,17:27:36.005,AA,D,REQUEST,2118172767,1,1,48,22,0,NA,NA,NA,NA,NA,NA,NA,NA
11,17581300677744986,2025-09-17,17:27:47.774,AA,D,REQUEST,2235833594,1,1,48,19,4,NA,NA,NA,NA,NA,NA,NA,NA
11,17581300713898857,2025-09-17,17:27:51.389,AA,D,REQUEST,2272376127,1,1,48,23,1,NA,NA,NA,NA,NA,NA,NA,NA
11,17581301012533489,2025-09-17,17:28:21.253,AA,D,REQUEST,2570162546,1,1,73,21,4,NA,NA,NA,NA,NA,NA,NA,NA
11,17581301082925908,2025-09-17,17:28:28.292,AA,D,REQUEST,2641510947,1,1,73,24,1,NA,NA,NA,NA,NA,NA,NA,NA
11,17581301093952557,2025-09-17,17:28:29.395,AA,D,REQUEST,2651670243,1,1,73,24,1,NA,NA,NA,NA,NA,NA,NA,NA
11,17581301104001910,2025-09-17,17:28:30.400,AA,D,REQUEST,2661698141,1,1,73,24,1,NA,NA,NA,NA,NA,NA,NA,NA
11,17581301244805775,2025-09-17,17:28:44.480,AA,D,REQUEST,2802843617,1,1,48,25,1,NA,NA,NA,NA,NA,NA,NA,NA
11,17581301245811320,2025-09-17,17:28:44.581,AA,D,REQUEST,2802843617,1,1,48,23,4,NA,NA,NA,NA,NA,NA,NA,NA
11,17581301254854974,2025-09-17,17:28:45.485,AA,D,REQUEST,2813007746,1,1,48,25,1,NA,NA,NA,NA,NA,NA,NA,NA
11,17581301794820454,2025-09-17,17:29:39.482,AA,D,REQUEST,3353340008,1,1,48,26,0,NA,NA,NA,NA,NA,NA,NA,NA
11,17581301851141067,2025-09-17,17:29:45.114,AA,D,REQUEST,3408842065,1,1,48,25,4,NA,NA,NA,NA,NA,NA,NA,NA
11,17581301914480420,2025-09-17,17:29:51.448,AA,D,REQUEST,3472853943,1,1,48,27,1,NA,NA,NA,NA,NA,NA,NA,NA
