Subject_ac,Timestamp,SampleDate_ac,SampleTime_ac,Configuration_ac,Scenario_ac,DisTime_ac,MarkingTxt_ac,Aplication_ac,EntId_ac,Site_ac,ExersiseId_ac,ForceId_ac,Category_ac,Country_ac,Domain_ac,Kind_ac,Extra_ac,Specific_ac,Subcategory_ac,AltCategory_ac,AltCountry_ac,AltDomain_ac,AltKind_ac,EcefX_ac,EcefY_ac,EcefZ_ac,OriPhi_ac,OriPsi_ac,OriTheta_ac,LinVelX_ac,LinVelY_ac,LinVelZ_ac,LinAccX_ac,LinAccY_ac,LinAccZ_ac,AngVelX_ac,AngVelY_ac,AngVelZ_ac,DrAlg_ac,Apperance_ac,Latitude_ac,Longitude_ac,Altitude_ac,Heading_ac,Pitch_ac,Roll_ac,CM_Altitude_Lead_ac,CM_Altitude_Wing_ac,CM_Airspeed_ac,Subject_cm,SampleDate_cm,SampleTime_cm,Configuration_cm,Scenario_cm,DisTime_cm,MarkingTxt_cm,Aplication_cm,EntId_cm,Site_cm,ExersiseId_cm,ForceId_cm,Category_cm,Country_cm,Domain_cm,Kind_cm,Extra_cm,Specific_cm,Subcategory_cm,AltCategory_cm,AltCountry_cm,AltDomain_cm,AltKind_cm,EcefX_cm,EcefY_cm,EcefZ_cm,OriPhi_cm,OriPsi_cm,OriTheta_cm,LinVelX_cm,LinVelY_cm,LinVelZ_cm,LinAccX_cm,LinAccY_cm,LinAccZ_cm,AngVelX_cm,AngVelY_cm,AngVelZ_cm,DrAlg_cm,Apperance_cm,Latitude_cm,Longitude_cm,Altitude_cm,Heading_cm,Pitch_cm,Roll_cm,CM_Altitude_Lead_cm,CM_Altitude_Wing_cm,CM_Airspeed_cm,Bank_Angle_Condition,distance_nm,Distance_Condition,angle_between_vel,angle_between_pos,Cone_Condition,Intercept_Criteria,Intercept_Complete
1,1970-07-23 09:33:51.220909204,2025-09-08,2025-09-11 20:25:22.090,HA,A,1480091012,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-144064.50761189975,-4793322.658082413,4196309.622247311,2.2848,2.95303,-0.19601,-113.186,23.738,25.9415,-0.0860787,-7.45736,6.55938,-0.0126615,-0.00154068,0.0011308,4,0,41.37837799093728,-91.72152070345736,11234.154333429517,-75.6107266989106,0.7195604031012587,-1.272768890649267,12000,10000,150,1,2025-09-08,2025-09-11 20:25:21.816,HA,A,4033866160,JASSM,3,136,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-188183.50232108065,-4786559.776338424,4202591.102995396,-2.30155,-0.153302,0.128183,96.25,-14.75,-12.375,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.45190065203423,-92.25142292483972,12000.00313968092,99.817046696373,-0.0033568321628582,0.0023903023080967,12000,10000,150,True,24.234945741460212,False,173.7813431470293,179.23201812316546,False,False,False
1,1970-07-23 09:33:51.225244506,2025-09-08,2025-09-11 20:25:22.524,HA,A,1480607978,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-144114.0652874764,-4793312.196647087,4196321.091284893,2.28218,2.95584,-0.197069,-113.082,23.6157,25.9845,-0.164299,-7.54002,6.65276,-0.0056665,0.000879051,-0.0117398,4,0,41.37850878343045,-91.72211630015056,11236.95093047526,-75.67249290143864,0.8781350369053667,-1.3926282625963993,12000,10000,150,1,2025-09-08,2025-09-11 20:25:21.816,HA,A,4033866160,JASSM,3,136,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-188183.50232108065,-4786559.776338424,4202591.102995396,-2.30155,-0.153302,0.128183,96.25,-14.75,-12.375,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.45190065203423,-92.25142292483972,12000.00313968092,99.817046696373,-0.0033568321628582,0.0023903023080967,12000,10000,150,True,24.207180519387187,False,173.77567239623218,179.2375047208626,False,False,False
1,1970-07-23 09:33:51.229579114,2025-09-08,2025-09-11 20:25:22.957,HA,A,1481124944,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-144162.31224149524,-4793302.162002919,4196332.189626973,2.28211,2.95645,-0.196767,-113.084,23.3546,26.1203,-0.284227,-7.60381,6.7555,0.0127697,0.00205667,-0.0102147,4,0,41.37863476630972,-91.7226960924862,11239.898167338952,-75.70836563146467,0.8920214331209626,-1.390428491052248,12000,10000,150,1,2025-09-08,2025-09-11 20:25:22.911,HA,A,4034999766,JASSM,3,136,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-188092.04919608065,-4786573.913057174,4202579.175261021,-2.30155,-0.153302,0.128183,96.25,-14.75,-12.375,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.45175745141985,-92.2503232676483,12000.000883166917,99.8177746586157,-0.0025202778929251,0.0023897333358928,12000,10000,150,True,24.13002820262483,False,173.77445869973195,179.24139846591837,False,False,False
1,1970-07-23 09:33:51.233242681,2025-09-08,2025-09-11 20:25:23.324,HA,A,1481562376,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-144204.53089201232,-4793293.421092717,4196341.911787563,2.28265,2.95742,-0.197484,-113.07,23.3544,26.0362,-0.246286,-7.4167,6.86231,0.00605349,0.00369826,-0.0044764,4,0,41.37874483917634,-91.72320342896612,11242.59932104171,-75.71507355914346,0.9606493976532524,-1.3483718111107106,12000,10000,150,1,2025-09-08,2025-09-11 20:25:22.911,HA,A,4034999766,JASSM,3,136,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-188092.04919608065,-4786573.913057174,4202579.175261021,-2.30155,-0.153302,0.128183,96.25,-14.75,-12.375,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.45175745141985,-92.2503232676483,12000.000883166917,99.8177746586157,-0.0025202778929251,0.0023897333358928,12000,10000,150,True,24.10639246709011,False,173.80754413265691,179.2460188421166,False,False,False
1,1970-07-23 09:33:51.237583490,2025-09-08,2025-09-11 20:25:23.758,HA,A,1482079342,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-144252.7657015289,-4793283.485646974,4196353.026971989,2.28475,2.95745,-0.19745,-113.058,23.1001,26.1734,-0.0731654,-7.52643,6.67722,0.0114422,0.00200465,0.00192143,4,0,41.37887034256544,-91.72378304449808,11245.82873694884,-75.7181268016838,0.9611433983509066,-1.2278004608377295,12000,10000,150,1,2025-09-08,2025-09-11 20:25:23.725,HA,A,4036192600,JASSM,3,136,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-187995.81872733065,-4786588.790010299,4202566.622526646,-2.30155,-0.153302,0.128183,96.25,-14.75,-12.375,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.45160673551989,-92.2491661707764,12000.003490980209,99.81854064312924,-0.0016400189386588,0.0023891116518052,12000,10000,150,True,24.02663386420525,False,173.7996839679924,179.24988552267214,False,False,False
1,1970-07-23 09:33:51.239913270,2025-09-08,2025-09-11 20:25:23.991,HA,A,1482357708,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-144279.14686749576,-4793278.3007086925,4196359.315608704,2.28741,2.95751,-0.198095,-113.075,21.344,27.7314,-0.0731654,-7.52643,6.67722,0.0114422,0.00200465,0.00192143,4,0,41.378938916008025,-91.72409996617266,11248.662562824316,-75.69318342892863,0.9886934941037414,-1.074417943975697,12000,10000,150,1,2025-09-08,2025-09-11 20:25:23.725,HA,A,4036192600,JASSM,3,136,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-187995.81872733065,-4786588.790010299,4202566.622526646,-2.30155,-0.153302,0.128183,96.25,-14.75,-12.375,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.45160673551989,-92.2491661707764,12000.003490980209,99.81854064312924,-0.0016400189386588,0.0023891116518052,12000,10000,150,True,24.01187139823969,False,173.40071312270416,179.25305971361328,False,False,False
1,1970-07-23 09:33:51.241241915,2025-09-08,2025-09-11 20:25:24.124,HA,A,1482516776,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-144294.97326995124,-4793274.831518813,4196362.754662907,2.28757,2.95838,-0.195438,-113.047,23.1161,26.0879,-0.220198,-7.58225,6.72398,0.00547509,-0.00138256,-0.00198385,4,0,41.37897993388653,-91.72429022080992,11248.756754210612,-75.83891865784264,0.9229080333346278,-1.0577458672247613,12000,10000,150,1,2025-09-08,2025-09-11 20:25:23.725,HA,A,4036192600,JASSM,3,136,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-187995.81872733065,-4786588.790010299,4202566.622526646,-2.30155,-0.153302,0.128183,96.25,-14.75,-12.375,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.45160673551989,-92.2491661707764,12000.003490980209,99.81854064312924,-0.0016400189386588,0.0023891116518052,12000,10000,150,True,24.00301084110264,False,173.83095016483722,179.25452241428437,False,False,False
1,1970-07-23 09:33:51.244581603,2025-09-08,2025-09-11 20:25:24.458,HA,A,1482914442,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-144331.7680996025,-4793267.079539191,4196371.4976101685,2.29195,2.95962,-0.195636,-112.987,23.0003,26.3232,-0.217878,-7.39637,6.8148,0.00568523,-0.00109959,-0.00111,4,0,41.3790784782624,-91.72473243229987,11251.368931325607,-75.87762199884389,0.9825772116706972,-0.793927400417646,12000,10000,150,1,2025-09-08,2025-09-11 20:25:23.725,HA,A,4036192600,JASSM,3,136,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-187995.81872733065,-4786588.790010299,4202566.622526646,-2.30155,-0.153302,0.128183,96.25,-14.75,-12.375,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.45160673551989,-92.2491661707764,12000.003490980209,99.81854064312924,-0.0016400189386588,0.0023891116518052,12000,10000,150,True,23.9823813416854,False,173.7460620064819,179.25888576368357,False,False,False
1,1970-07-23 09:33:51.245913525,2025-09-08,2025-09-11 20:25:24.591,HA,A,1483073508,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-144347.96567114905,-4793263.7666104175,4196375.253133776,2.29248,2.96009,-0.195741,-112.972,23.0853,26.2216,-0.111533,-7.41477,6.63481,0.00227305,0.00538146,-0.00452425,4,0,41.37912063645707,-91.72492706422616,11252.56194991999,-75.8908832740434,1.0062446519817227,-0.7587131112213895,12000,10000,150,1,2025-09-08,2025-09-11 20:25:23.725,HA,A,4036192600,JASSM,3,136,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-187995.81872733065,-4786588.790010299,4202566.622526646,-2.30155,-0.153302,0.128183,96.25,-14.75,-12.375,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.45160673551989,-92.2491661707764,12000.003490980209,99.81854064312924,-0.0016400189386588,0.0023891116518052,12000,10000,150,True,23.973314899057,False,173.77045440129586,179.26069272638082,False,False,False
1,1970-07-23 09:33:51.246576127,2025-09-08,2025-09-11 20:25:24.657,HA,A,1483153042,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-144354.36854640796,-4793262.454420133,4196376.73727846,2.29275,2.96076,-0.19591,-112.978,22.9499,26.3429,-0.295888,-7.47333,6.83417,0.0102979,0.0121267,-0.00298253,4,0,41.37913731410716,-91.72500400292532,11253.026319589577,-75.90898179988295,1.040746614900116,-0.7357772542227327,12000,10000,150,1,2025-09-08,2025-09-11 20:25:23.725,HA,A,4036192600,JASSM,3,136,76,2,2,1,225,9,2,0,1,26,0,0,0,0,-187995.81872733065,-4786588.790010299,4202566.622526646,-2.30155,-0.153302,0.128183,96.25,-14.75,-12.375,0.0,0.0,0.0,0.0,0.0,0.0,2,0,41.45160673551989,-92.2491661707764,12000.003490980209,99.81854064312924,-0.0016400189386588,0.0023891116518052,12000,10000,150,True,23.96973077647139,False,173.74608148967383,179.26140626809217,False,False,False
