Flight_Number,Lead_Pilot,Scenario_within_flight,Scenario_Type,Autonomy_Config,Num_Tactical_Comms,Correct_Sort,Num_CMs,Lead_Altitude_Deviation_Count,Wingman_Altitude_Deviation_Count,Lead_Altitude_Deviation_Integrated_ft_s,Wingman_Altitude_Deviation_Integrated_ft_s,Proportion_CMs_Intercepted,CM1_Interceptor Role,CM1_Time_to_Intercept_s_from_start,CM1_MOP_Time_to_Intercept_s,CM1_MOP_Time_to_Consent_s,CM1_Airspeed_Diff_at_Intercept_kt,CM1_Heading_Diff_at_Intercept_deg,CM1_Altitude_Offset_at_Intercept_ft,CM1_Distance_from_CM_at_Intercept_nm,CM1_Aspect_at_MELD_Range_deg,CM2_Interceptor Role,CM2_Time_to_Intercept_s_from_start,CM2_MOP_Time_to_Intercept_s,CM2_MOP_Time_to_Consent_s,CM2_Airspeed_Diff_at_Intercept_kt,CM2_Heading_Diff_at_Intercept_deg,CM2_Altitude_Offset_at_Intercept_ft,CM2_Distance_from_CM_at_Intercept_nm,CM2_Aspect_at_MELD_Range_deg,CM3_Interceptor Role,CM3_Time_to_Intercept_s_from_start,CM3_MOP_Time_to_Intercept_s,CM3_MOP_Time_to_Consent_s,CM3_Airspeed_Diff_at_Intercept_kt,CM3_Heading_Diff_at_Intercept_deg,CM3_Altitude_Offset_at_Intercept_ft,CM3_Distance_from_CM_at_Intercept_nm,CM3_Aspect_at_MELD_Range_deg,CM4_Interceptor Role,CM4_Time_to_Intercept_s_from_start,CM4_MOP_Time_to_Intercept_s,CM4_MOP_Time_to_Consent_s,CM4_Airspeed_Diff_at_Intercept_kt,CM4_Heading_Diff_at_Intercept_deg,CM4_Altitude_Offset_at_Intercept_ft,CM4_Distance_from_CM_at_Intercept_nm,CM4_Aspect_at_MELD_Range_deg,CM5_Interceptor Role,CM5_Time_to_Intercept_s_from_start,CM5_MOP_Time_to_Intercept_s,CM5_MOP_Time_to_Consent_s,CM5_Airspeed_Diff_at_Intercept_kt,CM5_Heading_Diff_at_Intercept_deg,CM5_Altitude_Offset_at_Intercept_ft,CM5_Distance_from_CM_at_Intercept_nm,CM5_Aspect_at_MELD_Range_deg,Proportion_SAMs_Identified,SAM1_Time_to_ID_s,SAM2_Time_to_ID_s,SAM3_Time_to_ID_s,SAM4_Time_to_ID_s,SAM5_Time_to_ID_s,SAM6_Time_to_ID_s,SAM7_Time_to_ID_s,SAM8_Time_to_ID_s,SAM9_Time_to_ID_s,SAM10_Time_to_ID_s,Scenario_Duration_s,Avg_SAM_ID_Time_s
2,Grimmer,1,C,HH,16,Y,5,1,0,0.2471759050710432,0.0,1.0,Lead,115.983,56.845,5.844,51.55099999999999,2.5731278504718205,52.78884459746951,0.9097369127272876,159.39116587241324,Wingman,170.996,74.253,2.51,45.636,16.858940766730058,101.61635864119124,0.7215892738494489,163.95869710086183,Lead,275.285,64.48,0.516,48.655,39.492441072010365,247.68796577997816,0.5580758710571466,160.7559887072709,Wingman,335.865,52.274,5.384,43.339,1.1694856346657332,50.84155610317612,0.5184618201109925,140.0636934286381,Lead,359.433,69.531,2.232,42.691,-42.367532132807696,11.50664110307298,0.3911192074612412,80.29934683581263,1.0,9.176,13.209,6.88,17.973,8.792,,,,,,359.433,11.206
2,Grimmer,2,C,HA,5,Y,5,0,0,0.0,0.0,1.0,Lead,153.425,42.795,3.027,36.76400000000001,-35.53986308452269,99.36795211747084,0.6800094504946632,147.83618073348305,Wingman,158.427,44.802,0.394,30.654,-3.249983594360799,8.820428170696687,0.6490519627172292,133.68104248114292,Lead,310.881,44.453,10.753,29.579000000000008,-20.167956871870672,46.04142240251349,0.7930549118914303,159.89703469512136,Wingman,326.532,66.704,7.097,30.32400000000001,-24.676262842743967,56.84751725565911,0.6480787526677984,129.3509761829231,Lead,394.624,94.496,0.532,39.94200000000001,-29.706329780194864,160.47917545876226,0.8733865534079499,31.497742562370888,1.0,11.274,14.916,7.791,11.979,21.98,20.973,,,,,394.624,14.818833333333332
2,Grimmer,3,D,HA,6,Y,6,0,3,0.0,1.3247912031415894,0.3333333333333333,Wingman,172.288,67.621,6.013,51.832,26.15679704600734,328.2738976873625,0.9646914680023446,158.4674033471561,Lead,249.384,71.886,1.922,43.816,2.60586165438076,41.14966345154608,1.4704564907309272,117.21866040858087,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,16.176,8.969,16.072,4.973,7.973,12.71,,,,,422.991,11.145499999999998
3,Grimmer,1,C,AH,13,Y,5,0,4,0.0,4.921886559487305,1.0,Lead,137.43,76.574,2.543,9.122000000000014,24.521039545612386,43.66983128927859,1.1174787651156155,167.77328104000856,Wingman,145.52,55.224,5.023,5.931999999999988,-21.868838761338598,252.040917745544,1.2640981716199235,169.63440700259696,Wingman,303.499,34.8,3.3,40.02699999999999,27.10635068394697,172.3944536165236,1.1445053082041678,101.35186407566464,Lead,365.594,37.11,2.378,49.535,-26.06892175564917,41.81486132757891,1.512639431279399,49.9785893514136,Lead,433.398,32.249,3.45,47.64099999999999,-37.27588469005383,88.00878378550078,1.2573556308593334,78.0920141097526,0.8571428571428571,19.304,12.027,11.258,11.471,6.746,12.425,30.0,,,,433.398,14.747285714285715
3,Grimmer,2,C,AA,5,Y,5,6,0,11.97720118151131,0.0,0.8,Wingman,149.832,41.228,1.339,20.352000000000004,9.518465800342454,34.66021709551933,0.5728688381260381,145.696563752345,Lead,167.419,76.168,0.237,9.402999999999992,26.57415470684876,414.5666782391436,1.0284311872481613,166.55606353861975,Lead,336.927,76.814,1.215,27.59899999999999,23.96554751518352,432.6713725009704,1.0848322460003512,167.45695573092326,Lead,402.719,57.441,7.344,15.62299999999999,-19.037749865326106,502.03464248715136,0.6512046238823885,44.07160748042634,,,,,,,,,,1.0,12.371,9.425,9.26,16.358,8.354,9.354,,,,,402.719,10.853666666666667
3,Grimmer,3,D,AA,5,Y,6,0,0,0.0,0.0,0.5,Wingman,167.012,58.016,0.922,48.53299999999999,27.36202283623902,17.66682709109591,1.0679651401273698,155.32351101872536,Lead,281.422,46.167,7.868,29.322000000000003,-4.514903158740879,273.1107892549444,0.8090648576151167,139.09411684628276,Wingman,379.196,59.904,0.297,52.06399999999999,-29.220199795208543,14.744170357847906,0.7633030536843181,156.50347361345564,,,,,,,,,,,,,,,,,,,1.0,4.059,12.36,9.363,8.374,11.353,10.342,,,,,419.509,9.3085
1,Fleischmann,1,C,HH,21,Y,5,3,5,1614.516519780536,1.7905609976362538,0.8,Wingman,145.72,72.403,27.923,24.77600000000001,10.394208202831862,191.27039254132612,0.650416766624844,142.60020815531118,Lead,418.503,238.984,5.95,41.60400000000001,-8.847478401449138,1201.9816900454698,1.3825718061291563,63.5704353289799,Wingman,449.005,104.215,21.906,39.05000000000001,-0.0615733262903859,46.264657876377896,0.4835297415463471,147.2897634159527,Wingman,476.409,49.31,94.413,48.58099999999999,-101.5178020658975,306.9972513086359,1.0918915763673611,18.06038023945152,,,,,,,,,,0.1428571428571428,30.0,30.0,30.0,30.0,30.0,30.0,30.0,,,,476.409,30.0
1,Fleischmann,2,C,HA,5,Y,5,1,0,10.966582642175815,0.0,0.6,Wingman,141.147,37.421,5.612,22.870000000000005,31.44348715248401,69.52068213278108,0.6401643652542383,137.95929056349877,Wingman,348.33,76.507,14.821,-7.766999999999996,16.925097017846667,23.850645020489537,0.9008442061608848,143.2623849586995,Lead,471.022,43.728,2.963,65.16499999999999,38.36553167555721,270.5812785617891,0.8389496880210217,98.75069118028898,,,,,,,,,,,,,,,,,,,0.1428571428571428,30.0,30.0,30.0,21.789,30.0,30.0,30.0,,,,477.72,28.826999999999998
1,Fleischmann,3,D,HA,3,Y,6,4,0,38.95922905997985,0.0,0.3333333333333333,Wingman,276.047,63.202,22.206,2.1200000000000045,8.290657095521652,117.10870786273516,0.4583628934460906,126.83768140131924,Lead,276.609,96.147,14.545,55.49799999999999,-17.479494740935422,112.72698599443174,1.168949487219844,175.6427162028387,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,30.0,30.0,30.0,30.0,30.0,30.0,,,,,381.94,30.0
1,Grimmer,1,C,HH,18,Y,5,3,9,82.92970771856501,298.98653782372094,0.6,Wingman,246.998,49.724,8.724,61.16900000000001,-27.304270607930704,301.72949604890164,1.4879896582546328,93.05255672205055,Lead,382.906,45.647,6.715,42.32499999999999,2.669263223424593,332.2566505859886,0.5998209782282445,150.28122928781943,Wingman,440.603,80.534,10.522,43.315,-3.817566060664405,121.61573036923072,1.031574586437978,148.30716862225563,,,,,,,,,,,,,,,,,,,0.5714285714285714,30.0,11.268,26.258,29.272,30.0,30.0,30.0,,,,440.603,26.68542857142857
